time,open,high,low,close
1254355200,0.00076392,0.00128808,0.00076392,0.00124662
1257033600,0.00121911,0.00135534,0.00082384,0.00082384
1259625600,0.0008106,0.0008106,0.00061337,0.00068879
1262304000,0.00071822,0.0033661,0.00071822,0.00329826
1264982400,0.00329674,0.00529801,0.00329674,0.00529801
1267401600,0.00539695,0.00547226,0.00539695,0.00547226
1270080000,0.003,0.003,0.003,0.003
1272672000,0.003,0.0049,0.003,0.0045
1275350400,0.0046,0.0058,0.0044,0.0054
1277942400,0.0055,0.09307,0.0055,0.06785
1280620800,0.061,0.0769,0.03211,0.06
1283299200,0.062,0.175,0.05761,0.0619
1285891200,0.06189,0.199,0.01,0.1925
1288569600,0.1925,0.5,0.125,0.2082
1291161600,0.2095,0.301,0.1701,0.3
1293840000,0.292,0.95,0.289,0.55
1296518400,0.5451,1.1,0.52011,0.86
1298937600,0.8601,0.97,0.70999,0.78461
1301616000,0.77701,4.14996,0.5619,3.5
1304208000,3.5,9.4998,2.5,8.741
1306886400,8.741,31.9099,8.3,16.10098
1309478400,16.10098,16.74,11,13.35
1312156800,13.3503,13.5501,5.742,8.19951
1314835200,8.19951,8.7138,4.18,5.14009
1317427200,5.16699,5.24919,2.0401,3.24801
1320105600,3.25617,3.35,1.994,2.9701
1322697600,2.99,4.995,2.61,4.72202
1325376000,4.70785,7.22,4.615,5.48379
1328054400,5.53423,6.2,3.878,4.86001
1330560000,4.86,5.45,4.3,4.90873
1333238400,4.88002,5.48,4.62,4.9491
1335830400,4.9491,5.2,4.801,5.18011
1338508800,5.19957,6.8,5.18001,6.68999
1341100800,6.68998,9.7,6.4,9.35
1343779200,9.35,15.4,7.58,10.16
1346457600,10.15,12.68666,9.71922,12.4
1349049600,12.35,13.0899,9.74,11.201
1351728000,11.17963,12.6515,10.33,12.565
1354320000,12.565,13.90119,12.42,13.51001
1356998400,13.51001,21.43,13.16123,20.41001
1359676800,20.50879,34.51541,18,33.38
1362096000,33.37999,95.7,32.92,93.03001
1364774400,93.25,266,50.01,139.2269
1367366400,139.00004,140.06,79,128.81505
1370044800,128.82506,130.1,88,97.51
1372636800,97.50888,111.65202,65.42448,106.21188
1375315200,106.22691,148.7,100.95969,141
1377993600,141,148.90893,121.25,141.8965
1380585600,143.28122,233.4,109.7,211.1714
1383264000,211.20177,1242,209.76,1205.8
1385856000,1206.00001,1240,455,739.28
1388534400,737.67,995,726.5,805.22
1391212800,804.8,829,400,549.995
1393632000,549.01,719.25,436.1,456.9899
1396310400,456.3,547,340,449.0201
1398902400,449.0201,630,419.4,626.21
1401580800,627.01,685,522.15,640.79
1404172800,642.26,665,561.47,580
1406851200,579.49,605.72,443,477.81
1409529600,477.84,497.24,365,387
1412121600,386.93,414.42,275,336.82
1414800000,336.72,475,315.54,379.89
1417392000,379.67,387.99,302.32,322.3
1420070400,322.31,322.9,166.45,215.8
1422748800,215.91,268.54,210.12,255.7
1425168000,255.7,303.96,235.7,244.51
1427846400,244.56,262.45,213.92,236.11
1430438400,236.18,249.22,226.42,228.7
1433116800,228.38,269,219.71,262.89
1435708800,262.9,316.23,252.11,284.45
1438387200,284.45,287.05,162,231.35
1441065600,231.06,248.48,224.25,236.49
1443657600,236.72,336,236.19,316
1446336000,316,504,300.28,376.88
1448928000,376.89,475.04,346.13,429.02
1451606400,429.17,465,352.5,365.52
1454284800,365.58,451.6,363.23,438.99
1456790400,439.53,442.79,389,416.02
1459468800,416.34,471.99,412,446.6
1462060800,446.79,570,433,530.69
1464739200,530.69,789.78,523.75,671.9135
1467331200,671.685,704.3075,609.87225,624.22
1470009600,624.125,628.249,470.91,573.8025
1472688000,573.805,630.665,568.329,609.675
1475280000,609.675,721.9625,606.95075,697.69475
1477958400,697.7125,756.495,672.69175,742.339
1480550400,741.945,984.23,741.215,970.4175
1483228800,970.7525,1158.945,748.49525,968.74725
1485907200,968.354,1217.57325,931.739,1190.3725
1488326400,1190.2695,1336.4955,888.84775,1080.825
1491004800,1081.145,1366.5875,1069.1925,1362.02675
1493596800,1360.16525,2766.83425,1347.69,2299.05525
1496275200,2299.13525,2975.7475,2076.18475,2455.4225
1498867200,2455.01,2944.9775,1799.3,2865.02325
1501545600,2865.02575,4764.25,2632.8575,4737.9375
1504224000,4737.875,4977.475,2974.3825,4334.18
1506816000,4334.1575,6458.4575,4146.9675,6439.52
1509494400,6442.4775,11428.45,5495.165,9968.3925
1512086400,9963.125,19804.2475,9424.28,13888.3225
1514764800,13888.35,17222.6125,9144.25,10115.7975
1517443200,10117.77,11773.775,5893.765,10306.8075
1519862400,10307.0275,11662.5375,6575,6922.18
1522540800,6923.4725,9757.9425,6442.2625,9243.395
1525132800,9245.66,9949.775,7047.96,7486.93
1527811200,7488.7975,7784.65,5743.85,6386.4525
1530403200,6386.235,8489.015,6073.8275,7725.9375
1533081600,7727.33,7755.135,5889,7016.315
1535760000,7015.315,7407.38,6174.7175,6565.645
1538352000,6550.5825,6788.75,6051.4775,6305.1325
1541030400,6305.6625,6544.225,3465.1275,3971.615
1543622400,3973.5325,4269.5175,3124.5125,3692.3525
1546300800,3692.905,4113.205,3331.09,3411.5775
1548979200,3412.3025,4189.02,3334.485,3792.1725
1551398400,3792.14,4130.43,3672.0725,4095.32
1554076800,4094.2825,5641.495,4052.07,5269.5575
1556668800,5270,9093.925,5266.975,8542.59
1559347200,8544.7625,13870.6275,7431.4175,10754.915
1561939200,10756.975,13196.8325,9073.385,10085.57
1564617600,10094.0025,12326.6025,9309.9575,9600.935
1567296000,9599.3575,10951.85,7694.05,8303.7925
1569888000,8311.105,10520.2475,7291.8075,9152.5625
1572566400,9155.985,9596.625,6522.48,7554.92
1575158400,7556.4725,7792.265,6430.145,7167.07
1577836800,7164.9025,9569.5,6857.05,9333.17
1580515200,9339.8425,10514.2025,8429.8975,8526.76
1583020800,8528.5075,9217.95,3880.5875,6424.0325
1585699200,6425.015,9481.3425,6152.895,8627.93
1588291200,8627.5475,10078.3,8086.295,9448.95
1590969600,9446.96,10413.065,8820.86,9134.015
1593561600,9135.67,11460.3875,8909.995,11354.0825
1596240000,11354.7825,12479.03,10569.515,11657.2675
1598918400,11658.1025,12072.2525,9836.43,10779.1975
1601510400,10781.775,14095.095,10376.45,13809.855
1604188800,13799.875,19867.6775,13219.33,19709.54
1606780800,19710.6975,29307.5225,17575.405,28980.4525
1609459200,28976.325,41993.84,27741.085,33138.715
1612137600,33128.5375,58385.435,32328.07,45238.64
1614556800,45247.535,61769.97,45039.19,58793.155
1617235200,58787.5975,64898.555,47012.0525,57789.0575
1619827200,57791.435,59594.7475,29641.5,37308.4825
1622505600,37279.855,41346.485,28754.4,35041.1075
1625097600,35068.0775,42406.4825,29292.725,41493.865
1627776000,41497.9925,50526.825,37316.515,47140.64
1630454400,47124.365,52935.0525,39585.5525,43821.91
1633046400,43822.7725,66998.105,43294.705,61357.63
1635724800,61359.0625,68997.75,53479.41,57014.33
1638316800,56962.59,59103.77,41631.28,46195.56
1640995200,46252.09,47953,32992.55,38498.99
1643673600,38497.02,45866.71,34329.29,43188.92
1646092800,43201.82,48222.96,37166.86,45526.92
1648771200,45520.97,47455.7,37596.05,37648.79
1651363200,37644.98,40032.42,25365.62,31775.89
1654041600,31781.64,31952.54,17585.31,19949.77
1656633600,19960.39,24675.03,18758.64,23315.95
1659312000,23304.94,25207.71,19522.36,20053.81
1661990400,20050.07,22792.25,18152.13,19426.02
1664582400,19423.86,21077.68,18160.71,20495.81
