time,open,high,low,close
1744837200,90.35,91.173,90.246,91.046
1744923600,91.024,91.053,90.578,90.636
1745182800,90.54,90.714,89.974,90.378
1745269200,90.375,90.576,89.641,90.126
1745355600,90.109,91.608,90.046,91.207
1745442000,91.199,91.464,90.554,91.4
1745528400,91.399,92.222,91.321,91.918
1745787600,91.93,92.05,91.203,91.356
1745874000,91.344,91.683,90.59,90.887
1745960400,90.842,91.732,90.694,91.598
1746046800,91.541,93.056,91.514,92.818
1746133200,92.818,93.569,92.704,93.426
1746392400,93.304,93.518,92.935,92.956
1746478800,92.938,93.05,92.116,92.49
1746565200,92.525,93.352,92.22,92.404
1746651600,92.366,93.552,92.333,93.386
1746738000,93.346,93.44,92.806,93.204
1746997200,93.831,94.922,93.524,94.606
1747083600,94.589,95.648,94.066,95.426
1747170000,95.417,95.572,94.185,94.334
1747256400,94.361,94.377,93.12,93.344
1747342800,93.299,93.505,92.744,93.276
1747602000,93.065,93.682,92.876,93.543
1747688400,93.538,93.849,92.499,92.832
1747774800,92.855,92.939,92.376,92.476
1747861200,92.443,92.858,91.995,92.324
1747947600,92.338,92.698,91.652,92.624
1748206800,92.489,93.202,92.396,92.671
1748293200,92.705,93.102,92.14,93.006
1748379600,92.992,93.242,92.744,93.105
1748466000,93.053,93.878,92.784,92.891
1748552400,92.91,92.984,92.018,92.672
1748811600,92.583,92.854,92.381,92.708
1748898000,92.653,93.137,92.063,93.058
1748984400,93.08,93.597,92.659,92.692
1749070800,92.656,93.788,92.558,93.404
1749157200,93.402,94.132,93.294,94.046
1749416400,94.145,94.343,93.914,94.232
1749502800,94.184,94.602,93.898,94.508
1749589200,94.52,94.749,93.884,94.008
1749675600,93.961,94.018,93.24,93.742
1749762000,93.741,93.875,92.315,93.496
1750021200,93.358,94.555,93.348,94.452
1750107600,94.435,94.843,93.946,94.095
1750194000,94.096,94.492,93.944,94.456
1750280400,94.43,94.468,93.807,94.275
1750366800,94.259,94.558,94.068,94.215
1750626000,94.312,94.687,93.85,94.405
1750712400,94.382,94.562,93.97,94.036
1750798800,94.076,94.753,93.976,94.61
1750885200,94.568,94.638,94.062,94.528
1750971600,94.533,94.854,94.23,94.492
1751230800,94.365,94.892,93.994,94.784
1751317200,94.764,94.806,93.968,94.404
1751403600,94.372,94.687,94.125,94.583
1751490000,94.586,95.372,94.337,95.23
1751576400,95.254,95.277,94.572,94.714
1751835600,94.807,95.048,94.236,94.806
1751922000,94.819,95.965,94.724,95.709
1752008400,95.713,96.217,95.596,95.612
1752094800,95.602,96.391,95.392,96.367
1752181200,96.255,97.058,95.984,96.938
1752440400,96.644,96.932,96.45,96.702
1752526800,96.718,97.434,96.545,96.958
1752613200,97.008,97.323,96.114,96.53
1752699600,96.558,96.774,95.996,96.416
1752786000,96.387,96.968,96.342,96.86
1753045200,96.386,96.76,96.047,96.14
1753131600,96.156,96.382,95.631,96.134
1753218000,96.112,96.744,95.842,96.733
1753304400,96.703,97.044,96.394,96.872
1753390800,96.88,97.142,96.622,96.959
1753650000,97.152,97.29,96.564,96.868
1753736400,96.836,96.948,96.562,96.654
1753822800,96.696,96.752,95.961,96.202
1753909200,96.182,96.996,95.864,96.856
1753995600,96.86,97.072,95.104,95.362
1754254800,95.246,95.864,94.909,95.132
1754341200,95.145,95.606,94.944,95.51
1754427600,95.492,96.027,95.448,95.832
1754514000,95.814,96.208,95.662,95.988
1754600400,95.915,96.526,95.754,96.354
1754859600,96.263,96.535,95.998,96.49
1754946000,96.465,96.836,96.212,96.539
1755032400,96.481,96.753,96.316,96.478
1755118800,96.482,96.482,95.522,95.976
1755205200,95.936,96.075,95.522,95.77
1755464400,95.834,96.205,95.77,95.984
1755550800,96.008,96.104,95.126,95.308
1755637200,95.378,95.378,94.404,94.772
1755723600,94.768,95.344,94.576,95.274
1755810000,95.273,95.598,95.144,95.394
1756069200,95.362,95.954,95.318,95.793
1756155600,95.732,95.846,95.366,95.748
1756242000,95.671,96.008,95.626,95.904
1756328400,95.876,96.088,95.71,95.992
1756414800,95.9,96.245,95.872,96.17
1756674000,96.239,96.593,96.058,96.465
1756760400,96.426,96.873,96.408,96.726
1756846800,96.68,97.3,96.616,96.92
1756933200,96.84,97.02,96.559,96.765
1757019600,96.739,97.002,96.311,96.644
1757278800,97.11,97.432,96.945,97.26
1757365200,97.192,97.328,96.819,97.068
1757451600,97.072,97.746,97.026,97.528
1757538000,97.539,98.114,97.402,98.064
1757624400,98.035,98.426,98.009,98.2
1757883600,98.192,98.354,97.988,98.329
1757970000,98.272,98.392,97.704,97.908
1758056400,97.888,97.964,97.424,97.787
1758142800,97.741,98.1,97.53,97.864
1758229200,97.875,97.974,97.246,97.558
1758488400,97.566,97.86,97.312,97.5
1758574800,97.497,97.725,97.245,97.438
1758661200,97.389,98.184,97.278,98.034
1758747600,98.018,98.226,97.75,97.976
1758834000,97.934,98.038,97.732,97.883
1759093200,97.914,97.968,97.518,97.734
1759179600,97.758,98.152,97.426,97.838
1759266000,97.758,97.924,97.034,97.268
1759352400,97.264,97.464,96.858,97.136
1759438800,97.114,97.502,97.018,97.366
1759698000,98.382,99.542,98.23,99.502
1759784400,99.464,100.046,99.16,99.968
1759870800,100.005,100.619,99.89,100.576
1759957200,100.536,100.948,100.149,100.346
1760043600,100.28,100.53,97.851,97.88
1760302800,98.807,99.39,98.562,99.228
1760389200,99.18,99.486,97.862,98.472
1760475600,98.447,98.818,98.063,98.384
1760562000,98.286,98.491,97.243,97.552
1760648400,97.542,97.852,96.254,97.851
1760907600,97.69,98.481,97.614,98.191
1760994000,98.172,98.782,97.92,98.576
1761080400,98.555,98.871,98.206,98.613
1761166800,98.598,99.552,98.544,99.389
1761253200,99.334,99.598,99.215,99.589
1761512400,99.956,100.373,99.796,100.23
1761598800,100.169,100.357,99.414,100.174
1761685200,100.154,100.758,99.736,100.424
1761771600,100.317,101.211,100.28,101.034
1761858000,101.036,101.04,100.64,100.788
1762120800,100.8,101.14,100.399,100.82
1762207200,100.807,100.914,99.469,99.713
1762293600,99.718,100.395,98.826,100.272
1762380000,100.252,100.328,98.827,99.188
1762466400,99.178,99.76,98.968,99.638
1762725600,99.899,100.828,99.73,100.742
1762812000,100.668,100.876,100.402,100.618
1762898400,100.55,101.324,100.532,101.27
1762984800,101.246,101.826,100.692,100.926
1763071200,100.878,101.298,100.228,100.998
1763330400,101.009,101.154,100.611,100.822
1763416800,100.81,101.438,100.15,101.217
1763503200,101.176,101.867,100.596,101.83
1763589600,101.767,102.49,101.305,101.408
1763676000,101.472,101.663,100.358,100.962
1763935200,101.077,101.477,100.966,101.444
1764021600,101.36,101.512,100.347,100.974
1764108000,100.882,102.034,100.868,101.992
1764194400,101.977,102.139,101.643,102.131
1764280800,102.102,102.368,101.842,102.296
1764540000,102.117,102.277,101.512,101.744
1764626400,101.742,102.5,101.6,102.34
1764712800,102.307,102.526,102.02,102.469
1764799200,102.458,102.852,102.1,102.534
