time,open,high,low,close
1672614000,0.9235,0.92445,0.92234,0.92287
1672617600,0.92287,0.9232,0.92099,0.92165
1672621200,0.92165,0.92228,0.9213,0.9213
1672624800,0.9213,0.9233,0.92118,0.9233
1672628400,0.9233,0.92354,0.92267,0.92267
1672632000,0.92267,0.92322,0.9226,0.92294
1672635600,0.92294,0.92301,0.922,0.92222
1672639200,0.92222,0.92277,0.9217,0.92245
1672642800,0.92245,0.923,0.92105,0.92105
1672646400,0.92105,0.92284,0.92105,0.92176
1672650000,0.92176,0.92176,0.91996,0.92159
1672653600,0.92159,0.92298,0.92128,0.9217
1672657200,0.9217,0.92372,0.9215,0.9236
1672660800,0.9236,0.92488,0.92266,0.92424
1672664400,0.92424,0.92436,0.92308,0.92386
1672668000,0.92386,0.92522,0.92386,0.92488
1672671600,0.92488,0.9254,0.9246,0.92504
1672675200,0.92504,0.92552,0.92472,0.9248
1672678800,0.9248,0.92538,0.9246,0.92504
1672682400,0.92504,0.92558,0.92417,0.9243
1672686000,0.9243,0.92524,0.92404,0.92437
1672689600,0.92437,0.92466,0.9222,0.9232
1672693200,0.9232,0.92386,0.9224,0.92335
1672696800,0.92335,0.92386,0.92165,0.92222
1672700400,0.92222,0.92362,0.92156,0.92338
1672704000,0.92338,0.92356,0.92184,0.92253
1672707600,0.92253,0.92318,0.92164,0.923
1672711200,0.923,0.92518,0.92277,0.92471
1672714800,0.92471,0.92566,0.92426,0.92516
1672718400,0.92516,0.92576,0.92438,0.92532
1672722000,0.92532,0.92549,0.9208,0.92168
1672725600,0.92168,0.92242,0.92146,0.92168
1672729200,0.92168,0.92202,0.91856,0.91873
1672732800,0.91873,0.91874,0.9135,0.91384
1672736400,0.91384,0.91561,0.91246,0.9151
1672740000,0.9151,0.91526,0.91356,0.91378
1672743600,0.91378,0.91388,0.9122,0.91286
1672747200,0.91286,0.91648,0.91222,0.9161
1672750800,0.9161,0.9209,0.91608,0.9209
1672754400,0.9209,0.92162,0.91881,0.91891
1672758000,0.91891,0.9197,0.9167,0.91958
1672761600,0.91958,0.92061,0.91848,0.91949
1672765200,0.91949,0.92006,0.9189,0.91953
1672768800,0.91953,0.92054,0.91902,0.91958
1672772400,0.91958,0.9211,0.91956,0.92044
1672776000,0.92044,0.92066,0.91934,0.9198
1672779600,0.9198,0.92027,0.9193,0.91961
1672783200,0.91961,0.92028,0.91915,0.91948
1672786800,0.91948,0.9198,0.91862,0.91959
1672790400,0.91959,0.92116,0.91911,0.921
1672794000,0.921,0.92322,0.9207,0.9228
1672797600,0.9228,0.92432,0.92267,0.92317
1672801200,0.92317,0.925,0.92314,0.92491
1672804800,0.92491,0.92904,0.92378,0.92768
1672808400,0.92768,0.92892,0.9257,0.92815
1672812000,0.92815,0.92849,0.92744,0.92842
1672815600,0.92842,0.9327,0.92839,0.93182
1672819200,0.93182,0.9346,0.9309,0.93136
1672822800,0.93136,0.93294,0.93121,0.93146
1672826400,0.93146,0.93226,0.93052,0.93214
1672830000,0.93214,0.93272,0.9308,0.9313
1672833600,0.9313,0.9313,0.92876,0.92924
1672837200,0.92924,0.93042,0.92876,0.9291
1672840800,0.9291,0.93134,0.92864,0.93002
1672844400,0.93002,0.93038,0.92572,0.927
1672848000,0.927,0.92702,0.92422,0.92536
1672851600,0.92536,0.92552,0.92302,0.92326
1672855200,0.92326,0.92495,0.92262,0.9229
1672858800,0.9229,0.92324,0.92148,0.92218
1672862400,0.92218,0.92232,0.92139,0.92186
1672866000,0.92186,0.92232,0.92145,0.92168
1672869600,0.92168,0.92253,0.92045,0.92136
1672873200,0.92136,0.9216,0.92023,0.92092
1672876800,0.92092,0.92226,0.92012,0.92146
1672880400,0.92146,0.92312,0.92141,0.9223
1672884000,0.9223,0.92236,0.9202,0.92056
1672887600,0.92056,0.92099,0.91888,0.91906
1672891200,0.91906,0.92063,0.91877,0.92036
1672894800,0.92036,0.92084,0.91982,0.9208
1672898400,0.9208,0.92206,0.9208,0.92107
1672902000,0.92107,0.92219,0.91942,0.92047
1672905600,0.92047,0.92154,0.91959,0.92149
1672909200,0.92149,0.922,0.921,0.92179
1672912800,0.92179,0.92248,0.92112,0.92222
1672916400,0.92222,0.92326,0.92222,0.92296
1672920000,0.92296,0.9233,0.92196,0.92203
1672923600,0.92203,0.92274,0.91688,0.91732
1672927200,0.91732,0.91826,0.91592,0.91617
1672930800,0.91617,0.91762,0.91484,0.91576
1672934400,0.91576,0.91691,0.91557,0.91562
1672938000,0.91562,0.91648,0.91548,0.91598
1672941600,0.91598,0.91826,0.9154,0.91734
1672945200,0.91734,0.91788,0.91674,0.91686
1672948800,0.91686,0.91719,0.9167,0.91697
1672952400,0.91697,0.91708,0.91592,0.9162
1672956000,0.9162,0.918,0.91605,0.9164
1672959600,0.9164,0.91762,0.91588,0.91596
1672963200,0.91596,0.9177,0.91577,0.9176
1672966800,0.9176,0.91782,0.91586,0.91624
1672970400,0.91624,0.91704,0.9162,0.91648
1672974000,0.91648,0.91902,0.91638,0.91772
1672977600,0.91772,0.9186,0.91745,0.91806
1672981200,0.91806,0.91813,0.91631,0.9169
1672984800,0.9169,0.91866,0.91675,0.91792
1672988400,0.91792,0.91888,0.91612,0.91678
1672992000,0.91678,0.91832,0.91634,0.91815
1672995600,0.91815,0.91914,0.91731,0.91794
1672999200,0.91794,0.91894,0.91775,0.91873
1673002800,0.91873,0.91965,0.91752,0.9185
1673006400,0.9185,0.91922,0.91771,0.91886
1673010000,0.91886,0.92094,0.9166,0.91921
1673013600,0.91921,0.91931,0.91456,0.91487
1673017200,0.91487,0.92319,0.91487,0.92218
1673020800,0.92218,0.92429,0.92107,0.9234
1673024400,0.9234,0.92375,0.92244,0.92342
1673028000,0.92342,0.92476,0.92296,0.92474
1673031600,0.92474,0.92494,0.92388,0.92444
1673035200,0.92444,0.92553,0.92388,0.92551
1673038800,0.92551,0.92556,0.9239,0.92436
1673215200,0.92436,0.92501,0.92416,0.92435
1673218800,0.92435,0.92672,0.92432,0.92658
1673222400,0.92658,0.92712,0.9255,0.9267
1673226000,0.9267,0.92726,0.92552,0.92614
1673229600,0.92614,0.92855,0.92538,0.92844
1673233200,0.92844,0.92864,0.92726,0.92749
1673236800,0.92749,0.92902,0.9274,0.92852
1673240400,0.92852,0.92944,0.92812,0.9292
1673244000,0.9292,0.93011,0.92902,0.92936
1673247600,0.92936,0.9302,0.92734,0.92773
1673251200,0.92773,0.92958,0.92764,0.92843
1673254800,0.92843,0.92888,0.92712,0.92751
1673258400,0.92751,0.92772,0.9247,0.92488
1673262000,0.92488,0.9259,0.9247,0.92482
1673265600,0.92482,0.92616,0.92384,0.9254
1673269200,0.9254,0.92795,0.92528,0.92739
1673272800,0.92739,0.92938,0.92688,0.92847
1673276400,0.92847,0.9296,0.92746,0.92805
1673280000,0.92805,0.92924,0.92756,0.929
1673283600,0.929,0.9291,0.92684,0.9274
1673287200,0.9274,0.92756,0.9262,0.92698
1673290800,0.92698,0.92727,0.92636,0.92696
1673294400,0.92696,0.92696,0.92503,0.92548
1673298000,0.92548,0.92584,0.92514,0.92564
1673301600,0.92564,0.9269,0.9252,0.92563
1673305200,0.92563,0.92677,0.92486,0.92546
1673308800,0.92546,0.9258,0.92492,0.92572
1673312400,0.92572,0.92696,0.92572,0.92645
1673316000,0.92645,0.92666,0.9239,0.9247
1673319600,0.9247,0.9249,0.92379,0.9243
1673323200,0.9243,0.92524,0.92364,0.92467
1673326800,0.92467,0.92576,0.92456,0.92488
1673330400,0.92488,0.92536,0.9237,0.92439
1673334000,0.92439,0.92446,0.92295,0.92406
1673337600,0.92406,0.92489,0.92342,0.9248
1673341200,0.9248,0.92484,0.92298,0.92342
1673344800,0.92342,0.92377,0.92281,0.92305
1673348400,0.92305,0.92314,0.92177,0.92224
1673352000,0.92224,0.92247,0.92051,0.92087
1673355600,0.92087,0.92167,0.9203,0.9214
1673359200,0.9214,0.92474,0.92138,0.92385
1673362800,0.92385,0.92481,0.9224,0.92442
1673366400,0.92442,0.92472,0.92328,0.92457
1673370000,0.92457,0.92542,0.92404,0.92501
1673373600,0.92501,0.92546,0.92406,0.92496
1673377200,0.92496,0.92528,0.92458,0.92508
1673380800,0.92508,0.92552,0.92486,0.92552
1673384400,0.92552,0.9257,0.92515,0.92558
1673388000,0.92558,0.92624,0.92398,0.92606
1673391600,0.92606,0.92626,0.92529,0.92606
1673395200,0.92606,0.92822,0.92576,0.92632
1673398800,0.92632,0.92635,0.92534,0.92578
1673402400,0.92578,0.92725,0.92556,0.92572
1673406000,0.92572,0.92732,0.92572,0.92716
1673409600,0.92716,0.9284,0.92716,0.92822
1673413200,0.92822,0.92926,0.92816,0.92846
1673416800,0.92846,0.92888,0.92754,0.92758
1673420400,0.92758,0.92772,0.92657,0.92726
1673424000,0.92726,0.92749,0.92624,0.9265
1673427600,0.9265,0.92838,0.92632,0.92773
1673431200,0.92773,0.9281,0.9265,0.92671
1673434800,0.92671,0.92718,0.92535,0.92546
1673438400,0.92546,0.92571,0.92404,0.92506
1673442000,0.92506,0.9259,0.9248,0.92522
1673445600,0.92522,0.92723,0.9246,0.92598
1673449200,0.92598,0.92714,0.92561,0.92674
1673452800,0.92674,0.92758,0.92588,0.92592
1673456400,0.92592,0.92638,0.92549,0.92613
1673460000,0.92613,0.9274,0.92501,0.92738
1673463600,0.92738,0.92766,0.92686,0.92761
1673467200,0.92761,0.92764,0.92708,0.92738
1673470800,0.92738,0.92788,0.92708,0.92713
1673474400,0.92713,0.92756,0.92592,0.92694
1673478000,0.92694,0.92826,0.9268,0.9279
1673481600,0.9279,0.929,0.92775,0.92842
1673485200,0.92842,0.92893,0.92813,0.92866
1673488800,0.92866,0.92899,0.9283,0.92846
1673492400,0.92846,0.92862,0.92795,0.92813
1673496000,0.92813,0.92949,0.92796,0.92937
1673499600,0.92937,0.92966,0.92881,0.92891
1673503200,0.92891,0.92919,0.92703,0.92726
1673506800,0.92726,0.92726,0.92629,0.92709
1673510400,0.92709,0.92724,0.92585,0.9267
1673514000,0.9267,0.92816,0.92655,0.92794
1673517600,0.92794,0.92811,0.92688,0.92704
1673521200,0.92704,0.92734,0.92623,0.92658
1673524800,0.92658,0.92686,0.92569,0.92638
1673528400,0.92638,0.93274,0.92426,0.9323
1673532000,0.9323,0.93248,0.92546,0.92664
1673535600,0.92664,0.932,0.92649,0.92928
1673539200,0.92928,0.92988,0.92818,0.92928
1673542800,0.92928,0.9321,0.92873,0.93152
1673546400,0.93152,0.93234,0.93069,0.93166
1673550000,0.93166,0.93198,0.93098,0.93113
1673553600,0.93113,0.9312,0.93056,0.93112
1673557200,0.93112,0.93162,0.93078,0.93154
1673560800,0.93154,0.93168,0.9306,0.93106
