time,open,high,low,close
1672614000,0.6304,0.6304,0.62974,0.63
1672617600,0.63,0.63023,0.62924,0.62978
1672621200,0.62978,0.62998,0.62929,0.62945
1672624800,0.62945,0.62964,0.62944,0.62958
1672628400,0.62958,0.6298,0.62948,0.62956
1672632000,0.62956,0.62957,0.62845,0.62927
1672635600,0.62927,0.62946,0.62908,0.62926
1672639200,0.62926,0.62954,0.62852,0.62898
1672642800,0.62898,0.63041,0.62718,0.62802
1672646400,0.62802,0.62985,0.62786,0.62916
1672650000,0.62916,0.62928,0.62763,0.62826
1672653600,0.62826,0.62913,0.62791,0.62815
1672657200,0.62815,0.62894,0.62784,0.62888
1672660800,0.62888,0.6296,0.62822,0.62922
1672664400,0.62922,0.62932,0.6284,0.62904
1672668000,0.62904,0.63052,0.629,0.63052
1672671600,0.63052,0.63118,0.63044,0.63117
1672675200,0.63117,0.63129,0.63057,0.63074
1672678800,0.63074,0.63099,0.63068,0.63088
1672682400,0.63088,0.63096,0.6303,0.63032
1672686000,0.63032,0.63078,0.6295,0.62963
1672689600,0.62963,0.62999,0.62886,0.6291
1672693200,0.6291,0.62946,0.62864,0.62921
1672696800,0.62921,0.63012,0.62837,0.62934
1672700400,0.62934,0.63044,0.6286,0.62952
1672704000,0.62952,0.6298,0.62731,0.62792
1672707600,0.62792,0.62813,0.62634,0.62694
1672711200,0.62694,0.62913,0.6267,0.62888
1672714800,0.62888,0.63128,0.62877,0.63105
1672718400,0.63105,0.63128,0.63036,0.6309
1672722000,0.6309,0.63106,0.62772,0.62838
1672725600,0.62838,0.62912,0.62828,0.62908
1672729200,0.62908,0.62972,0.6285,0.62902
1672732800,0.62902,0.63006,0.62738,0.62768
1672736400,0.62768,0.63,0.6269,0.62988
1672740000,0.62988,0.63,0.62888,0.62914
1672743600,0.62914,0.62992,0.62841,0.62942
1672747200,0.62942,0.62942,0.62824,0.62881
1672750800,0.62881,0.63047,0.62812,0.63042
1672754400,0.63042,0.63096,0.62941,0.6297
1672758000,0.6297,0.63276,0.62938,0.63268
1672761600,0.63268,0.63282,0.63044,0.63048
1672765200,0.63048,0.63119,0.63037,0.63052
1672768800,0.63052,0.63076,0.62992,0.63066
1672772400,0.63066,0.63074,0.62981,0.62984
1672776000,0.62984,0.63012,0.62936,0.6298
1672779600,0.6298,0.63005,0.62938,0.62959
1672783200,0.62959,0.63089,0.62958,0.62994
1672786800,0.62994,0.6301,0.62892,0.62966
1672790400,0.62966,0.63048,0.62931,0.6303
1672794000,0.6303,0.63177,0.63019,0.63142
1672797600,0.63142,0.63264,0.63136,0.6323
1672801200,0.6323,0.63318,0.63221,0.63312
1672804800,0.63312,0.63576,0.6322,0.63475
1672808400,0.63475,0.6357,0.63372,0.63522
1672812000,0.63522,0.63524,0.63408,0.63432
1672815600,0.63432,0.6365,0.6343,0.63594
1672819200,0.63594,0.63752,0.63502,0.63718
1672822800,0.63718,0.63812,0.63658,0.63709
1672826400,0.63709,0.63772,0.63637,0.63768
1672830000,0.63768,0.63814,0.63698,0.63755
1672833600,0.63755,0.6377,0.63604,0.63632
1672837200,0.63632,0.63806,0.63606,0.63765
1672840800,0.63765,0.63861,0.63722,0.63796
1672844400,0.63796,0.63852,0.63581,0.6369
1672848000,0.6369,0.63698,0.63508,0.63592
1672851600,0.63592,0.63652,0.63528,0.6359
1672855200,0.6359,0.63706,0.63543,0.63583
1672858800,0.63583,0.63614,0.63486,0.6357
1672862400,0.6357,0.63599,0.63526,0.63592
1672866000,0.63592,0.63633,0.63568,0.63574
1672869600,0.63574,0.63607,0.63491,0.63551
1672873200,0.63551,0.63576,0.6346,0.63492
1672876800,0.63492,0.63508,0.63399,0.63414
1672880400,0.63414,0.63546,0.6341,0.63489
1672884000,0.63489,0.63491,0.63254,0.6331
1672887600,0.6331,0.63398,0.63233,0.6324
