time,open,high,low,close
1672614000,89.392,89.392,89.122,89.265
1672617600,89.265,89.366,89.102,89.197
1672621200,89.197,89.25,89.155,89.184
1672624800,89.184,89.225,89.184,89.221
1672628400,89.221,89.222,89.118,89.157
1672632000,89.157,89.157,89.114,89.144
1672635600,89.144,89.153,89.108,89.142
1672639200,89.142,89.186,89.11,89.122
1672642800,89.122,89.136,89.083,89.106
1672646400,89.106,89.189,89.042,89.082
1672650000,89.082,89.096,88.917,88.936
1672653600,88.936,89.049,88.864,88.884
1672657200,88.884,89.039,88.88,88.998
1672660800,88.998,89.089,88.895,89.013
1672664400,89.013,89.023,88.889,88.915
1672668000,88.915,89.106,88.915,89.066
1672671600,89.066,89.175,89.058,89.17
1672675200,89.17,89.219,89.09,89.108
1672678800,89.108,89.166,89.088,89.138
1672682400,89.138,89.155,89.045,89.074
1672686000,89.074,89.118,89.013,89.016
1672689600,89.016,89.054,88.863,88.931
1672693200,88.931,88.971,88.834,88.879
1672696800,88.879,89.045,88.782,88.836
1672700400,88.836,89.328,88.821,89.042
1672704000,89.042,89.094,88.696,88.765
1672707600,88.765,88.781,88.028,88.262
1672711200,88.262,88.516,88.226,88.5
1672714800,88.5,88.704,88.486,88.662
1672718400,88.662,88.664,88.414,88.478
1672722000,88.478,88.506,88.168,88.224
1672725600,88.224,88.408,88.114,88.312
1672729200,88.312,88.468,88.29,88.306
1672732800,88.306,88.35,87.724,87.79
1672736400,87.79,87.79,87.436,87.664
1672740000,87.664,87.708,87.52,87.612
1672743600,87.612,87.666,87.414,87.661
1672747200,87.661,87.866,87.649,87.832
1672750800,87.832,88.046,87.729,88.034
1672754400,88.034,88.164,87.832,87.87
1672758000,87.87,88.237,87.866,88.166
1672761600,88.166,88.202,87.996,88.044
1672765200,88.044,88.118,87.98,88
1672768800,88,88.001,87.85,87.954
1672772400,87.954,88.156,87.921,88.098
1672776000,88.098,88.135,88.044,88.124
1672779600,88.124,88.158,88.048,88.122
1672783200,88.122,88.215,88.122,88.142
1672786800,88.142,88.313,88.109,88.305
1672790400,88.305,88.354,88.028,88.351
1672794000,88.351,88.59,88.324,88.376
1672797600,88.376,88.61,88.371,88.527
1672801200,88.527,88.632,88.46,88.614
1672804800,88.614,89.165,88.612,89.03
1672808400,89.03,89.142,88.8,89
1672812000,89,89.004,88.842,88.947
1672815600,88.947,89.172,88.887,89.112
1672819200,89.112,89.688,89.033,89.672
1672822800,89.672,89.746,89.55,89.614
1672826400,89.614,89.742,89.614,89.728
1672830000,89.728,89.756,89.638,89.702
1672833600,89.702,89.889,89.664,89.709
1672837200,89.709,89.886,89.652,89.862
1672840800,89.862,90.134,89.836,90.088
1672844400,90.088,90.564,89.905,90.477
1672848000,90.477,90.54,90.354,90.533
1672851600,90.533,90.884,90.501,90.733
1672855200,90.733,90.842,90.548,90.58
1672858800,90.58,90.724,90.48,90.7
1672862400,90.7,90.739,90.59,90.719
1672866000,90.719,90.777,90.7,90.733
1672869600,90.733,90.733,90.472,90.493
1672873200,90.493,90.544,90.215,90.315
1672876800,90.315,90.327,90.079,90.094
1672880400,90.094,90.276,90,90.258
1672884000,90.258,90.284,89.854,89.964
1672887600,89.964,90.154,89.919,90.031
1672891200,90.031,90.248,90.006,90.164
1672894800,90.164,90.398,90.158,90.386
1672898400,90.386,90.472,90.274,90.28
1672902000,90.28,90.344,90.14,90.219
1672905600,90.219,90.534,90.209,90.438
1672909200,90.438,90.554,90.377,90.462
1672912800,90.462,90.523,90.382,90.462
1672916400,90.462,90.617,90.422,90.523
1672920000,90.523,90.697,90.478,90.67
1672923600,90.67,90.989,90.528,90.61
1672927200,90.61,90.614,90.402,90.478
1672930800,90.478,90.592,90.18,90.216
1672934400,90.216,90.35,89.992,90.07
1672938000,90.07,90.084,89.816,89.886
1672941600,89.886,90.154,89.829,90.064
1672945200,90.064,90.166,90.008,90.011
1672948800,90.011,90.082,90.005,90.05
1672952400,90.05,90.096,90.004,90.078
1672956000,90.078,90.251,90.078,90.114
1672959600,90.114,90.236,90.028,90.037
1672963200,90.037,90.44,90.035,90.426
1672966800,90.426,90.518,90.339,90.456
1672970400,90.456,90.52,90.342,90.376
1672974000,90.376,90.868,90.368,90.644
1672977600,90.644,90.739,90.603,90.639
1672981200,90.639,90.768,90.453,90.638
1672984800,90.638,90.79,90.613,90.613
1672988400,90.613,90.692,90.47,90.596
1672992000,90.596,90.764,90.59,90.716
1672995600,90.716,90.748,90.537,90.621
1672999200,90.621,90.634,90.488,90.56
1673002800,90.56,90.638,90.462,90.532
1673006400,90.532,90.65,90.495,90.63
1673010000,90.63,90.888,90.366,90.544
1673013600,90.544,90.64,90.405,90.44
1673017200,90.44,90.72,90.309,90.598
1673020800,90.598,90.949,90.507,90.746
1673024400,90.746,90.822,90.674,90.75
1673028000,90.75,90.862,90.694,90.821
