time,open,high,low,close
1672614000,1.07354,1.07448,1.07302,1.0731
1672617600,1.0731,1.0743,1.07226,1.07407
1672621200,1.07407,1.07882,1.07311,1.07478
1672624800,1.07478,1.08718,1.07312,1.07892
1672628400,1.07892,1.07892,1.07618,1.0764
1672632000,1.0764,1.07718,1.07614,1.0763
1672635600,1.0763,1.07728,1.07497,1.07527
1672639200,1.07527,1.07576,1.07498,1.07566
1672642800,1.07566,1.07566,1.07438,1.07519
1672646400,1.07519,1.07648,1.07458,1.07532
1672650000,1.07532,1.07536,1.07373,1.07419
1672653600,1.07419,1.07558,1.07366,1.07376
1672657200,1.07376,1.07546,1.0737,1.07516
1672660800,1.07516,1.0764,1.07436,1.07571
1672664400,1.07571,1.07623,1.07468,1.07572
1672668000,1.07572,1.07612,1.07425,1.07538
1672671600,1.07538,1.07864,1.07536,1.07862
1672675200,1.07862,1.079,1.07828,1.0783
1672678800,1.0783,1.07898,1.078,1.07887
1672682400,1.07887,1.07887,1.07553,1.07596
1672686000,1.07596,1.0762,1.07494,1.07578
1672689600,1.07578,1.07613,1.07444,1.07584
1672693200,1.07584,1.07605,1.07454,1.07495
1672696800,1.07495,1.07724,1.07478,1.07546
1672700400,1.07546,1.07709,1.07446,1.0761
1672704000,1.0761,1.07708,1.07468,1.07508
1672707600,1.07508,1.0766,1.075,1.07562
1672711200,1.07562,1.07654,1.07392,1.07392
1672714800,1.07392,1.07497,1.07256,1.07494
1672718400,1.07494,1.07616,1.07488,1.07576
1672722000,1.07576,1.07592,1.07322,1.0742
1672725600,1.0742,1.07548,1.07412,1.07544
1672729200,1.07544,1.07773,1.07536,1.07753
1672732800,1.07753,1.07927,1.07684,1.07839
1672736400,1.07839,1.07858,1.07502,1.07594
1672740000,1.07594,1.07949,1.07494,1.07924
1672743600,1.07924,1.07963,1.07735,1.0784
1672747200,1.0784,1.07851,1.07668,1.07817
1672750800,1.07817,1.07879,1.07696,1.07759
1672754400,1.07759,1.07827,1.0757,1.07786
1672758000,1.07786,1.07904,1.07642,1.07861
1672761600,1.07861,1.07913,1.07696,1.07755
1672765200,1.07755,1.07864,1.07728,1.07737
1672768800,1.07737,1.07858,1.07717,1.07788
1672772400,1.07788,1.07796,1.07688,1.07746
1672776000,1.07746,1.0779,1.07676,1.07711
1672779600,1.07711,1.07736,1.07628,1.0764
1672783200,1.0764,1.07698,1.07416,1.07688
