time,open,high,low,close
1672614000,0.68181,0.68202,0.68159,0.68194
1672617600,0.68194,0.68204,0.68064,0.68131
1672621200,0.68131,0.68149,0.6809,0.68098
1672624800,0.68098,0.68102,0.68086,0.68096
1672628400,0.68096,0.6812,0.68088,0.68091
1672632000,0.68091,0.68094,0.68074,0.68086
1672635600,0.68086,0.6809,0.68059,0.68066
1672639200,0.68066,0.68101,0.68059,0.68066
1672642800,0.68066,0.681,0.68026,0.68057
1672646400,0.68057,0.68116,0.68,0.68034
1672650000,0.68034,0.68034,0.67932,0.67952
1672653600,0.67952,0.68046,0.67946,0.67957
1672657200,0.67957,0.68062,0.6795,0.68053
1672660800,0.68053,0.6812,0.67994,0.68078
1672664400,0.68078,0.68086,0.67991,0.68054
1672668000,0.68054,0.6814,0.68054,0.68126
1672671600,0.68126,0.68182,0.68124,0.68182
1672675200,0.68182,0.68197,0.68142,0.68142
1672678800,0.68142,0.68168,0.68134,0.68156
1672682400,0.68156,0.68164,0.68093,0.68096
1672686000,0.68096,0.68142,0.68074,0.68084
1672689600,0.68084,0.68112,0.68017,0.68048
1672693200,0.68048,0.68059,0.67979,0.68017
1672696800,0.68017,0.68064,0.67897,0.67949
1672700400,0.67949,0.68103,0.67948,0.68077
1672704000,0.68077,0.68108,0.67918,0.67962
1672707600,0.67962,0.67962,0.67728,0.67813
1672711200,0.67813,0.68146,0.67784,0.68116
1672714800,0.68116,0.68347,0.68104,0.68314
1672718400,0.68314,0.68344,0.68236,0.6827
1672722000,0.6827,0.6829,0.67877,0.6796
1672725600,0.6796,0.68028,0.67956,0.68012
1672729200,0.68012,0.68094,0.67834,0.6787
1672732800,0.6787,0.67876,0.67101,0.67125
1672736400,0.67125,0.67273,0.66942,0.67219
1672740000,0.67219,0.6722,0.67028,0.67037
1672743600,0.67037,0.6705,0.6688,0.66981
1672747200,0.66981,0.67093,0.66922,0.6706
1672750800,0.6706,0.67402,0.66996,0.67374
1672754400,0.67374,0.67677,0.67282,0.67494
1672758000,0.67494,0.67534,0.67294,0.67433
1672761600,0.67433,0.67447,0.67218,0.67293
1672765200,0.67293,0.67367,0.67244,0.67282
1672768800,0.67282,0.67356,0.67203,0.67334
1672772400,0.67334,0.67422,0.67293,0.67362
1672776000,0.67362,0.67394,0.6726,0.67288
1672779600,0.67288,0.67304,0.6725,0.67278
1672783200,0.67278,0.67311,0.67258,0.67288
1672786800,0.67288,0.6729,0.6717,0.67255
1672790400,0.67255,0.67448,0.67236,0.67434
1672794000,0.67434,0.6768,0.67418,0.67646
1672797600,0.67646,0.67764,0.67636,0.67672
1672801200,0.67672,0.67832,0.6767,0.67828
1672804800,0.67828,0.68174,0.67725,0.6805
1672808400,0.6805,0.6817,0.67874,0.68014
1672812000,0.68014,0.68046,0.67906,0.6804
1672815600,0.6804,0.68494,0.6803,0.6842
1672819200,0.6842,0.68792,0.68376,0.68712
1672822800,0.68712,0.68848,0.68668,0.6871
1672826400,0.6871,0.68801,0.68662,0.68795
1672830000,0.68795,0.6886,0.68666,0.68718
1672833600,0.68718,0.68735,0.68533,0.68566
1672837200,0.68566,0.68778,0.68532,0.6875
1672840800,0.6875,0.68865,0.68673,0.68774
1672844400,0.68774,0.68812,0.68348,0.68536
1672848000,0.68536,0.68604,0.68389,0.68582
1672851600,0.68582,0.68639,0.68454,0.68454
1672855200,0.68454,0.68562,0.68338,0.68368
1672858800,0.68368,0.68482,0.68196,0.68396
1672862400,0.68396,0.68416,0.68324,0.68378
1672866000,0.68378,0.68427,0.68362,0.68388
1672869600,0.68388,0.68388,0.68313,0.68352
1672873200,0.68352,0.68369,0.68288,0.68289
1672876800,0.68289,0.68398,0.68218,0.68309
1672880400,0.68309,0.68453,0.68306,0.68388
1672884000,0.68388,0.68388,0.68097,0.6816
1672887600,0.6816,0.68212,0.68011,0.68024
1672891200,0.68024,0.68185,0.68008,0.68143
1672894800,0.68143,0.68229,0.68084,0.68223
1672898400,0.68223,0.68342,0.68161,0.68161
1672902000,0.68161,0.68262,0.68006,0.68095
1672905600,0.68095,0.68206,0.68004,0.68204
1672909200,0.68204,0.6829,0.68146,0.68253
1672912800,0.68253,0.68318,0.68198,0.6828
1672916400,0.6828,0.68403,0.68277,0.6834
1672920000,0.6834,0.68418,0.68268,0.68292
1672923600,0.68292,0.68376,0.67729,0.67776
1672927200,0.67776,0.67812,0.67614,0.67647
1672930800,0.67647,0.67748,0.67354,0.67388
1672934400,0.67388,0.67554,0.67382,0.67428
1672938000,0.67428,0.67512,0.67402,0.67455
1672941600,0.67455,0.67726,0.67429,0.67655
1672945200,0.67655,0.67681,0.67575,0.67576
1672948800,0.67576,0.67583,0.6751,0.67518
1672952400,0.67518,0.67529,0.6748,0.67511
1672956000,0.67511,0.67618,0.67511,0.67542
1672959600,0.67542,0.67632,0.67518,0.67532
1672963200,0.67532,0.67717,0.67514,0.67714
1672966800,0.67714,0.67742,0.67547,0.67602
1672970400,0.67602,0.67684,0.676,0.67622
1672974000,0.67622,0.67882,0.67608,0.67734
1672977600,0.67734,0.67785,0.67678,0.6768
1672981200,0.6768,0.67688,0.67492,0.67558
1672984800,0.67558,0.67688,0.67546,0.67605
1672988400,0.67605,0.677,0.67402,0.67494
1672992000,0.67494,0.67596,0.67458,0.67518
1672995600,0.67518,0.67518,0.6732,0.67419
1672999200,0.67419,0.67464,0.67364,0.67398
1673002800,0.67398,0.67468,0.6724,0.67291
1673006400,0.67291,0.67334,0.6724,0.67294
1673010000,0.67294,0.67914,0.67222,0.67886
1673013600,0.67886,0.67897,0.67461,0.67492
1673017200,0.67492,0.68457,0.67488,0.68406
1673020800,0.68406,0.68698,0.68334,0.68631
1673024400,0.68631,0.68699,0.68568,0.68691
1673028000,0.68691,0.68788,0.68613,0.6875
1673031600,0.6875,0.68838,0.68742,0.68809
1673035200,0.68809,0.6887,0.68758,0.6884
1673038800,0.6884,0.6884,0.68744,0.68754
1673215200,0.68754,0.68794,0.68754,0.68756
1673218800,0.68756,0.68972,0.68751,0.68962
1673222400,0.68962,0.69001,0.68847,0.69
1673226000,0.69,0.69097,0.68872,0.69032
1673229600,0.69032,0.69264,0.69002,0.69256
1673233200,0.69256,0.6926,0.69117,0.69144
1673236800,0.69144,0.6931,0.69135,0.69278
1673240400,0.69278,0.69378,0.69226,0.69344
1673244000,0.69344,0.69398,0.69296,0.6934
1673247600,0.6934,0.69467,0.69112,0.69158
1673251200,0.69158,0.69417,0.69138,0.69266
1673254800,0.69266,0.69342,0.69216,0.69258
1673258400,0.69258,0.69286,0.6906,0.69088
1673262000,0.69088,0.69194,0.69074,0.69138
1673265600,0.69138,0.69267,0.69056,0.69212
1673269200,0.69212,0.69454,0.69195,0.6933
