time,open,high,low,close
1672614000,0.6826,0.68295,0.68156,0.68261
1672617600,0.68261,0.68356,0.68261,0.68342
1672621200,0.68342,0.68348,0.68286,0.68326
1672624800,0.68326,0.68354,0.68158,0.6818
1672628400,0.6818,0.68246,0.68161,0.68246
1672632000,0.68246,0.68246,0.681,0.68192
1672635600,0.68192,0.68244,0.6817,0.68236
1672639200,0.68236,0.68254,0.68158,0.68178
1672642800,0.68178,0.68341,0.68016,0.68145
1672646400,0.68145,0.68303,0.68054,0.68254
1672650000,0.68254,0.68293,0.68118,0.68172
1672653600,0.68172,0.68184,0.68114,0.68144
1672657200,0.68144,0.68159,0.68046,0.6809
1672660800,0.6809,0.68122,0.68051,0.68076
1672664400,0.68076,0.68096,0.6805,0.68084
1672668000,0.68084,0.68176,0.68075,0.68175
1672671600,0.68175,0.68231,0.68158,0.68229
1672675200,0.68229,0.68231,0.68153,0.68196
1672678800,0.68196,0.68214,0.6817,0.68194
1672682400,0.68194,0.68219,0.68142,0.68192
1672686000,0.68192,0.68209,0.68118,0.68134
1672689600,0.68134,0.68172,0.6811,0.68116
1672693200,0.68116,0.68144,0.68068,0.68144
1672696800,0.68144,0.6825,0.68144,0.6825
1672700400,0.6825,0.68376,0.68144,0.68178
1672704000,0.68178,0.68223,0.68044,0.68066
1672707600,0.68066,0.6808,0.67901,0.67926
1672711200,0.67926,0.68008,0.67876,0.68006
1672714800,0.68006,0.68212,0.68006,0.6821
1672718400,0.6821,0.68218,0.6817,0.6818
1672722000,0.6818,0.68196,0.68135,0.6818
1672725600,0.6818,0.68256,0.68162,0.68251
1672729200,0.68251,0.68478,0.6821,0.68467
1672732800,0.68467,0.68779,0.68453,0.68687
1672736400,0.68687,0.68874,0.68667,0.6883
1672740000,0.6883,0.6889,0.68778,0.68852
1672743600,0.68852,0.68959,0.68808,0.68949
1672747200,0.68949,0.6895,0.68607,0.68639
1672750800,0.68639,0.6865,0.68402,0.68462
1672754400,0.68462,0.68529,0.68405,0.68526
1672758000,0.68526,0.68842,0.68514,0.688
1672761600,0.688,0.68864,0.68542,0.68568
1672765200,0.68568,0.68632,0.68554,0.68569
1672768800,0.68569,0.68582,0.6849,0.68582
1672772400,0.68582,0.68584,0.68403,0.68428
1672776000,0.68428,0.68476,0.6842,0.6847
1672779600,0.6847,0.68484,0.68422,0.68463
1672783200,0.68463,0.68572,0.68462,0.68512
1672786800,0.68512,0.68532,0.68434,0.68472
1672790400,0.68472,0.68509,0.68425,0.68436
1672794000,0.68436,0.68465,0.68404,0.68423
1672797600,0.68423,0.68498,0.68402,0.68494
1672801200,0.68494,0.68509,0.6844,0.68452
1672804800,0.68452,0.68468,0.68414,0.68426
1672808400,0.68426,0.6846,0.68403,0.68439
1672812000,0.68439,0.68439,0.68318,0.6832
1672815600,0.6832,0.68369,0.68182,0.68247
1672819200,0.68247,0.68452,0.68092,0.68412
1672822800,0.68412,0.68446,0.6833,0.68394
