time,open,high,low,close
1672614000,96.792,96.792,96.433,96.724
1672617600,96.724,96.877,96.723,96.801
1672621200,96.801,96.824,96.752,96.8
1672624800,96.8,96.859,96.616,96.641
1672628400,96.641,96.651,96.579,96.65
1672632000,96.65,96.658,96.595,96.63
1672635600,96.63,96.672,96.599,96.668
1672639200,96.668,96.713,96.612,96.614
1672642800,96.614,96.707,96.558,96.706
1672646400,96.706,96.734,96.612,96.662
1672650000,96.662,96.704,96.492,96.51
1672653600,96.51,96.53,96.419,96.436
1672657200,96.436,96.51,96.354,96.364
1672660800,96.364,96.414,96.29,96.294
1672664400,96.294,96.316,96.194,96.227
1672668000,96.227,96.346,96.223,96.305
1672671600,96.305,96.436,96.279,96.404
1672675200,96.404,96.427,96.292,96.332
1672678800,96.332,96.39,96.307,96.35
1672682400,96.35,96.376,96.274,96.35
1672686000,96.35,96.353,96.303,96.317
1672689600,96.317,96.323,96.296,96.31
1672693200,96.31,96.32,96.191,96.243
1672696800,96.243,96.408,96.243,96.331
1672700400,96.331,96.888,96.217,96.432
1672704000,96.432,96.527,96.196,96.218
1672707600,96.218,96.254,95.471,95.626
1672711200,95.626,95.732,95.482,95.706
1672714800,95.706,95.85,95.69,95.834
1672718400,95.834,95.838,95.596,95.616
1672722000,95.616,95.816,95.6,95.721
1672725600,95.721,95.921,95.598,95.816
1672729200,95.816,96.182,95.806,96.118
1672732800,96.118,96.296,95.986,96.068
1672736400,96.068,96.069,95.662,95.8
1672740000,95.8,95.932,95.71,95.88
1672743600,95.88,96.035,95.787,96.03
1672747200,96.03,96.24,95.804,95.876
1672750800,95.876,95.895,95.564,95.593
1672754400,95.593,95.756,95.404,95.623
1672758000,95.623,96.148,95.612,95.876
1672761600,95.876,95.998,95.687,95.752
1672765200,95.752,95.818,95.68,95.701
1672768800,95.701,95.708,95.528,95.644
1672772400,95.644,95.733,95.521,95.716
1672776000,95.716,95.815,95.692,95.808
1672779600,95.808,95.872,95.712,95.828
1672783200,95.828,95.888,95.823,95.866
1672786800,95.866,96.128,95.804,96.027
1672790400,96.027,96.037,95.742,95.931
1672794000,95.931,96.108,95.72,95.77
1672797600,95.77,95.977,95.767,95.893
1672801200,95.893,95.967,95.762,95.809
1672804800,95.809,96.002,95.807,95.974
1672808400,95.974,96.01,95.866,95.888
1672812000,95.888,95.892,95.75,95.808
1672815600,95.808,95.82,95.552,95.635
1672819200,95.635,96.334,95.524,96.282
1672822800,96.282,96.302,96.124,96.208
1672826400,96.208,96.364,96.208,96.262
1672830000,96.262,96.373,96.18,96.317
1672833600,96.317,96.648,96.313,96.542
1672837200,96.542,96.722,96.504,96.721
1672840800,96.721,96.91,96.615,96.864
1672844400,96.864,97.668,96.78,97.604
1672848000,97.604,97.87,97.546,97.836
1672851600,97.836,98.43,97.83,98.276
1672855200,98.276,98.284,98.062,98.14
1672858800,98.14,98.396,98.112,98.355
1672862400,98.355,98.423,98.256,98.412
1672866000,98.412,98.469,98.395,98.444
1672869600,98.444,98.444,98.204,98.204
1672873200,98.204,98.282,98.015,98.069
1672876800,98.069,98.112,97.75,97.77
1672880400,97.77,97.876,97.65,97.857
1672884000,97.857,97.911,97.636,97.722
1672887600,97.722,97.989,97.683,97.958
1672891200,97.958,98.064,97.886,97.962
1672894800,97.962,98.188,97.958,98.158
1672898400,98.158,98.162,97.985,98.014
1672902000,98.014,98.076,97.904,98.008
1672905600,98.008,98.315,97.954,98.14
1672909200,98.14,98.242,98.056,98.138
1672912800,98.138,98.222,98.052,98.09
1672916400,98.09,98.192,97.982,98.074
1672920000,98.074,98.342,98.068,98.334
1672923600,98.334,98.859,98.324,98.773
1672927200,98.773,98.82,98.566,98.754
1672930800,98.754,98.807,98.484,98.512
1672934400,98.512,98.582,98.215,98.366
1672938000,98.366,98.374,98.016,98.126
1672941600,98.126,98.226,98.066,98.177
1672945200,98.177,98.259,98.167,98.168
1672948800,98.168,98.228,98.152,98.197
1672952400,98.197,98.357,98.189,98.316
1672956000,98.316,98.364,98.27,98.332
1672959600,98.332,98.429,98.254,98.298
1672963200,98.298,98.602,98.287,98.542
1672966800,98.542,98.728,98.533,98.728
1672970400,98.728,98.745,98.563,98.61
1672974000,98.61,98.885,98.602,98.768
1672977600,98.768,98.856,98.706,98.725
1672981200,98.725,98.99,98.614,98.851
1672984800,98.851,98.906,98.714,98.716
1672988400,98.716,98.846,98.507,98.818
1672992000,98.818,98.966,98.763,98.799
1672995600,98.799,98.816,98.591,98.72
1672999200,98.72,98.722,98.532,98.57
1673002800,98.57,98.656,98.5,98.56
1673006400,98.56,98.666,98.498,98.63
1673010000,98.63,98.899,98.26,98.5
1673013600,98.5,98.944,98.444,98.846
1673017200,98.846,98.904,98.095,98.241
1673020800,98.241,98.426,98.179,98.27
1673024400,98.27,98.399,98.202,98.274
1673028000,98.274,98.317,98.207,98.208
1673031600,98.208,98.314,98.194,98.276
1673035200,98.276,98.33,98.236,98.254
1673038800,98.254,98.316,98.206,98.251
1673215200,98.251,98.288,98.096,98.286
1673218800,98.286,98.42,98.078,98.096
1673222400,98.096,98.316,98.017,98.16
1673226000,98.16,98.246,98.072,98.195
1673229600,98.195,98.228,97.962,97.984
1673233200,97.984,98.133,97.932,98.131
1673236800,98.131,98.281,98.12,98.259
1673240400,98.259,98.44,98.258,98.396
1673244000,98.396,98.43,98.277,98.342
1673247600,98.342,98.654,98.278,98.576
1673251200,98.576,98.714,98.546,98.589
1673254800,98.589,99.006,98.589,98.897
1673258400,98.897,99.072,98.839,99.066
1673262000,99.066,99.084,98.922,99.066
1673265600,99.066,99.07,98.796,98.939
1673269200,98.939,98.939,98.508,98.522
1673272800,98.522,98.571,98.286,98.534
1673276400,98.534,98.75,98.534,98.705
1673280000,98.705,98.737,98.384,98.401
1673283600,98.401,98.622,98.376,98.56
1673287200,98.56,98.6,98.468,98.513
1673290800,98.513,98.536,98.375,98.432
1673294400,98.432,98.554,98.424,98.442
1673298000,98.442,98.514,98.408,98.487
1673301600,98.487,98.536,98.444,98.494
1673305200,98.494,98.516,98.275,98.352
1673308800,98.352,98.656,98.309,98.324
1673312400,98.324,98.374,98.18,98.31
1673316000,98.31,98.432,98.278,98.392
1673319600,98.392,98.498,98.378,98.456
1673323200,98.456,98.554,98.453,98.55
1673326800,98.55,98.582,98.411,98.481
1673330400,98.481,98.632,98.448,98.588
1673334000,98.588,98.774,98.558,98.686
1673337600,98.686,98.706,98.378,98.445
1673341200,98.445,98.554,98.368,98.5
1673344800,98.5,98.617,98.498,98.564
1673348400,98.564,98.69,98.557,98.569
1673352000,98.569,98.714,98.522,98.684
1673355600,98.684,98.751,98.561,98.691
1673359200,98.691,98.696,98.346,98.488
1673362800,98.488,98.559,98.326,98.392
1673366400,98.392,98.535,98.378,98.458
1673370000,98.458,98.469,98.374,98.402
1673373600,98.402,98.547,98.362,98.536
1673377200,98.536,98.582,98.451,98.55
1673380800,98.55,98.55,98.458,98.493
1673384400,98.493,98.532,98.439,98.474
1673388000,98.474,98.544,98.406,98.465
1673391600,98.465,98.495,98.312,98.332
1673395200,98.332,98.562,98.33,98.504
1673398800,98.504,98.593,98.46,98.544
1673402400,98.544,98.649,98.528,98.646
1673406000,98.646,98.66,98.571,98.6
1673409600,98.6,98.64,98.482,98.49
1673413200,98.49,98.576,98.482,98.536
1673416800,98.536,98.642,98.466,98.594
1673420400,98.594,98.642,98.486,98.62
1673424000,98.62,98.802,98.582,98.774
1673427600,98.774,98.831,98.688,98.706
1673431200,98.706,98.721,98.588,98.718
1673434800,98.718,98.804,98.635,98.754
1673438400,98.754,98.902,98.682,98.836
1673442000,98.836,98.93,98.784,98.928
1673445600,98.928,98.953,98.674,98.722
1673449200,98.722,98.772,98.522,98.73
1673452800,98.73,98.798,98.582,98.769
1673456400,98.769,98.839,98.62,98.62
1673460000,98.62,98.78,98.556,98.558
1673463600,98.558,98.704,98.53,98.665
1673467200,98.665,98.725,98.648,98.7
1673470800,98.7,98.725,98.64,98.708
1673474400,98.708,98.779,98.626,98.646
1673478000,98.646,98.646,98.168,98.218
1673481600,98.218,98.303,97.994,98.22
1673485200,98.22,98.331,97.964,98.068
1673488800,98.068,98.172,97.95,98.052
1673492400,98.052,98.111,98.009,98.096
1673496000,98.096,98.158,97.88,97.916
1673499600,97.916,98.029,97.844,98.024
1673503200,98.024,98.091,97.936,98.06
1673506800,98.06,98.122,97.928,97.96
1673510400,97.96,98.048,97.89,97.99
1673514000,97.99,97.994,97.485,97.56
1673517600,97.56,97.662,97.488,97.58
1673521200,97.58,97.604,97.465,97.494
1673524800,97.494,97.502,97.338,97.458
1673528400,97.458,97.692,96.91,97.087
1673532000,97.087,97.428,97.044,97.316
1673535600,97.316,97.343,96.8,96.871
1673539200,96.871,96.996,96.776,96.977
1673542800,96.977,97.048,96.678,96.747
1673546400,96.747,96.764,96.542,96.758
1673550000,96.758,96.878,96.684,96.812
1673553600,96.812,96.856,96.677,96.69
1673557200,96.69,96.793,96.68,96.73
1673560800,96.73,96.828,96.652,96.73
1673564400,96.73,96.818,96.516,96.559
1673568000,96.559,96.631,96.234,96.562
1673571600,96.562,96.656,96.27,96.369
1673575200,96.369,96.542,96.344,96.53
1673578800,96.53,96.532,96.406,96.476
1673582400,96.476,96.544,96.365,96.525
1673586000,96.525,96.548,96.453,96.475
1673589600,96.475,96.481,96.018,96.127
1673593200,96.127,96.324,96.002,96.123
1673596800,96.123,96.278,96.044,96.234
1673600400,96.234,96.432,96.196,96.291
1673604000,96.291,96.364,96.158,96.218
1673607600,96.218,96.26,96.078,96.229
1673611200,96.229,96.254,95.9,95.912
1673614800,95.912,95.975,95.475,95.509
1673618400,95.509,95.566,95.15,95.16
1673622000,95.16,95.346,95.086,95.185
1673625600,95.185,95.352,95.104,95.32
1673629200,95.32,95.379,95.245,95.304
1673632800,95.304,95.462,95.276,95.45
1673636400,95.45,95.556,95.386,95.556
1673640000,95.556,95.556,95.482,95.494
1673643600,95.494,95.518,95.416,95.453
1673820000,95.453,95.481,95.357,95.389
1673823600,95.389,95.667,95.386,95.572
1673827200,95.572,95.768,95.486,95.53
1673830800,95.53,95.612,95.358,95.559
1673834400,95.559,95.602,95.266,95.37
1673838000,95.37,95.408,95.246,95.372
1673841600,95.372,95.555,95.308,95.502
1673845200,95.502,95.628,95.444,95.462
1673848800,95.462,95.741,95.429,95.68
1673852400,95.68,95.775,95.551,95.592
1673856000,95.592,96.062,95.491,95.934
1673859600,95.934,96.019,95.786,95.839
1673863200,95.839,96.011,95.784,95.92
1673866800,95.92,95.974,95.755,95.854
1673870400,95.854,95.98,95.809,95.91
1673874000,95.91,95.962,95.804,95.864
1673877600,95.864,95.962,95.828,95.908
1673881200,95.908,96.024,95.882,95.952
1673884800,95.952,96.062,95.892,96.033
1673888400,96.033,96.134,96.032,96.114
1673892000,96.114,96.124,95.93,95.941
1673895600,95.941,95.974,95.884,95.916
1673899200,95.916,95.934,95.814,95.82
1673902800,95.82,95.873,95.774,95.861
1673906400,95.861,95.892,95.776,95.805
1673910000,95.805,95.836,95.656,95.784
1673913600,95.784,95.954,95.762,95.819
1673917200,95.819,96.198,95.754,96.084
1673920800,96.084,96.239,96.046,96.19
1673924400,96.19,96.199,96.036,96.074
1673928000,96.074,96.096,95.977,96.015
1673931600,96.015,96.054,95.93,95.958
1673935200,95.958,96.162,95.914,96.091
1673938800,96.091,96.102,95.91,96.001
1673942400,96.001,96.042,95.752,95.762
1673946000,95.762,95.963,95.762,95.916
1673949600,95.916,96.116,95.864,95.996
1673953200,95.996,96.108,95.926,95.978
1673956800,95.978,96.016,95.736,95.89
1673960400,95.89,95.993,95.722,95.992
1673964000,95.992,96.011,95.768,95.882
1673967600,95.882,96.127,95.794,95.804
1673971200,95.804,95.836,95.68,95.795
1673974800,95.795,95.844,95.685,95.746
1673978400,95.746,95.855,95.726,95.838
1673982000,95.838,95.933,95.796,95.884
1673985600,95.884,95.92,95.74,95.766
1673989200,95.766,95.827,95.692,95.697
1673992800,95.697,95.782,95.676,95.769
1673996400,95.769,95.823,95.742,95.798
1674000000,95.798,96.227,95.762,96.193
1674003600,96.193,96.351,95.994,96.03
1674007200,96.03,97.572,95.82,97.48
1674010800,97.48,97.994,97.392,97.944
1674014400,97.944,98.22,97.9,98.18
1674018000,98.18,98.296,97.742,97.786
1674021600,97.786,98.106,97.608,97.774
1674025200,97.774,97.983,97.39,97.488
1674028800,97.488,97.567,96.963,96.983
1674032400,96.983,97.09,96.69,96.864
1674036000,96.864,96.947,96.592,96.716
1674039600,96.716,96.836,96.394,96.472
1674043200,96.472,96.587,96.366,96.498
1674046800,96.498,96.516,95.65,95.686
1674050400,95.686,95.838,95.378,95.789
1674054000,95.789,95.86,95.634,95.772
1674057600,95.772,95.827,95.574,95.602
1674061200,95.602,95.704,95.552,95.585
1674064800,95.585,95.602,95.378,95.548
1674068400,95.548,95.634,95.39,95.4
1674072000,95.4,95.503,95.4,95.456
1674075600,95.456,95.55,95.414,95.525
1674079200,95.525,95.567,95.328,95.44
1674082800,95.44,95.492,95.184,95.252
1674086400,95.252,95.274,94.929,95.002
1674090000,95.002,95.242,94.982,95.169
1674093600,95.169,95.209,95.08,95.11
