time,open,high,low,close
1672614000,141.824,141.824,141.538,141.682
1672617600,141.682,141.833,141.587,141.672
1672621200,141.672,141.743,141.592,141.69
1672624800,141.69,141.73,141.672,141.717
1672628400,141.717,141.732,141.606,141.644
1672632000,141.644,141.843,141.622,141.68
1672635600,141.68,141.733,141.642,141.678
1672639200,141.678,141.833,141.648,141.727
1672642800,141.727,142.028,141.349,141.849
1672646400,141.849,141.858,141.596,141.65
1672650000,141.65,141.796,141.5,141.564
1672653600,141.564,141.593,141.444,141.508
1672657200,141.508,141.662,141.508,141.534
1672660800,141.534,141.594,141.435,141.478
1672664400,141.478,141.502,141.346,141.354
1672668000,141.354,141.392,141.226,141.26
1672671600,141.26,141.372,141.248,141.318
1672675200,141.318,141.416,141.188,141.267
1672678800,141.267,141.334,141.25,141.308
1672682400,141.308,141.318,141.272,141.31
1672686000,141.31,141.4,141.228,141.378
1672689600,141.378,141.438,141.281,141.395
1672693200,141.395,141.425,141.254,141.254
1672696800,141.254,141.392,141.123,141.159
1672700400,141.159,141.836,141.039,141.492
1672704000,141.492,141.664,141.3,141.364
1672707600,141.364,141.397,140.41,140.785
1672711200,140.785,140.954,140.53,140.732
1672714800,140.732,140.79,140.411,140.498
1672718400,140.498,140.502,140.214,140.242
1672722000,140.242,140.538,140.216,140.398
1672725600,140.398,140.594,140.227,140.38
1672729200,140.38,140.646,140.344,140.386
1672732800,140.386,140.49,139.778,139.858
1672736400,139.858,139.869,138.964,139.183
1672740000,139.183,139.342,139.036,139.252
1672743600,139.252,139.294,139.075,139.276
1672747200,139.276,139.76,139.265,139.686
1672750800,139.686,139.846,139.527,139.632
1672754400,139.632,139.839,139.433,139.538
1672758000,139.538,139.844,139.342,139.35
1672761600,139.35,139.692,139.252,139.644
1672765200,139.644,139.676,139.502,139.574
1672768800,139.574,139.575,139.424,139.46
1672772400,139.46,139.88,139.416,139.876
1672776000,139.876,139.949,139.828,139.928
1672779600,139.928,140.012,139.858,139.974
1672783200,139.974,139.99,139.812,139.913
1672786800,139.913,140.378,139.898,140.24
1672790400,140.24,140.25,139.851,140.174
1672794000,140.174,140.39,139.922,139.969
1672797600,139.969,140.157,139.952,140.01
1672801200,140.01,140.096,139.91,139.964
1672804800,139.964,140.314,139.963,140.26
1672808400,140.26,140.302,140.082,140.105
1672812000,140.105,140.236,140.022,140.227
1672815600,140.227,140.258,140.008,140.132
1672819200,140.132,140.768,140.105,140.738
1672822800,140.738,140.818,140.532,140.662
1672826400,140.662,140.9,140.662,140.714
1672830000,140.714,140.784,140.558,140.698
1672833600,140.698,141.102,140.688,140.981
1672837200,140.981,141.04,140.781,140.936
1672840800,140.936,141.3,140.908,141.204
1672844400,141.204,142.196,141.035,142.06
1672848000,142.06,142.433,141.973,142.359
1672851600,142.359,142.952,142.343,142.688
1672855200,142.688,142.69,142.424,142.466
1672858800,142.466,142.748,142.395,142.68
1672862400,142.68,142.692,142.549,142.667
1672866000,142.667,142.73,142.627,142.716
1672869600,142.716,142.716,142.412,142.412
1672873200,142.412,142.604,142.128,142.26
1672876800,142.26,142.31,141.978,142.08
1672880400,142.08,142.196,141.896,142.173
1672884000,142.173,142.3,142.062,142.113
1672887600,142.113,142.412,142.061,142.372
1672891200,142.372,142.426,142.204,142.234
1672894800,142.234,142.51,142.231,142.439
1672898400,142.439,142.602,142.334,142.346
1672902000,142.346,142.705,142.186,142.664
1672905600,142.664,143.198,142.635,142.98
1672909200,142.98,143.07,142.862,143.048
1672912800,143.048,143.12,142.836,143.025
1672916400,143.025,143.056,142.844,142.906
1672920000,142.906,143.109,142.886,143.035
1672923600,143.035,143.644,143.026,143.231
1672927200,143.231,143.241,142.844,142.917
1672930800,142.917,143.17,142.734,142.808
1672934400,142.808,142.917,142.534,142.649
1672938000,142.649,142.656,142.244,142.354
1672941600,142.354,142.394,142.208,142.314
1672945200,142.314,142.499,142.304,142.32
1672948800,142.32,142.452,142.316,142.415
1672952400,142.415,142.556,142.373,142.524
1672956000,142.524,142.582,142.429,142.551
1672959600,142.551,142.653,142.388,142.417
1672963200,142.417,142.82,142.406,142.758
1672966800,142.758,142.964,142.75,142.946
1672970400,142.946,142.978,142.726,142.776
1672974000,142.776,143.106,142.764,142.976
1672977600,142.976,143.082,142.904,143.019
1672981200,143.019,143.316,142.836,143.11
1672984800,143.11,143.215,142.996,143.034
1672988400,143.034,143.226,142.732,143.092
1672992000,143.092,143.304,143.07,143.083
1672995600,143.083,143.246,142.918,142.998
1672999200,142.998,143.044,142.868,142.93
1673002800,142.93,143.254,142.899,143.158
1673006400,143.158,143.37,143.042,143.356
1673010000,143.356,143.445,142.526,142.638
1673013600,142.638,142.832,142.516,142.652
1673017200,142.652,142.758,142.191,142.246
1673020800,142.246,142.467,142.17,142.274
1673024400,142.274,142.412,142.199,142.333
1673028000,142.333,142.424,142.294,142.34
1673031600,142.34,142.448,142.3,142.368
1673035200,142.368,142.472,142.348,142.408
1673038800,142.408,142.444,142.258,142.375
1673215200,142.375,142.375,141.937,142.332
1673218800,142.332,142.648,142.217,142.268
1673222400,142.268,142.386,142.156,142.189
1673226000,142.189,142.254,141.982,142.177
1673229600,142.177,142.227,141.942,141.944
1673233200,141.944,142.132,141.889,142.118
1673236800,142.118,142.316,142.065,142.252
1673240400,142.252,142.538,142.25,142.44
1673244000,142.44,142.521,142.361,142.412
1673247600,142.412,143.08,142.321,142.972
1673251200,142.972,143.348,142.944,143.235
1673254800,143.235,143.356,143.039,143.258
1673258400,143.258,143.438,143.136,143.366
1673262000,143.366,143.453,143.264,143.419
1673265600,143.419,143.458,143.16,143.432
1673269200,143.432,143.507,143.218,143.356
1673272800,143.356,143.566,143.264,143.502
1673276400,143.502,143.92,143.476,143.679
1673280000,143.679,143.684,143.309,143.328
1673283600,143.328,143.432,143.214,143.276
1673287200,143.276,143.297,143.152,143.255
1673290800,143.255,143.268,142.988,143.045
1673294400,143.045,143.232,143.031,143.074
1673298000,143.074,143.171,143.046,143.122
1673301600,143.122,143.484,143.082,143.198
1673305200,143.198,143.207,142.891,143.022
1673308800,143.022,143.382,142.89,142.923
1673312400,142.923,142.952,142.676,142.852
1673316000,142.852,143.028,142.82,142.983
1673319600,142.983,143.11,142.975,143.006
1673323200,143.006,143.202,142.992,143.182
1673326800,143.182,143.226,142.973,143.08
1673330400,143.08,143.246,143.026,143.17
1673334000,143.17,143.551,143.167,143.533
1673337600,143.533,143.608,143.204,143.29
1673341200,143.29,143.35,143.175,143.304
1673344800,143.304,143.376,143.196,143.227
1673348400,143.227,143.412,143.214,143.22
1673352000,143.22,143.368,143.181,143.206
