time,open,high,low,close
1672614000,1.57014,1.57024,1.56863,1.57024
1672617600,1.57024,1.57256,1.56934,1.57134
1672621200,1.57134,1.57201,1.5708,1.57084
1672624800,1.57084,1.57124,1.56967,1.57072
1672628400,1.57072,1.57214,1.57037,1.57087
1672632000,1.57087,1.57238,1.5707,1.57188
1672635600,1.57188,1.57221,1.56989,1.57166
1672639200,1.57166,1.57221,1.56894,1.57132
1672642800,1.57132,1.57145,1.56722,1.5694
1672646400,1.5694,1.57247,1.5675,1.56994
1672650000,1.56994,1.57334,1.56979,1.57164
1672653600,1.57164,1.57228,1.56948,1.57217
1672657200,1.57217,1.57244,1.56974,1.57008
1672660800,1.57008,1.57156,1.5681,1.56914
1672664400,1.56914,1.57108,1.56885,1.56922
1672668000,1.56922,1.56922,1.56628,1.56659
1672671600,1.56659,1.5667,1.56332,1.56354
1672675200,1.56354,1.56508,1.56267,1.56366
1672678800,1.56366,1.56472,1.56352,1.56417
1672682400,1.56417,1.56483,1.56323,1.56446
1672686000,1.56446,1.56591,1.56309,1.5654
1672689600,1.5654,1.56926,1.5653,1.56818
1672693200,1.56818,1.57006,1.56704,1.56759
1672696800,1.56759,1.57085,1.56711,1.56994
1672700400,1.56994,1.57006,1.56583,1.56833
1672704000,1.56833,1.57106,1.56753,1.57014
1672707600,1.57014,1.57292,1.57014,1.57194
1672711200,1.57194,1.57245,1.56678,1.56747
1672714800,1.56747,1.56754,1.56193,1.5623
1672718400,1.5623,1.56473,1.56226,1.56248
1672722000,1.56248,1.57072,1.56226,1.56914
1672725600,1.56914,1.56918,1.56627,1.56628
1672729200,1.56628,1.56752,1.56482,1.56534
1672732800,1.56534,1.57346,1.56528,1.57198
1672736400,1.57198,1.57422,1.56864,1.56919
1672740000,1.56919,1.57213,1.56918,1.57094
1672743600,1.57094,1.57388,1.57087,1.57188
1672747200,1.57188,1.5731,1.57102,1.57107
1672750800,1.57107,1.57195,1.56731,1.56739
1672754400,1.56739,1.56992,1.56446,1.56672
1672758000,1.56672,1.57006,1.56516,1.56533
1672761600,1.56533,1.56926,1.56442,1.56896
1672765200,1.56896,1.56896,1.56638,1.56749
1672768800,1.56749,1.5693,1.56749,1.56782
1672772400,1.56782,1.56924,1.56731,1.56864
1672776000,1.56864,1.56966,1.56792,1.5681
1672779600,1.5681,1.5691,1.56752,1.568
1672783200,1.568,1.56826,1.56681,1.56768
1672786800,1.56768,1.56984,1.56749,1.56802
1672790400,1.56802,1.56928,1.56568,1.56572
1672794000,1.56572,1.56596,1.56156,1.56212
1672797600,1.56212,1.56236,1.55964,1.56119
1672801200,1.56119,1.56124,1.55816,1.55826
1672804800,1.55826,1.5602,1.55116,1.55372
1672808400,1.55372,1.55727,1.5518,1.554
1672812000,1.554,1.5557,1.55342,1.55355
1672815600,1.55355,1.55356,1.54726,1.54837
1672819200,1.54837,1.55058,1.5443,1.54502
1672822800,1.54502,1.54558,1.54266,1.54427
1672826400,1.54427,1.54634,1.54354,1.5438
1672830000,1.5438,1.54486,1.54206,1.54322
1672833600,1.54322,1.54777,1.543,1.54698
1672837200,1.54698,1.54764,1.54298,1.54338
1672840800,1.54338,1.54544,1.54176,1.54475
1672844400,1.54475,1.54898,1.54338,1.54711
1672848000,1.54711,1.55024,1.54696,1.54835
1672851600,1.54835,1.54964,1.54706,1.54962
1672855200,1.54962,1.55078,1.54682,1.55046
1672858800,1.55046,1.55229,1.54886,1.55064
1672862400,1.55064,1.5517,1.55004,1.55075
1672866000,1.55075,1.55098,1.54986,1.55059
1672869600,1.55059,1.55243,1.55038,1.5519
1672873200,1.5519,1.55372,1.55121,1.55316
1672876800,1.55316,1.55606,1.55308,1.55606
1672880400,1.55606,1.55611,1.55189,1.55298
1672884000,1.55298,1.559,1.55294,1.5578
