time,open,high,low,close
1672614000,0.98997,0.98997,0.98728,0.98892
1672617600,0.98892,0.98931,0.98881,0.98931
1672621200,0.98931,0.98963,0.98888,0.9892
1672624800,0.9892,0.9892,0.98843,0.98881
1672628400,0.98881,0.98952,0.9886,0.98886
1672632000,0.98886,0.9895,0.98821,0.98906
1672635600,0.98906,0.98916,0.98803,0.98885
1672639200,0.98885,0.98904,0.98785,0.9888
1672642800,0.9888,0.9888,0.98465,0.98573
1672646400,0.98573,0.9882,0.98573,0.9877
1672650000,0.9877,0.98836,0.98704,0.9874
1672653600,0.9874,0.988,0.98684,0.98754
1672657200,0.98754,0.98758,0.98694,0.98732
1672660800,0.98732,0.98767,0.98697,0.98732
1672664400,0.98732,0.98762,0.98688,0.98704
1672668000,0.98704,0.98816,0.98702,0.9877
1672671600,0.9877,0.98809,0.9867,0.9869
1672675200,0.9869,0.98752,0.98571,0.98632
1672678800,0.98632,0.98697,0.98632,0.9868
1672682400,0.9868,0.98683,0.98606,0.98608
1672686000,0.98608,0.98642,0.98546,0.98578
1672689600,0.98578,0.98625,0.9856,0.98587
1672693200,0.98587,0.98637,0.98578,0.98617
1672696800,0.98617,0.98778,0.98617,0.98737
1672700400,0.98737,0.98848,0.98554,0.98692
1672704000,0.98692,0.98766,0.9854,0.98593
1672707600,0.98593,0.98668,0.98509,0.98546
1672711200,0.98546,0.98612,0.98535,0.98572
1672714800,0.98572,0.98614,0.98543,0.98591
1672718400,0.98591,0.98638,0.98574,0.98576
1672722000,0.98576,0.98612,0.98528,0.98604
1672725600,0.98604,0.98608,0.98526,0.98532
1672729200,0.98532,0.98574,0.98404,0.98464
1672732800,0.98464,0.9883,0.98453,0.98672
1672736400,0.98672,0.98914,0.98632,0.98834
1672740000,0.98834,0.98965,0.9882,0.98835
1672743600,0.98835,0.98984,0.98796,0.98934
1672747200,0.98934,0.98953,0.98791,0.98791
1672750800,0.98791,0.98849,0.98707,0.98814
1672754400,0.98814,0.98911,0.98622,0.98652
1672758000,0.98652,0.99055,0.9865,0.99032
1672761600,0.99032,0.99038,0.98866,0.98922
1672765200,0.98922,0.98963,0.9883,0.98832
1672768800,0.98832,0.98879,0.98822,0.98875
1672772400,0.98875,0.98876,0.98792,0.98794
1672776000,0.98794,0.98816,0.9874,0.98759
1672779600,0.98759,0.98778,0.98714,0.98718
1672783200,0.98718,0.98891,0.98712,0.98752
1672786800,0.98752,0.98792,0.98696,0.98734
1672790400,0.98734,0.98777,0.98677,0.98688
1672794000,0.98688,0.98714,0.98632,0.98636
1672797600,0.98636,0.98712,0.98608,0.98712
1672801200,0.98712,0.98712,0.98653,0.98656
1672804800,0.98656,0.98664,0.98606,0.98623
1672808400,0.98623,0.98728,0.98614,0.98714
1672812000,0.98714,0.98717,0.98544,0.98545
1672815600,0.98545,0.98582,0.98398,0.98466
1672819200,0.98466,0.98492,0.98342,0.98438
1672822800,0.98438,0.98523,0.98378,0.98387
1672826400,0.98387,0.98462,0.9836,0.98444
1672830000,0.98444,0.98478,0.98348,0.98389
1672833600,0.98389,0.98448,0.9835,0.98438
1672837200,0.98438,0.98478,0.98365,0.98408
1672840800,0.98408,0.98618,0.98357,0.98567
1672844400,0.98567,0.98603,0.98405,0.98534
1672848000,0.98534,0.98558,0.98402,0.98465
1672851600,0.98465,0.98539,0.98406,0.98538
1672855200,0.98538,0.98593,0.98516,0.98575
1672858800,0.98575,0.98607,0.98508,0.98572
1672862400,0.98572,0.98622,0.98542,0.98612
1672866000,0.98612,0.98675,0.98574,0.98578
1672869600,0.98578,0.98652,0.98568,0.98628
1672873200,0.98628,0.98646,0.98586,0.9861
1672876800,0.9861,0.98709,0.98591,0.98673
1672880400,0.98673,0.98688,0.98581,0.98595
1672884000,0.98595,0.98634,0.98578,0.98619
1672887600,0.98619,0.98672,0.98594,0.98618
1672891200,0.98618,0.9867,0.98609,0.98653
1672894800,0.98653,0.98703,0.9864,0.987
1672898400,0.987,0.98704,0.98646,0.98662
1672902000,0.98662,0.98705,0.98481,0.98502
1672905600,0.98502,0.98578,0.98481,0.98496
1672909200,0.98496,0.98524,0.98412,0.98436
1672912800,0.98436,0.9845,0.98363,0.98372
1672916400,0.98372,0.98399,0.98346,0.98362
1672920000,0.98362,0.98416,0.9834,0.98393
1672923600,0.98393,0.98523,0.9835,0.98504
1672927200,0.98504,0.98675,0.98502,0.98642
1672930800,0.98642,0.98723,0.98528,0.9861
1672934400,0.9861,0.98625,0.98516,0.98529
1672938000,0.98529,0.98592,0.98484,0.98575
1672941600,0.98575,0.98632,0.98542,0.98564
1672945200,0.98564,0.98594,0.98534,0.98558
1672948800,0.98558,0.98576,0.98503,0.98525
1672952400,0.98525,0.9855,0.98489,0.98505
1672956000,0.98505,0.98554,0.98452,0.98467
1672959600,0.98467,0.98547,0.98467,0.98499
1672963200,0.98499,0.98529,0.98484,0.98504
1672966800,0.98504,0.98544,0.98492,0.98532
1672970400,0.98532,0.98565,0.98514,0.98548
1672974000,0.98548,0.98606,0.98542,0.98588
1672977600,0.98588,0.98602,0.9854,0.98558
1672981200,0.98558,0.9859,0.98525,0.98583
1672984800,0.98583,0.98592,0.98509,0.98517
1672988400,0.98517,0.98644,0.98494,0.98622
1672992000,0.98622,0.98794,0.98622,0.98773
1672995600,0.98773,0.98812,0.9867,0.98774
1672999200,0.98774,0.9883,0.98714,0.98786
1673002800,0.98786,0.98811,0.98616,0.98628
1673006400,0.98628,0.98672,0.98545,0.986
1673010000,0.986,0.98677,0.98501,0.98588
1673013600,0.98588,0.98722,0.98572,0.98707
1673017200,0.98707,0.98746,0.98567,0.98715
1673020800,0.98715,0.98744,0.98676,0.98686
1673024400,0.98686,0.9875,0.98652,0.98744
1673028000,0.98744,0.98773,0.98708,0.98733
1673031600,0.98733,0.98775,0.98712,0.9874
1673035200,0.9874,0.98766,0.98714,0.98763
1673038800,0.98763,0.98811,0.98718,0.98768
1673215200,0.98768,0.98797,0.9872,0.9877
1673218800,0.9877,0.98794,0.98716,0.98789
1673222400,0.98789,0.98864,0.98789,0.98853
1673226000,0.98853,0.9891,0.98831,0.98843
1673229600,0.98843,0.9887,0.9878,0.98806
1673233200,0.98806,0.98815,0.98778,0.98802
1673236800,0.98802,0.98856,0.98796,0.9885
1673240400,0.9885,0.98882,0.98828,0.98832
1673244000,0.98832,0.98867,0.98803,0.98865
1673247600,0.98865,0.98865,0.98702,0.98714
1673251200,0.98714,0.98742,0.98555,0.98631
1673254800,0.98631,0.98726,0.98588,0.98666
1673258400,0.98666,0.98718,0.98561,0.98692
1673262000,0.98692,0.98732,0.9865,0.98717
1673265600,0.98717,0.98746,0.98582,0.98584
1673269200,0.98584,0.98654,0.98542,0.98594
1673272800,0.98594,0.98676,0.98561,0.98596
1673276400,0.98596,0.98672,0.98534,0.98634
1673280000,0.98634,0.9877,0.98626,0.98764
1673283600,0.98764,0.98876,0.98752,0.9886
1673287200,0.9886,0.98906,0.98856,0.9888
1673290800,0.9888,0.98896,0.98832,0.98892
1673294400,0.98892,0.98906,0.98854,0.98857
1673298000,0.98857,0.98908,0.98856,0.98907
1673301600,0.98907,0.98907,0.98838,0.98863
1673305200,0.98863,0.98902,0.98844,0.98859
1673308800,0.98859,0.98903,0.98842,0.98856
1673312400,0.98856,0.98892,0.98852,0.98855
1673316000,0.98855,0.98914,0.98846,0.9891
