time,open,high,low,close
1672614000,0.88523,0.88535,0.88475,0.88495
1672617600,0.88495,0.88566,0.88433,0.88559
1672621200,0.88559,0.8857,0.88447,0.88505
1672624800,0.88505,0.88505,0.88471,0.88505
1672628400,0.88505,0.88566,0.88479,0.88512
1672632000,0.88512,0.88569,0.88512,0.88568
1672635600,0.88568,0.88579,0.88533,0.88548
1672639200,0.88548,0.88656,0.8849,0.88515
1672642800,0.88515,0.88535,0.88372,0.88532
1672646400,0.88532,0.88682,0.88392,0.88657
1672650000,0.88657,0.88748,0.88552,0.88654
1672653600,0.88654,0.88694,0.88564,0.88648
1672657200,0.88648,0.8867,0.8862,0.88644
1672660800,0.88644,0.88678,0.88588,0.88637
1672664400,0.88637,0.88659,0.88594,0.88617
1672668000,0.88617,0.88632,0.88534,0.88562
1672671600,0.88562,0.88566,0.88466,0.88508
1672675200,0.88508,0.88597,0.8842,0.8845
1672678800,0.8845,0.88506,0.88438,0.88487
1672682400,0.88487,0.88495,0.8842,0.88427
1672686000,0.88427,0.88502,0.88415,0.88478
1672689600,0.88478,0.88564,0.88462,0.88518
1672693200,0.88518,0.88596,0.88468,0.88505
1672696800,0.88505,0.88559,0.88505,0.88519
1672700400,0.88519,0.88584,0.88342,0.88507
1672704000,0.88507,0.88561,0.88487,0.88519
1672707600,0.88519,0.88568,0.88453,0.88456
1672711200,0.88456,0.88463,0.88348,0.88392
1672714800,0.88392,0.8841,0.8836,0.88392
1672718400,0.88392,0.88404,0.88352,0.88358
1672722000,0.88358,0.88367,0.88326,0.88351
1672725600,0.88351,0.88372,0.88281,0.88308
1672729200,0.88308,0.88342,0.88224,0.88323
1672732800,0.88323,0.88626,0.88318,0.8858
1672736400,0.8858,0.8858,0.8835,0.88456
1672740000,0.88456,0.88518,0.88398,0.88428
1672743600,0.88428,0.88435,0.88196,0.88242
1672747200,0.88242,0.88281,0.88065,0.8812
1672750800,0.8812,0.88153,0.88002,0.88054
1672754400,0.88054,0.88132,0.87841,0.87898
1672758000,0.87898,0.88016,0.87828,0.87897
1672761600,0.87897,0.88218,0.87842,0.88213
1672765200,0.88213,0.88248,0.88128,0.88146
1672768800,0.88146,0.88153,0.88042,0.88122
1672772400,0.88122,0.88179,0.8811,0.88169
1672776000,0.88169,0.88174,0.88112,0.88128
1672779600,0.88128,0.88166,0.88124,0.88146
1672783200,0.88146,0.88151,0.88094,0.8813
1672786800,0.8813,0.88168,0.88092,0.88128
1672790400,0.88128,0.88133,0.88044,0.88062
1672794000,0.88062,0.88128,0.88058,0.88102
1672797600,0.88102,0.88158,0.88058,0.88153
1672801200,0.88153,0.88167,0.8813,0.88152
1672804800,0.88152,0.88176,0.88139,0.88165
1672808400,0.88165,0.88208,0.88139,0.88189
1672812000,0.88189,0.88214,0.8816,0.88182
1672815600,0.88182,0.88188,0.88026,0.88088
1672819200,0.88088,0.88154,0.87906,0.88132
1672822800,0.88132,0.88144,0.87966,0.87984
1672826400,0.87984,0.88038,0.87902,0.8801
1672830000,0.8801,0.88086,0.87884,0.8797
1672833600,0.8797,0.88087,0.8793,0.88036
1672837200,0.88036,0.88084,0.87976,0.88006
1672840800,0.88006,0.8812,0.88,0.8803
1672844400,0.8803,0.88117,0.87871,0.8803
1672848000,0.8803,0.88198,0.87956,0.8805
1672851600,0.8805,0.8807,0.87866,0.87914
1672855200,0.87914,0.87938,0.87834,0.87858
1672858800,0.87858,0.87954,0.87836,0.87944
1672862400,0.87944,0.87952,0.87892,0.87931
1672866000,0.87931,0.87974,0.87924,0.87964
1672869600,0.87964,0.87998,0.87918,0.87951
1672873200,0.87951,0.87996,0.87928,0.87973
1672876800,0.87973,0.88096,0.87968,0.88036
1672880400,0.88036,0.88052,0.88016,0.88041
1672884000,0.88041,0.88135,0.88036,0.88128
1672887600,0.88128,0.88148,0.88072,0.88124
1672891200,0.88124,0.88159,0.88084,0.8809
1672894800,0.8809,0.88148,0.88084,0.88146
1672898400,0.88146,0.88204,0.88114,0.88184
1672902000,0.88184,0.88332,0.88159,0.88322
1672905600,0.88322,0.88443,0.88312,0.88346
1672909200,0.88346,0.88374,0.88291,0.88304
1672912800,0.88304,0.8834,0.88213,0.88302
1672916400,0.88302,0.8832,0.88242,0.88262
1672920000,0.88262,0.88378,0.88194,0.88316
1672923600,0.88316,0.88621,0.88265,0.88528
1672927200,0.88528,0.88632,0.88466,0.88508
1672930800,0.88508,0.88609,0.88444,0.8853
1672934400,0.8853,0.88548,0.88352,0.88408
1672938000,0.88408,0.88466,0.88332,0.88433
1672941600,0.88433,0.8851,0.88302,0.8832
1672945200,0.8832,0.88364,0.88298,0.88358
1672948800,0.88358,0.88382,0.88322,0.88332
1672952400,0.88332,0.88358,0.88302,0.88346
1672956000,0.88346,0.8839,0.88315,0.88338
1672959600,0.88338,0.88375,0.88326,0.88342
1672963200,0.88342,0.8835,0.88298,0.88298
1672966800,0.88298,0.88337,0.88287,0.88308
1672970400,0.88308,0.88324,0.8827,0.88275
1672974000,0.88275,0.88312,0.88258,0.88294
1672977600,0.88294,0.88312,0.88238,0.88266
1672981200,0.88266,0.88345,0.88258,0.88328
1672984800,0.88328,0.88332,0.88252,0.88292
1672988400,0.88292,0.88486,0.88219,0.8841
1672992000,0.8841,0.88558,0.88351,0.88491
1672995600,0.88491,0.88642,0.8846,0.8861
1672999200,0.8861,0.8871,0.88582,0.88634
1673002800,0.88634,0.88657,0.88548,0.88576
1673006400,0.88576,0.88592,0.88428,0.88495
1673010000,0.88495,0.88544,0.8833,0.88398
1673013600,0.88398,0.88507,0.88304,0.88337
1673017200,0.88337,0.88372,0.87973,0.88007
1673020800,0.88007,0.88075,0.87998,0.88028
1673024400,0.88028,0.8808,0.87989,0.88026
1673028000,0.88026,0.88084,0.8801,0.88046
1673031600,0.88046,0.88054,0.87994,0.88004
1673035200,0.88004,0.88049,0.87999,0.8802
1673038800,0.8802,0.8805,0.8798,0.88025
1673215200,0.88025,0.88059,0.87965,0.88026
1673218800,0.88026,0.88068,0.87952,0.87976
1673222400,0.87976,0.8808,0.87958,0.88044
1673226000,0.88044,0.88088,0.88013,0.88056
1673229600,0.88056,0.88071,0.87958,0.87986
1673233200,0.87986,0.8802,0.87946,0.87999
1673236800,0.87999,0.88012,0.87898,0.87934
1673240400,0.87934,0.87986,0.87866,0.87904
1673244000,0.87904,0.87948,0.87816,0.87933
1673247600,0.87933,0.88026,0.8786,0.8792
1673251200,0.8792,0.88022,0.87902,0.87936
1673254800,0.87936,0.87938,0.87689,0.87773
1673258400,0.87773,0.88092,0.87742,0.8807
1673262000,0.8807,0.88094,0.87968,0.87981
1673265600,0.87981,0.88078,0.87972,0.88056
1673269200,0.88056,0.88146,0.88,0.8814
1673272800,0.8814,0.88169,0.88008,0.88027
1673276400,0.88027,0.88176,0.88006,0.88098
1673280000,0.88098,0.88169,0.88072,0.88147
1673283600,0.88147,0.88239,0.88104,0.88156
1673287200,0.88156,0.88194,0.88112,0.88153
1673290800,0.88153,0.88156,0.88098,0.88102
1673294400,0.88102,0.88172,0.88098,0.88104
1673298000,0.88104,0.88136,0.8808,0.88086
1673301600,0.88086,0.88103,0.88013,0.88093
1673305200,0.88093,0.88124,0.88067,0.8809
1673308800,0.8809,0.8815,0.88022,0.88118
1673312400,0.88118,0.88175,0.88112,0.88146
1673316000,0.88146,0.88232,0.88142,0.88182
1673319600,0.88182,0.8824,0.8816,0.882
1673323200,0.882,0.88251,0.88166,0.88246
1673326800,0.88246,0.88257,0.88216,0.88237
1673330400,0.88237,0.88252,0.88176,0.88194
1673334000,0.88194,0.88348,0.88173,0.88328
1673337600,0.88328,0.88343,0.88196,0.88254
1673341200,0.88254,0.88322,0.88199,0.88202
1673344800,0.88202,0.8827,0.88182,0.88208
1673348400,0.88208,0.88373,0.88185,0.8832
1673352000,0.8832,0.88398,0.88312,0.8839
1673355600,0.8839,0.88465,0.88293,0.88338
1673359200,0.88338,0.88406,0.88274,0.88358
1673362800,0.88358,0.88384,0.88261,0.88308
1673366400,0.88308,0.88364,0.88175,0.88342
1673370000,0.88342,0.88361,0.88271,0.8835
1673373600,0.8835,0.88372,0.88288,0.88298
1673377200,0.88298,0.88318,0.88268,0.88302
1673380800,0.88302,0.88355,0.88295,0.88353
1673384400,0.88353,0.88366,0.88331,0.88355
1673388000,0.88355,0.88378,0.88288,0.88372
1673391600,0.88372,0.88379,0.88332,0.88356
1673395200,0.88356,0.88372,0.88314,0.8837
1673398800,0.8837,0.88386,0.8831,0.88316
1673402400,0.88316,0.88326,0.8829,0.88302
1673406000,0.88302,0.88344,0.883,0.88316
1673409600,0.88316,0.8833,0.88295,0.88317
1673413200,0.88317,0.88364,0.88314,0.88322
1673416800,0.88322,0.88371,0.88308,0.88354
1673420400,0.88354,0.88423,0.88308,0.88401
1673424000,0.88401,0.88488,0.88337,0.88473
1673427600,0.88473,0.88548,0.88403,0.88536
1673431200,0.88536,0.88604,0.88492,0.88577
1673434800,0.88577,0.88672,0.88575,0.88609
1673438400,0.88609,0.88702,0.88564,0.8866
1673442000,0.8866,0.88814,0.88603,0.88798
1673445600,0.88798,0.88817,0.88628,0.88647
1673449200,0.88647,0.88779,0.88625,0.88692
1673452800,0.88692,0.88728,0.88572,0.88584
1673456400,0.88584,0.8867,0.88568,0.88662
1673460000,0.88662,0.88662,0.88502,0.88509
1673463600,0.88509,0.88555,0.88504,0.8855
1673467200,0.8855,0.88553,0.88511,0.88538
1673470800,0.88538,0.88559,0.88512,0.88545
1673474400,0.88545,0.88588,0.88494,0.8854
1673478000,0.8854,0.88562,0.88512,0.88542
1673481600,0.88542,0.88573,0.88522,0.88562
1673485200,0.88562,0.8857,0.88508,0.88551
1673488800,0.88551,0.88558,0.88515,0.88524
1673492400,0.88524,0.88536,0.88508,0.88521
1673496000,0.88521,0.88534,0.88508,0.88527
1673499600,0.88527,0.88558,0.88524,0.88538
1673503200,0.88538,0.88666,0.88537,0.88566
1673506800,0.88566,0.88651,0.88538,0.88594
1673510400,0.88594,0.886,0.88492,0.88528
1673514000,0.88528,0.88544,0.884,0.88407
1673517600,0.88407,0.88516,0.88325,0.8837
1673521200,0.8837,0.88547,0.88352,0.88495
1673524800,0.88495,0.88714,0.88443,0.887
1673528400,0.887,0.88806,0.88468,0.88502
1673532000,0.88502,0.88956,0.88478,0.8887
1673535600,0.8887,0.88922,0.88794,0.88904
1673539200,0.88904,0.88938,0.8879,0.88848
1673542800,0.88848,0.88858,0.88708,0.88716
1673546400,0.88716,0.88816,0.88704,0.88772
1673550000,0.88772,0.88816,0.88748,0.88762
1673553600,0.88762,0.8885,0.88754,0.88848
1673557200,0.88848,0.88866,0.8883,0.88842
1673560800,0.88842,0.88846,0.88783,0.8881
1673564400,0.8881,0.88911,0.8881,0.88892
1673568000,0.88892,0.8892,0.88835,0.88892
1673571600,0.88892,0.88895,0.88844,0.88844
1673575200,0.88844,0.8888,0.88839,0.88862
1673578800,0.88862,0.88912,0.88858,0.88908
1673582400,0.88908,0.88935,0.88897,0.88924
1673586000,0.88924,0.8897,0.88917,0.88966
1673589600,0.88966,0.88974,0.8887,0.88888
1673593200,0.88888,0.88943,0.8877,0.8883
1673596800,0.8883,0.88853,0.88688,0.88738
1673600400,0.88738,0.88744,0.88612,0.88667
1673604000,0.88667,0.88693,0.88602,0.88668
1673607600,0.88668,0.88826,0.88628,0.88821
1673611200,0.88821,0.88826,0.88689,0.88796
1673614800,0.88796,0.88849,0.88708,0.88708
1673618400,0.88708,0.88754,0.88649,0.88678
1673622000,0.88678,0.88762,0.88642,0.88656
1673625600,0.88656,0.887,0.88613,0.8866
1673629200,0.8866,0.8873,0.88623,0.88688
1673632800,0.88688,0.88702,0.8858,0.88582
1673636400,0.88582,0.88588,0.88541,0.88556
1673640000,0.88556,0.88558,0.88517,0.88542
1673643600,0.88542,0.88594,0.88522,0.88588
1673820000,0.88588,0.88672,0.88572,0.8858
1673823600,0.8858,0.88606,0.88508,0.88542
1673827200,0.88542,0.88568,0.88524,0.88536
1673830800,0.88536,0.88584,0.88469,0.88566
1673834400,0.88566,0.88566,0.88471,0.88484
1673838000,0.88484,0.8855,0.88474,0.88518
1673841600,0.88518,0.88558,0.88497,0.88537
1673845200,0.88537,0.88566,0.88514,0.88562
1673848800,0.88562,0.88618,0.8854,0.8854
1673852400,0.8854,0.88642,0.88539,0.88554
1673856000,0.88554,0.88726,0.88537,0.88723
1673859600,0.88723,0.8876,0.88632,0.88692
1673863200,0.88692,0.887,0.88584,0.88662
1673866800,0.88662,0.88738,0.88624,0.88716
1673870400,0.88716,0.8879,0.88697,0.88742
1673874000,0.88742,0.88783,0.8865,0.88703
1673877600,0.88703,0.88724,0.8861,0.887
1673881200,0.887,0.88756,0.88671,0.88695
1673884800,0.88695,0.8872,0.88661,0.88673
1673888400,0.88673,0.88726,0.88641,0.88706
1673892000,0.88706,0.88756,0.88687,0.88722
1673895600,0.88722,0.88733,0.88688,0.88722
1673899200,0.88722,0.88737,0.88686,0.88726
1673902800,0.88726,0.88756,0.88711,0.88746
1673906400,0.88746,0.88748,0.88668,0.88724
1673910000,0.88724,0.88775,0.88696,0.8871
1673913600,0.8871,0.88783,0.88698,0.88779
1673917200,0.88779,0.88798,0.88732,0.88752
1673920800,0.88752,0.88782,0.88728,0.88736
1673924400,0.88736,0.88814,0.88734,0.88797
1673928000,0.88797,0.88808,0.88768,0.88782
1673931600,0.88782,0.88809,0.88758,0.88769
1673935200,0.88769,0.88876,0.8874,0.88859
1673938800,0.88859,0.88868,0.88597,0.88646
1673942400,0.88646,0.88668,0.88584,0.88648
1673946000,0.88648,0.88649,0.88502,0.88611
1673949600,0.88611,0.88674,0.88504,0.88598
1673953200,0.88598,0.8861,0.88328,0.88394
1673956800,0.88394,0.8855,0.88328,0.8854
