time,open,high,low,close
1672614000,140.324,140.324,139.847,140.173
1672617600,140.173,140.308,140.016,140.197
1672621200,140.197,140.249,140.065,140.116
1672624800,140.116,140.211,140.076,140.131
1672628400,140.131,140.187,140.026,140.046
1672632000,140.046,140.153,140.024,140.123
1672635600,140.123,140.127,139.96,140.077
1672639200,140.077,140.126,139.792,140.054
1672642800,140.054,140.054,139.67,139.864
1672646400,139.864,140.086,139.758,139.852
1672650000,139.852,140.119,139.748,139.774
1672653600,139.774,139.832,139.63,139.743
1672657200,139.743,139.858,139.704,139.734
1672660800,139.734,139.766,139.576,139.668
1672664400,139.668,139.72,139.508,139.532
1672668000,139.532,139.623,139.494,139.54
1672671600,139.54,139.602,139.404,139.436
1672675200,139.436,139.593,139.28,139.338
1672678800,139.338,139.458,139.335,139.435
1672682400,139.435,139.45,139.308,139.337
1672686000,139.337,139.394,139.3,139.356
1672689600,139.356,139.517,139.345,139.429
1672693200,139.429,139.562,139.321,139.343
1672696800,139.343,139.56,139.343,139.463
1672700400,139.463,140.023,139.388,139.646
1672704000,139.646,139.744,139.338,139.373
1672707600,139.373,139.403,138.36,138.74
1672711200,138.74,138.912,138.526,138.717
1672714800,138.717,138.765,138.446,138.512
1672718400,138.512,138.529,138.24,138.242
1672722000,138.242,138.566,138.216,138.434
1672725600,138.434,138.564,138.247,138.315
1672729200,138.315,138.556,138.208,138.23
1672732800,138.23,138.402,137.96,138
1672736400,138,138,137.388,137.56
1672740000,137.56,137.816,137.506,137.636
1672743600,137.636,137.812,137.498,137.793
1672747200,137.793,138.126,137.792,137.994
1672750800,137.994,138.12,137.824,137.978
1672754400,137.978,138.124,137.626,137.666
1672758000,137.666,138.356,137.666,138.006
1672761600,138.006,138.194,137.855,138.14
1672765200,138.14,138.14,137.9,137.938
1672768800,137.938,137.962,137.808,137.896
1672772400,137.896,138.19,137.847,138.189
1672776000,138.189,138.269,138.134,138.189
1672779600,138.189,138.236,138.086,138.178
1672783200,138.178,138.246,138.151,138.18
1672786800,138.18,138.59,138.16,138.466
1672790400,138.466,138.506,138.083,138.33
1672794000,138.33,138.55,138.018,138.056
1672797600,138.056,138.294,138.05,138.206
1672801200,138.206,138.287,138.039,138.082
1672804800,138.082,138.374,138.078,138.324
1672808400,138.324,138.408,138.254,138.304
1672812000,138.304,138.307,138.126,138.188
1672815600,138.188,138.198,137.875,137.982
1672819200,137.982,138.579,137.936,138.546
1672822800,138.546,138.618,138.35,138.39
1672826400,138.39,138.636,138.389,138.528
1672830000,138.528,138.54,138.372,138.424
1672833600,138.424,138.859,138.416,138.778
1672837200,138.778,138.798,138.605,138.694
1672840800,138.694,139.228,138.681,139.18
1672844400,139.18,140.038,139.055,139.976
1672848000,139.976,140.238,139.87,140.175
1672851600,140.175,140.76,140.128,140.6
1672855200,140.6,140.632,140.392,140.442
1672858800,140.442,140.696,140.374,140.642
1672862400,140.642,140.7,140.52,140.688
1672866000,140.688,140.757,140.648,140.692
1672869600,140.692,140.692,140.412,140.412
1672873200,140.412,140.49,140.138,140.272
1672876800,140.272,140.35,139.996,140.19
1672880400,140.19,140.256,139.972,140.17
1672884000,140.17,140.284,140.051,140.148
1672887600,140.148,140.43,140.108,140.392
1672891200,140.392,140.46,140.25,140.316
1672894800,140.316,140.624,140.315,140.58
1672898400,140.58,140.712,140.43,140.444
1672902000,140.444,140.539,140.31,140.518
1672905600,140.518,141.096,140.496,140.82
