time,open,high,low,close
1672614000,1.68538,1.68608,1.68388,1.68476
1672617600,1.68476,1.68844,1.68449,1.68796
1672621200,1.68796,1.69514,1.68622,1.68853
1672624800,1.68853,1.70758,1.68552,1.69442
1672628400,1.69442,1.69442,1.69015,1.69083
1672632000,1.69083,1.69354,1.69061,1.69172
1672635600,1.69172,1.69264,1.68798,1.68974
1672639200,1.68974,1.69049,1.68662,1.6897
1672642800,1.6897,1.6897,1.68436,1.68705
1672646400,1.68705,1.69068,1.68584,1.68803
1672650000,1.68803,1.69114,1.6877,1.68816
1672653600,1.68816,1.6901,1.68721,1.68815
1672657200,1.68815,1.6888,1.68723,1.6881
1672660800,1.6881,1.6889,1.68695,1.68794
1672664400,1.68794,1.68908,1.68672,1.68802
1672668000,1.68802,1.68826,1.68402,1.68466
1672671600,1.68466,1.68936,1.6846,1.68648
1672675200,1.68648,1.68835,1.68545,1.68614
1672678800,1.68614,1.68756,1.68608,1.68742
1672682400,1.68742,1.68742,1.68184,1.6832
1672686000,1.6832,1.68445,1.681,1.68394
1672689600,1.68394,1.68694,1.68358,1.68634
1672693200,1.68634,1.68744,1.685,1.68532
1672696800,1.68532,1.6889,1.68532,1.68836
1672700400,1.68836,1.69014,1.6844,1.68769
1672704000,1.68769,1.68959,1.6864,1.688
1672707600,1.688,1.69177,1.688,1.69085
1672711200,1.69085,1.6916,1.68321,1.68335
1672714800,1.68335,1.68347,1.6781,1.67931
1672718400,1.67931,1.68315,1.67931,1.6809
1672722000,1.6809,1.68612,1.68032,1.68557
1672725600,1.68557,1.68614,1.68403,1.68445
1672729200,1.68445,1.68797,1.6843,1.68669
1672732800,1.68669,1.69714,1.68658,1.6952
1672736400,1.6952,1.69742,1.6871,1.68828
1672740000,1.68828,1.6955,1.68828,1.69534
1672743600,1.69534,1.69704,1.69328,1.6951
1672747200,1.6951,1.69582,1.69336,1.6939
1672750800,1.6939,1.69548,1.68848,1.68904
1672754400,1.68904,1.69052,1.68488,1.68868
1672758000,1.68868,1.69242,1.68748,1.6884
1672761600,1.6884,1.6908,1.68738,1.69066
1672765200,1.69066,1.69154,1.68782,1.68888
1672768800,1.68888,1.6915,1.68888,1.68998
1672772400,1.68998,1.69058,1.68824,1.6901
1672776000,1.6901,1.6908,1.68884,1.68904
1672779600,1.68904,1.6899,1.68764,1.68779
1672783200,1.68779,1.68832,1.68376,1.68821
1672786800,1.68821,1.68998,1.68716,1.68829
1672790400,1.68829,1.6896,1.68613,1.68626
1672794000,1.68626,1.68682,1.68442,1.6846
1672797600,1.6846,1.68768,1.68379,1.68742
1672801200,1.68742,1.68877,1.68688,1.68696
1672804800,1.68696,1.68808,1.68379,1.68502
1672808400,1.68502,1.68726,1.68362,1.68498
1672812000,1.68498,1.68558,1.68312,1.68326
1672815600,1.68326,1.6845,1.67704,1.67756
1672819200,1.67756,1.67936,1.67282,1.6753
1672822800,1.6753,1.67783,1.67165,1.67693
1672826400,1.67693,1.67937,1.67682,1.67771
1672830000,1.67771,1.67945,1.67605,1.67832
1672833600,1.67832,1.67974,1.67753,1.67905
1672837200,1.67905,1.67958,1.67411,1.67417
1672840800,1.67417,1.67816,1.6729,1.67779
1672844400,1.67779,1.68387,1.67604,1.68128
1672848000,1.68128,1.68572,1.68035,1.68206
1672851600,1.68206,1.68298,1.68086,1.68224
1672855200,1.68224,1.6847,1.68195,1.68411
1672858800,1.68411,1.686,1.68174,1.6836
1672862400,1.6836,1.68498,1.68292,1.68472
1672866000,1.68472,1.68605,1.68399,1.68467
1672869600,1.68467,1.6866,1.68132,1.6864
1672873200,1.6864,1.68808,1.6856,1.68773
1672876800,1.68773,1.68932,1.68554,1.68739
1672880400,1.68739,1.68798,1.68485,1.68501
1672884000,1.68501,1.69224,1.68494,1.69128
1672887600,1.69128,1.69306,1.6887,1.69218
1672891200,1.69218,1.69294,1.6879,1.6886
1672894800,1.6886,1.68978,1.68726,1.68844
1672898400,1.68844,1.6885,1.68623,1.68695
1672902000,1.68695,1.68886,1.68343,1.68712
1672905600,1.68712,1.6929,1.68687,1.6897
1672909200,1.6897,1.69326,1.68885,1.69156
1672912800,1.69156,1.6921,1.68669,1.68774
1672916400,1.68774,1.68774,1.68276,1.68552
1672920000,1.68552,1.68616,1.68269,1.68305
1672923600,1.68305,1.69366,1.68128,1.6916
1672927200,1.6916,1.69392,1.69036,1.6905
1672930800,1.6905,1.69356,1.68954,1.69178
1672934400,1.69178,1.69194,1.68896,1.69074
1672938000,1.69074,1.69234,1.68964,1.69172
1672941600,1.69172,1.69224,1.68572,1.6875
1672945200,1.6875,1.68932,1.68674,1.68832
1672948800,1.68832,1.68978,1.68778,1.68882
1672952400,1.68882,1.69048,1.68874,1.68958
1672956000,1.68958,1.69346,1.68855,1.6899
1672959600,1.6899,1.69096,1.68848,1.68982
1672963200,1.68982,1.69083,1.68702,1.68718
1672966800,1.68718,1.6896,1.68658,1.68906
1672970400,1.68906,1.68931,1.68697,1.68852
1672974000,1.68852,1.68912,1.68436,1.68536
1672977600,1.68536,1.68646,1.6844,1.68534
1672981200,1.68534,1.68876,1.68512,1.68806
1672984800,1.68806,1.68868,1.68656,1.68858
1672988400,1.68858,1.69344,1.68778,1.69084
1672992000,1.69084,1.69228,1.69008,1.6912
1672995600,1.6912,1.69336,1.6896,1.69152
1672999200,1.69152,1.6931,1.6909,1.6924
1673002800,1.6924,1.69462,1.69138,1.69352
1673006400,1.69352,1.69426,1.69078,1.69136
1673010000,1.69136,1.69248,1.6835,1.68434
1673013600,1.68434,1.68696,1.68222,1.68643
1673017200,1.68643,1.68671,1.67784,1.67846
1673020800,1.67846,1.68007,1.67515,1.67675
1673024400,1.67675,1.67866,1.67591,1.67801
1673028000,1.67801,1.67906,1.67568,1.67601
1673031600,1.67601,1.67646,1.674,1.67515
1673035200,1.67515,1.6762,1.67475,1.67556
1673038800,1.67556,1.67787,1.6751,1.67724
1673215200,1.67724,1.68001,1.67658,1.67843
1673218800,1.67843,1.67906,1.67534,1.67643
1673222400,1.67643,1.67868,1.67487,1.67587
1673226000,1.67587,1.67996,1.67329,1.67344
1673229600,1.67344,1.67476,1.67045,1.67203
1673233200,1.67203,1.67297,1.67061,1.67221
1673236800,1.67221,1.6726,1.66855,1.66882
1673240400,1.66882,1.67159,1.66871,1.66921
1673244000,1.66921,1.67038,1.66838,1.6702
1673247600,1.6702,1.67351,1.6674,1.67329
1673251200,1.67329,1.67436,1.66948,1.67205
1673254800,1.67205,1.67223,1.66912,1.66994
1673258400,1.66994,1.674,1.66918,1.67326
1673262000,1.67326,1.67441,1.67219,1.67339
1673265600,1.67339,1.67569,1.67295,1.67409
1673269200,1.67409,1.67629,1.67284,1.6762
1673272800,1.6762,1.68093,1.67618,1.67827
1673276400,1.67827,1.68224,1.67711,1.68041
1673280000,1.68041,1.68124,1.67926,1.68113
