time,open,high,low,close
1672614000,1.07039,1.07062,1.06962,1.07057
1672617600,1.07057,1.07089,1.06937,1.07072
1672621200,1.07072,1.0709,1.0694,1.06985
1672624800,1.06985,1.06985,1.069,1.06951
1672628400,1.06951,1.07034,1.06924,1.06958
1672632000,1.06958,1.07041,1.06947,1.07024
1672635600,1.07024,1.07024,1.06852,1.06968
1672639200,1.06968,1.07011,1.06783,1.06922
1672642800,1.06922,1.06935,1.06636,1.06786
1672646400,1.06786,1.06985,1.06712,1.06798
1672650000,1.06798,1.07001,1.06772,1.06791
1672653600,1.06791,1.06898,1.0675,1.06841
1672657200,1.06841,1.06866,1.06796,1.06848
1672660800,1.06848,1.06876,1.06771,1.06824
1672664400,1.06824,1.06865,1.06767,1.0679
1672668000,1.0679,1.06822,1.06702,1.06726
1672671600,1.06726,1.06738,1.06586,1.06606
1672675200,1.06606,1.06718,1.06516,1.06554
1672678800,1.06554,1.06621,1.0655,1.0661
1672682400,1.0661,1.06614,1.06526,1.06528
1672686000,1.06528,1.06614,1.06504,1.06579
1672689600,1.06579,1.0671,1.06572,1.06658
1672693200,1.06658,1.06744,1.06616,1.06638
1672696800,1.06638,1.06689,1.06638,1.06674
1672700400,1.06674,1.06835,1.06502,1.06768
1672704000,1.06768,1.06785,1.06668,1.06706
1672707600,1.06706,1.06744,1.06506,1.066
1672711200,1.066,1.06779,1.06578,1.06767
1672714800,1.06767,1.06788,1.06688,1.06726
1672718400,1.06726,1.06804,1.0667,1.06674
1672722000,1.06674,1.06709,1.06592,1.06636
1672725600,1.06636,1.06679,1.06516,1.06524
1672729200,1.06524,1.06588,1.06201,1.06238
1672732800,1.06238,1.06284,1.05508,1.05518
1672736400,1.05518,1.0561,1.05341,1.05476
1672740000,1.05476,1.0555,1.05256,1.05311
1672743600,1.05311,1.0536,1.05195,1.05284
1672747200,1.05284,1.05492,1.0524,1.05358
1672750800,1.05358,1.057,1.05304,1.05603
1672754400,1.05603,1.05974,1.05554,1.05742
1672758000,1.05742,1.05822,1.05546,1.05554
1672761600,1.05554,1.05587,1.05376,1.05581
1672765200,1.05581,1.05592,1.054,1.05463
1672768800,1.05463,1.05606,1.05432,1.05567
1672772400,1.05567,1.05682,1.05552,1.05664
1672776000,1.05664,1.05688,1.05506,1.05516
1672779600,1.05516,1.0554,1.05465,1.0549
1672783200,1.0549,1.05491,1.0546,1.05486
1672786800,1.05486,1.05546,1.05408,1.05456
1672790400,1.05456,1.05614,1.05452,1.05582
1672794000,1.05582,1.05699,1.05572,1.05669
1672797600,1.05669,1.05696,1.05616,1.0565
1672801200,1.0565,1.05699,1.05648,1.05691
1672804800,1.05691,1.05746,1.05658,1.0573
1672808400,1.0573,1.05785,1.05647,1.05694
1672812000,1.05694,1.05752,1.05598,1.057
1672815600,1.057,1.06061,1.05671,1.05938
1672819200,1.05938,1.06354,1.05903,1.06157
1672822800,1.06157,1.06302,1.06056,1.06108
1672826400,1.06108,1.0623,1.06084,1.06208
1672830000,1.06208,1.06245,1.06025,1.06046
1672833600,1.06046,1.06113,1.05988,1.06072
1672837200,1.06072,1.06198,1.0595,1.06106
1672840800,1.06106,1.06285,1.06023,1.06246
1672844400,1.06246,1.06253,1.05814,1.06032
1672848000,1.06032,1.06208,1.05927,1.06189
1672851600,1.06189,1.06201,1.06048,1.06074
1672855200,1.06074,1.06129,1.05956,1.05999
1672858800,1.05999,1.06068,1.05852,1.06058
1672862400,1.06058,1.06102,1.06013,1.06034
1672866000,1.06034,1.0608,1.06009,1.06044
1672869600,1.06044,1.06106,1.06011,1.06072
1672873200,1.06072,1.06116,1.0603,1.06061
1672876800,1.06061,1.06312,1.06032,1.06294
1672880400,1.06294,1.06316,1.06185,1.06202
1672884000,1.06202,1.06204,1.06092,1.06178
1672887600,1.06178,1.06197,1.06064,1.06072
1672891200,1.06072,1.06117,1.06036,1.06044
1672894800,1.06044,1.06108,1.06016,1.06108
1672898400,1.06108,1.06202,1.0603,1.06032
1672902000,1.06032,1.06123,1.05902,1.06056
1672905600,1.06056,1.0628,1.06051,1.062
1672909200,1.062,1.0629,1.06097,1.06234
1672912800,1.06234,1.06261,1.06098,1.06188
1672916400,1.06188,1.06221,1.06032,1.06112
1672920000,1.06112,1.06175,1.05982,1.05996
1672923600,1.05996,1.06084,1.05514,1.05524
1672927200,1.05524,1.05621,1.05358,1.05394
1672930800,1.05394,1.05677,1.0515,1.05184
1672934400,1.05184,1.0532,1.05176,1.05212
1672938000,1.05212,1.05332,1.05188,1.053
1672941600,1.053,1.05433,1.05293,1.0536
1672945200,1.0536,1.05387,1.05292,1.05302
1672948800,1.05302,1.05308,1.052,1.052
1672952400,1.052,1.0523,1.05158,1.05215
1672956000,1.05215,1.05257,1.05207,1.05222
1672959600,1.05222,1.05264,1.05196,1.05208
1672963200,1.05208,1.05318,1.05192,1.05296
1672966800,1.05296,1.05326,1.05226,1.05252
1672970400,1.05252,1.05343,1.0525,1.05268
1672974000,1.05268,1.05366,1.05264,1.05324
1672977600,1.05324,1.05346,1.05246,1.05246
1672981200,1.05246,1.05252,1.05108,1.05146
1672984800,1.05146,1.05224,1.05106,1.05127
1672988400,1.05127,1.05226,1.0507,1.05126
1672992000,1.05126,1.0531,1.05112,1.05186
1672995600,1.05186,1.05196,1.04964,1.05073
1672999200,1.05073,1.0516,1.0503,1.05076
1673002800,1.05076,1.05114,1.04922,1.04942
1673006400,1.04942,1.04966,1.04834,1.04948
1673010000,1.04948,1.05452,1.04833,1.05428
1673013600,1.05428,1.05434,1.05009,1.05094
1673017200,1.05094,1.06126,1.05094,1.06016
1673020800,1.06016,1.06226,1.05968,1.06188
1673024400,1.06188,1.06382,1.06164,1.06376
1673028000,1.06376,1.06436,1.06296,1.06378
1673031600,1.06378,1.0648,1.06378,1.06456
1673035200,1.06456,1.06482,1.06428,1.06463
1673038800,1.06463,1.06463,1.06423,1.06444
1673215200,1.06444,1.06444,1.06394,1.06414
1673218800,1.06414,1.0663,1.06414,1.06628
1673222400,1.06628,1.0668,1.06515,1.06614
1673226000,1.06614,1.06724,1.06555,1.06668
1673229600,1.06668,1.0678,1.06664,1.06772
1673233200,1.06772,1.06772,1.06662,1.06676
1673236800,1.06676,1.06784,1.06668,1.06766
1673240400,1.06766,1.06832,1.0673,1.06772
1673244000,1.06772,1.06864,1.06756,1.0682
1673247600,1.0682,1.0695,1.06682,1.06733
1673251200,1.06733,1.06998,1.06726,1.06903
1673254800,1.06903,1.06938,1.06603,1.06722
1673258400,1.06722,1.06766,1.06617,1.06691
1673262000,1.06691,1.06856,1.06678,1.06842
1673265600,1.06842,1.06936,1.06809,1.06889
1673269200,1.06889,1.07318,1.06852,1.07251
1673272800,1.07251,1.07384,1.07116,1.07282
1673276400,1.07282,1.07494,1.0728,1.07402
1673280000,1.07402,1.07608,1.07402,1.07582
1673283600,1.07582,1.076,1.074,1.07502
1673287200,1.07502,1.07542,1.07377,1.07432
1673290800,1.07432,1.07529,1.07418,1.07518
1673294400,1.07518,1.0754,1.07307,1.07312
1673298000,1.07312,1.07354,1.07302,1.07338
1673301600,1.07338,1.0734,1.07281,1.0733
1673305200,1.0733,1.07387,1.07284,1.07327
1673308800,1.07327,1.07382,1.07208,1.07277
1673312400,1.07277,1.074,1.07263,1.07364
1673316000,1.07364,1.07426,1.07213,1.07312
1673319600,1.07312,1.07344,1.07258,1.07324
1673323200,1.07324,1.0734,1.07279,1.07306
1673326800,1.07306,1.07442,1.07296,1.07428
1673330400,1.07428,1.07431,1.07265,1.07341
1673334000,1.07341,1.07397,1.0722,1.07318
1673337600,1.07318,1.07474,1.07314,1.07386
1673341200,1.07386,1.07518,1.07292,1.07461
