time,open,high,low,close
1672614000,1.77404,1.77451,1.76909,1.77403
1672617600,1.77403,1.77646,1.77345,1.77397
1672621200,1.77397,1.77647,1.77295,1.77445
1672624800,1.77445,1.77555,1.7726,1.77294
1672628400,1.77294,1.77412,1.77258,1.77292
1672632000,1.77292,1.77422,1.77265,1.77339
1672635600,1.77339,1.77426,1.77308,1.77354
1672639200,1.77354,1.77461,1.77181,1.77401
1672642800,1.77401,1.77473,1.77215,1.77248
1672646400,1.77248,1.77545,1.77057,1.77119
1672650000,1.77119,1.77558,1.77067,1.77278
1672653600,1.77278,1.77394,1.77066,1.7735
1672657200,1.7735,1.77378,1.77082,1.77097
1672660800,1.77097,1.77264,1.76908,1.7703
1672664400,1.7703,1.77259,1.77013,1.77076
1672668000,1.77076,1.77096,1.76871,1.76888
1672671600,1.76888,1.76907,1.76638,1.76652
1672675200,1.76652,1.76796,1.76517,1.76789
1672678800,1.76789,1.76821,1.76704,1.76769
1672682400,1.76769,1.76937,1.76732,1.76914
1672686000,1.76914,1.76979,1.76775,1.76944
1672689600,1.76944,1.77155,1.76854,1.77069
1672693200,1.77069,1.77227,1.76875,1.77098
1672696800,1.77098,1.77488,1.76968,1.77364
1672700400,1.77364,1.77481,1.77179,1.77196
1672704000,1.77196,1.77521,1.77052,1.77373
1672707600,1.77373,1.77758,1.77353,1.77707
1672711200,1.77707,1.77794,1.77262,1.77335
1672714800,1.77335,1.77362,1.7669,1.76751
1672718400,1.76751,1.77024,1.76746,1.76838
1672722000,1.76838,1.77772,1.76822,1.77598
1672725600,1.77598,1.77618,1.77352,1.77364
1672729200,1.77364,1.77497,1.77207,1.77232
1672732800,1.77232,1.7781,1.76813,1.77462
1672736400,1.77462,1.77873,1.77372,1.774
1672740000,1.774,1.77734,1.774,1.7765
1672743600,1.7765,1.7836,1.77644,1.78136
1672747200,1.78136,1.785,1.78122,1.7829
1672750800,1.7829,1.78498,1.77998,1.77998
1672754400,1.77998,1.7837,1.7796,1.78246
1672758000,1.78246,1.78474,1.77998,1.78087
1672761600,1.78087,1.78182,1.77784,1.77858
1672765200,1.77858,1.7795,1.77643,1.7783
1672768800,1.7783,1.78128,1.7783,1.77918
1672772400,1.77918,1.77991,1.77762,1.77906
1672776000,1.77906,1.78046,1.77872,1.77936
