time,open,high,low,close
1672614000,1.63873,1.63873,1.63343,1.63756
1672617600,1.63756,1.63762,1.63457,1.63516
1672621200,1.63516,1.63722,1.63458,1.63514
1672624800,1.63514,1.63912,1.63393,1.63774
1672628400,1.63774,1.6383,1.63616,1.63616
1672632000,1.63616,1.63778,1.63616,1.63712
1672635600,1.63712,1.63723,1.63567,1.63596
1672639200,1.63596,1.63661,1.63452,1.63661
1672642800,1.63661,1.63695,1.6335,1.63357
1672646400,1.63357,1.637,1.63215,1.63235
1672650000,1.63235,1.6355,1.63129,1.63361
1672653600,1.63361,1.63496,1.63354,1.63472
1672657200,1.63472,1.6359,1.63436,1.63566
1672660800,1.63566,1.6364,1.63504,1.63622
1672664400,1.63622,1.63666,1.63582,1.63608
1672668000,1.63608,1.63664,1.63536,1.63598
1672671600,1.63598,1.63624,1.63398,1.63404
1672675200,1.63404,1.63541,1.63274,1.63508
1672678800,1.63508,1.63573,1.63471,1.63529
1672682400,1.63529,1.63646,1.63458,1.6353
1672686000,1.6353,1.63545,1.63506,1.63521
1672689600,1.63521,1.63578,1.63513,1.63531
1672693200,1.63531,1.63643,1.63511,1.63565
1672696800,1.63565,1.63576,1.6351,1.63554
1672700400,1.63554,1.63786,1.63396,1.63619
1672704000,1.63619,1.63665,1.6339,1.63626
1672707600,1.63626,1.6404,1.63578,1.64024
1672711200,1.64024,1.64258,1.63958,1.6398
1672714800,1.6398,1.63996,1.63504,1.6352
1672718400,1.6352,1.63706,1.63513,1.63636
1672722000,1.63636,1.6375,1.6361,1.63689
1672725600,1.63689,1.63732,1.63476,1.63476
1672729200,1.63476,1.63514,1.62782,1.62834
1672732800,1.62834,1.62857,1.6217,1.62172
1672736400,1.62172,1.62581,1.62158,1.62332
1672740000,1.62332,1.62546,1.62248,1.6233
1672743600,1.6233,1.62786,1.62292,1.62611
1672747200,1.62611,1.63433,1.6254,1.63332
1672750800,1.63332,1.6408,1.6329,1.63926
1672754400,1.63926,1.64258,1.63778,1.6379
1672758000,1.6379,1.63858,1.6351,1.63766
1672761600,1.63766,1.63797,1.63456,1.6354
1672765200,1.6354,1.63604,1.63308,1.63516
1672768800,1.63516,1.6388,1.63496,1.63612
1672772400,1.63612,1.63916,1.6361,1.63748
1672776000,1.63748,1.6383,1.63661,1.63668
1672779600,1.63668,1.63713,1.63552,1.63578
1672783200,1.63578,1.63636,1.63516,1.63556
1672786800,1.63556,1.63724,1.63528,1.63617
1672790400,1.63617,1.63806,1.63611,1.63752
1672794000,1.63752,1.6376,1.63588,1.6362
1672797600,1.6362,1.63717,1.63474,1.63496
1672801200,1.63496,1.63542,1.63455,1.63494
1672804800,1.63494,1.63524,1.6342,1.63477
1672808400,1.63477,1.63632,1.63456,1.63552
1672812000,1.63552,1.63651,1.63502,1.63557
1672815600,1.63557,1.63932,1.63504,1.63789
1672819200,1.63789,1.64364,1.63188,1.63266
1672822800,1.63266,1.63662,1.63254,1.63492
1672826400,1.63492,1.63715,1.63388,1.63512
1672830000,1.63512,1.6373,1.6314,1.63374
1672833600,1.63374,1.63442,1.63098,1.63289
1672837200,1.63289,1.6331,1.62912,1.62938
1672840800,1.62938,1.63324,1.62832,1.63232
1672844400,1.63232,1.63279,1.628,1.62912
1672848000,1.62912,1.62958,1.62386,1.62724
1672851600,1.62724,1.6287,1.62642,1.6274
1672855200,1.6274,1.62932,1.62729,1.62856
1672858800,1.62856,1.62884,1.62561,1.62595
1672862400,1.62595,1.62727,1.62521,1.62584
1672866000,1.62584,1.62592,1.62478,1.6248
1672869600,1.6248,1.62599,1.6248,1.62577
1672873200,1.62577,1.62624,1.62406,1.62582
1672876800,1.62582,1.62899,1.62527,1.62863
1672880400,1.62863,1.6289,1.6268,1.62691
1672884000,1.62691,1.6284,1.62638,1.62729
1672887600,1.62729,1.62762,1.62583,1.62624
1672891200,1.62624,1.62662,1.62468,1.62589
1672894800,1.62589,1.62598,1.62456,1.6247
1672898400,1.6247,1.62631,1.62463,1.62478
1672902000,1.62478,1.62563,1.62245,1.62318
1672905600,1.62318,1.62515,1.6228,1.62411
1672909200,1.62411,1.62486,1.6225,1.62472
1672912800,1.62472,1.62559,1.62284,1.62427
1672916400,1.62427,1.62466,1.62224,1.62369
1672920000,1.62369,1.62428,1.62016,1.6204
1672923600,1.6204,1.62194,1.61272,1.61336
