time,open,high,low,close
1672614000,1.11844,1.11867,1.11549,1.11787
1672617600,1.11787,1.11809,1.11647,1.11711
1672621200,1.11711,1.11925,1.11709,1.11709
1672624800,1.11709,1.11798,1.1164,1.11722
1672628400,1.11722,1.1179,1.11634,1.11643
1672632000,1.11643,1.1172,1.11571,1.11651
1672635600,1.11651,1.11692,1.11558,1.11681
1672639200,1.11681,1.1169,1.11535,1.1169
1672642800,1.1169,1.11833,1.11246,1.11347
1672646400,1.11347,1.11654,1.11347,1.11385
1672650000,1.11385,1.1149,1.1129,1.11384
1672653600,1.11384,1.11434,1.11342,1.11414
1672657200,1.11414,1.11414,1.1133,1.11376
1672660800,1.11376,1.114,1.11346,1.11386
1672664400,1.11386,1.11408,1.11359,1.11386
1672668000,1.11386,1.11546,1.11378,1.11524
1672671600,1.11524,1.1158,1.11488,1.11501
1672675200,1.11501,1.1153,1.11398,1.11512
1672678800,1.11512,1.1153,1.11499,1.1152
1672682400,1.1152,1.11525,1.11496,1.11512
1672686000,1.11512,1.11534,1.11387,1.11387
1672689600,1.11387,1.11521,1.11387,1.1143
1672693200,1.1143,1.11524,1.11393,1.11488
1672696800,1.11488,1.11696,1.11488,1.11616
1672700400,1.11616,1.11789,1.11438,1.11505
1672704000,1.11505,1.11572,1.11302,1.11375
1672707600,1.11375,1.11457,1.11295,1.11414
1672711200,1.11414,1.116,1.11404,1.11516
1672714800,1.11516,1.11586,1.11488,1.11536
1672718400,1.11536,1.11619,1.11528,1.11564
1672722000,1.11564,1.11622,1.11539,1.116
1672725600,1.116,1.11656,1.11536,1.11582
1672729200,1.11582,1.1169,1.11454,1.11484
1672732800,1.11484,1.11726,1.11176,1.11394
1672736400,1.11394,1.11857,1.11382,1.1173
1672740000,1.1173,1.11918,1.11684,1.1177
1672743600,1.1177,1.122,1.11766,1.1212
1672747200,1.1212,1.12253,1.11974,1.12106
1672750800,1.12106,1.12302,1.12013,1.12223
1672754400,1.12223,1.12396,1.1214,1.12236
1672758000,1.12236,1.12692,1.12219,1.12672
1672761600,1.12672,1.12689,1.12122,1.12136
1672765200,1.12136,1.12226,1.12054,1.12124
1672768800,1.12124,1.12278,1.12118,1.12204
1672772400,1.12204,1.12222,1.12048,1.12048
1672776000,1.12048,1.12124,1.12022,1.12063
1672779600,1.12063,1.12071,1.11985,1.1199
1672783200,1.1199,1.12234,1.11962,1.1208
1672786800,1.1208,1.12107,1.11999,1.12037
1672790400,1.12037,1.1219,1.12027,1.12067
1672794000,1.12067,1.12078,1.1193,1.11952
1672797600,1.11952,1.12014,1.1192,1.11982
1672801200,1.11982,1.11998,1.11904,1.11918
1672804800,1.11918,1.11924,1.11834,1.11859
1672808400,1.11859,1.11952,1.11853,1.11937
1672812000,1.11937,1.11937,1.11748,1.11748
1672815600,1.11748,1.11889,1.11694,1.11776
1672819200,1.11776,1.11946,1.11674,1.11696
1672822800,1.11696,1.11944,1.11674,1.11824
1672826400,1.11824,1.11954,1.11753,1.11856
1672830000,1.11856,1.12016,1.11684,1.11846
1672833600,1.11846,1.11926,1.11738,1.11818
1672837200,1.11818,1.11888,1.11704,1.1182
1672840800,1.1182,1.12045,1.11684,1.1196
