time,open,high,low,close
1672614000,158.578,158.578,157.875,158.403
1672617600,158.403,158.534,158.174,158.245
1672621200,158.245,158.476,158.207,158.281
1672624800,158.281,158.404,158.251,158.251
1672628400,158.251,158.251,158.1,158.135
1672632000,158.135,158.188,158.112,158.166
1672635600,158.166,158.176,158.086,158.119
1672639200,158.119,158.176,157.998,158.109
1672642800,158.109,158.174,157.945,157.96
1672646400,157.96,158.153,157.715,157.774
1672650000,157.774,157.942,157.646,157.674
1672653600,157.674,157.707,157.558,157.653
1672657200,157.653,157.764,157.61,157.632
1672660800,157.632,157.671,157.52,157.574
1672664400,157.574,157.59,157.426,157.444
1672668000,157.444,157.622,157.44,157.534
1672671600,157.534,157.666,157.5,157.515
1672675200,157.515,157.625,157.36,157.532
1672678800,157.532,157.606,157.508,157.585
1672682400,157.585,157.594,157.52,157.564
1672686000,157.564,157.574,157.49,157.508
1672689600,157.508,157.566,157.49,157.52
1672693200,157.52,157.534,157.418,157.454
1672696800,157.454,157.647,157.421,157.546
1672700400,157.546,158.392,157.432,157.778
1672704000,157.778,157.913,157.436,157.442
1672707600,157.442,157.458,156.383,156.852
1672711200,156.852,157.108,156.716,156.937
1672714800,156.937,157.012,156.648,156.708
1672718400,156.708,156.721,156.453,156.46
1672722000,156.46,156.838,156.437,156.69
1672725600,156.69,156.835,156.454,156.636
1672729200,156.636,156.94,156.462,156.506
1672732800,156.506,156.615,155.734,155.796
1672736400,155.796,155.851,155.356,155.51
1672740000,155.51,155.803,155.41,155.643
1672743600,155.643,156.212,155.604,156.156
1672747200,156.156,156.742,156.13,156.594
1672750800,156.594,156.88,156.4,156.7
1672754400,156.7,157.108,156.554,156.618
1672758000,156.618,157.332,156.616,157.01
1672761600,157.01,157.074,156.508,156.594
1672765200,156.594,156.675,156.38,156.492
1672768800,156.492,156.61,156.411,156.483
1672772400,156.483,156.738,156.424,156.728
1672776000,156.728,156.862,156.722,156.803
1672779600,156.803,156.848,156.661,156.76
1672783200,156.76,156.856,156.752,156.798
1672786800,156.798,157.272,156.78,157.114
1672790400,157.114,157.253,156.811,157.09
1672794000,157.09,157.26,156.628,156.702
1672797600,156.702,156.946,156.692,156.785
1672801200,156.785,156.883,156.596,156.642
1672804800,156.642,156.944,156.636,156.896
1672808400,156.896,156.978,156.784,156.824
1672812000,156.824,156.824,156.638,156.702
1672815600,156.702,156.784,156.507,156.64
1672819200,156.64,157.303,156.613,157.195
1672822800,157.195,157.478,157.15,157.294
1672826400,157.294,157.676,157.292,157.394
1672830000,157.394,157.516,157.148,157.358
1672833600,157.358,157.784,157.353,157.64
1672837200,157.64,157.656,157.48,157.594
1672840800,157.594,158.173,157.56,158.118
1672844400,158.118,159.13,157.91,159.01
1672848000,159.01,159.228,158.812,159.21
1672851600,159.21,160.179,159.161,159.93
1672855200,159.93,159.968,159.748,159.813
1672858800,159.813,160,159.688,159.923
1672862400,159.923,160.022,159.82,159.998
1672866000,159.998,160.01,159.912,159.954
1672869600,159.954,159.954,159.656,159.662
1672873200,159.662,159.78,159.287,159.446
1672876800,159.446,159.49,159.053,159.237
1672880400,159.237,159.326,159.007,159.207
1672884000,159.207,159.27,158.96,159.022
1672887600,159.022,159.373,158.988,159.31
1672891200,159.31,159.388,159.118,159.279
1672894800,159.279,159.6,159.268,159.479
1672898400,159.479,159.604,159.234,159.25
1672902000,159.25,159.324,159.024,159.091
1672905600,159.091,159.682,159.002,159.392
1672909200,159.392,159.487,159.26,159.452
1672912800,159.452,159.544,159.24,159.322
1672916400,159.322,159.388,159.14,159.25
1672920000,159.25,159.464,159.18,159.346
1672923600,159.346,160.047,159.228,159.358
1672927200,159.358,159.388,159.108,159.266
1672930800,159.266,159.479,158.957,159.06
1672934400,159.06,159.13,158.808,158.969
1672938000,158.969,159,158.588,158.67
