time,open,high,low,close
1672614000,1.90485,1.90496,1.9006,1.90437
1672617600,1.90437,1.90636,1.90332,1.90581
1672621200,1.90581,1.91483,1.90436,1.90788
1672624800,1.90788,1.92898,1.90404,1.91341
1672628400,1.91341,1.91341,1.90858,1.90928
1672632000,1.90928,1.91128,1.909,1.90948
1672635600,1.90948,1.9112,1.90684,1.90762
1672639200,1.90762,1.90818,1.90506,1.90818
1672642800,1.90818,1.90818,1.90498,1.90568
1672646400,1.90568,1.90835,1.90316,1.90389
1672650000,1.90389,1.90656,1.90358,1.90432
1672653600,1.90432,1.906,1.90347,1.90434
1672657200,1.90434,1.90501,1.90346,1.90429
1672660800,1.90429,1.90508,1.90376,1.9043
1672664400,1.9043,1.9051,1.90374,1.90492
1672668000,1.90492,1.90516,1.9005,1.90233
1672671600,1.90233,1.90756,1.90228,1.9054
1672675200,1.9054,1.90732,1.90394,1.9064
1672678800,1.9064,1.90719,1.90563,1.90713
1672682400,1.90713,1.90713,1.90198,1.90348
1672686000,1.90348,1.9039,1.90134,1.90324
1672689600,1.90324,1.90542,1.9024,1.90491
1672693200,1.90491,1.90564,1.90363,1.90412
1672696800,1.90412,1.90778,1.90412,1.90728
1672700400,1.90728,1.90905,1.90428,1.90682
1672704000,1.90682,1.90911,1.90468,1.90686
1672707600,1.90686,1.91196,1.90684,1.9115
1672711200,1.9115,1.91264,1.90424,1.90444
1672714800,1.90444,1.90466,1.89836,1.8999
1672718400,1.8999,1.90409,1.8999,1.90238
1672722000,1.90238,1.90833,1.9017,1.9078
1672725600,1.9078,1.90846,1.9067,1.90744
1672729200,1.90744,1.91142,1.90722,1.90973
1672732800,1.90973,1.9187,1.90663,1.91378
1672736400,1.91378,1.91751,1.90736,1.90856
1672740000,1.90856,1.91741,1.90856,1.9172
1672743600,1.9172,1.92339,1.91696,1.921
1672747200,1.921,1.92436,1.9195,1.92224
1672750800,1.92224,1.92372,1.91824,1.91824
1672754400,1.91824,1.92183,1.91668,1.9212
1672758000,1.9212,1.92464,1.91966,1.92087
1672761600,1.92087,1.92234,1.91563,1.91652
1672765200,1.91652,1.91912,1.9146,1.91584
1672768800,1.91584,1.9205,1.91584,1.9178
1672772400,1.9178,1.91818,1.91492,1.91683
1672776000,1.91683,1.91853,1.91616,1.91655
1672779600,1.91655,1.91688,1.91466,1.91475
1672783200,1.91475,1.91599,1.911,1.91539
1672786800,1.91539,1.91752,1.91424,1.91574
1672790400,1.91574,1.9185,1.91458,1.9149
1672794000,1.9149,1.91504,1.91182,1.91212
1672797600,1.91212,1.91496,1.9117,1.91422
1672801200,1.91422,1.91547,1.91366,1.9137
1672804800,1.9137,1.91458,1.91006,1.91121
1672808400,1.91121,1.91368,1.90974,1.91068
1672812000,1.91068,1.9111,1.9087,1.90882
1672815600,1.90882,1.91118,1.90385,1.90444
1672819200,1.90444,1.90802,1.90026,1.90084
1672822800,1.90084,1.9063,1.89978,1.90605
1672826400,1.90605,1.90967,1.9051,1.90626
1672830000,1.90626,1.90844,1.90472,1.90785
1672833600,1.90785,1.9094,1.90588,1.90719
1672837200,1.90719,1.90776,1.90166,1.90238
1672840800,1.90238,1.9066,1.8997,1.90594
1672844400,1.90594,1.91496,1.90402,1.90988
1672848000,1.90988,1.914,1.90746,1.91044
1672851600,1.91044,1.9146,1.90998,1.91447
1672855200,1.91447,1.91793,1.91418,1.9169
1672858800,1.9169,1.91859,1.91351,1.91436
1672862400,1.91436,1.9166,1.91378,1.91595
1672866000,1.91595,1.91666,1.91486,1.91529
1672869600,1.91529,1.9176,1.91182,1.91742
1672873200,1.91742,1.91865,1.91656,1.91848
1672876800,1.91848,1.9192,1.9138,1.91662
1672880400,1.91662,1.91739,1.91386,1.91394
1672884000,1.91394,1.921,1.91378,1.91913
1672887600,1.91913,1.92156,1.91674,1.92024
1672891200,1.92024,1.92111,1.91544,1.91693
1672894800,1.91693,1.91783,1.91523,1.91546
1672898400,1.91546,1.91568,1.91234,1.91294
1672902000,1.91294,1.9142,1.9089,1.91022
1672905600,1.91022,1.91484,1.90928,1.91258
1672909200,1.91258,1.91656,1.91196,1.91557
1672912800,1.91557,1.91634,1.91071,1.91131
1672916400,1.91131,1.91132,1.90598,1.90974
1672920000,1.90974,1.90987,1.90485,1.90571
1672923600,1.90571,1.91262,1.90425,1.91081
1672927200,1.91081,1.91323,1.90899,1.91003
1672930800,1.91003,1.91382,1.90896,1.91091
1672934400,1.91091,1.91436,1.90829,1.91238
1672938000,1.91238,1.9144,1.91202,1.91246
1672941600,1.91246,1.91318,1.90849,1.91062
1672945200,1.91062,1.91224,1.91006,1.91076
1672948800,1.91076,1.91255,1.91021,1.91192
1672952400,1.91192,1.91401,1.91177,1.91252
1672956000,1.91252,1.91356,1.9109,1.91314
1672959600,1.91314,1.91418,1.91094,1.9128
1672963200,1.9128,1.9142,1.91023,1.91076
1672966800,1.91076,1.91328,1.91004,1.91267
1672970400,1.91267,1.91327,1.91064,1.91281
1672974000,1.91281,1.91354,1.90756,1.90878
1672977600,1.90878,1.91037,1.90832,1.90938
1672981200,1.90938,1.91194,1.90894,1.9111
1672984800,1.9111,1.91259,1.91045,1.91259
1672988400,1.91259,1.91586,1.91098,1.9125
1672992000,1.9125,1.91446,1.90976,1.91113
1672995600,1.91113,1.91214,1.90797,1.90898
1672999200,1.90898,1.9105,1.90806,1.90944
1673002800,1.90944,1.91274,1.90868,1.91196
1673006400,1.91196,1.9141,1.91034,1.9113
1673010000,1.9113,1.91247,1.9049,1.90536
1673013600,1.90536,1.90952,1.90372,1.90916
1673017200,1.90916,1.91032,1.90552,1.9072
1673020800,1.9072,1.90808,1.9026,1.90484
1673024400,1.90484,1.90648,1.90391,1.90622
1673028000,1.90622,1.90649,1.90274,1.90356
1673031600,1.90356,1.90492,1.90157,1.9035
1673035200,1.9035,1.90424,1.90244,1.90364
1673038800,1.90364,1.90634,1.90334,1.90544
1673215200,1.90544,1.90842,1.90526,1.90704
1673218800,1.90704,1.90704,1.90301,1.90556
1673222400,1.90556,1.90644,1.90346,1.90346
1673226000,1.90346,1.9075,1.90028,1.90044
1673229600,1.90044,1.90216,1.8983,1.90037
1673233200,1.90037,1.90138,1.8989,1.90036
1673236800,1.90036,1.90086,1.89773,1.89778
1673240400,1.89778,1.90032,1.89778,1.89893
1673244000,1.89893,1.90078,1.89811,1.89932
1673247600,1.89932,1.90354,1.89686,1.9032
