time,open,high,low,close
1672614000,1.20978,1.21026,1.20677,1.21013
1672617600,1.21013,1.21023,1.20836,1.20891
1672621200,1.20891,1.2106,1.20842,1.20882
1672624800,1.20882,1.20882,1.20757,1.20774
1672628400,1.20774,1.20806,1.20764,1.20769
1672632000,1.20769,1.20805,1.20769,1.20794
1672635600,1.20794,1.20804,1.20734,1.20757
1672639200,1.20757,1.20787,1.20664,1.20747
1672642800,1.20747,1.20777,1.20602,1.20626
1672646400,1.20626,1.20778,1.2045,1.20455
1672650000,1.20455,1.20626,1.20434,1.20466
1672653600,1.20466,1.20548,1.20459,1.20524
1672657200,1.20524,1.20544,1.20504,1.20532
1672660800,1.20532,1.2054,1.20509,1.20518
1672664400,1.20518,1.20537,1.2051,1.20512
1672668000,1.20512,1.20532,1.20509,1.20514
1672671600,1.20514,1.20528,1.20432,1.20444
1672675200,1.20444,1.20485,1.20346,1.20472
1672678800,1.20472,1.20488,1.2045,1.20478
1672682400,1.20478,1.20483,1.20454,1.20469
1672686000,1.20469,1.2048,1.20445,1.20464
1672689600,1.20464,1.2051,1.20462,1.20487
1672693200,1.20487,1.20505,1.20461,1.20483
1672696800,1.20483,1.20512,1.2043,1.20505
1672700400,1.20505,1.20764,1.20488,1.2063
1672704000,1.2063,1.2066,1.20484,1.20542
1672707600,1.20542,1.20563,1.20352,1.20511
1672711200,1.20511,1.20844,1.20498,1.20788
1672714800,1.20788,1.2085,1.20704,1.20744
1672718400,1.20744,1.20848,1.20726,1.2073
1672722000,1.2073,1.20778,1.20634,1.20695
1672725600,1.20695,1.20748,1.20578,1.20628
1672729200,1.20628,1.20794,1.20223,1.20286
1672732800,1.20286,1.20324,1.19118,1.19124
1672736400,1.19124,1.1945,1.19002,1.1924
1672740000,1.1924,1.19358,1.19052,1.1909
1672743600,1.1909,1.19456,1.19066,1.19316
1672747200,1.19316,1.19746,1.19242,1.19557
1672750800,1.19557,1.20101,1.19479,1.19931
1672754400,1.19931,1.20576,1.19834,1.20301
1672758000,1.20301,1.20368,1.20034,1.2009
1672761600,1.2009,1.20118,1.19565,1.19688
1672765200,1.19688,1.19798,1.19528,1.19646
1672768800,1.19646,1.19878,1.19624,1.19798
1672772400,1.19798,1.19852,1.19742,1.19841
1672776000,1.19841,1.19918,1.19704,1.19729
1672779600,1.19729,1.19736,1.19652,1.19676
1672783200,1.19676,1.19724,1.1966,1.1968
1672786800,1.1968,1.19762,1.19583,1.19661
1672790400,1.19661,1.19946,1.19654,1.19898
1672794000,1.19898,1.19968,1.1983,1.1994
1672797600,1.1994,1.20013,1.1984,1.1985
1672801200,1.1985,1.19914,1.1985,1.19894
1672804800,1.19894,1.1996,1.19826,1.19922
1672808400,1.19922,1.20008,1.1979,1.19848
1672812000,1.19848,1.19909,1.19715,1.19864
1672815600,1.19864,1.20408,1.19844,1.20266
1672819200,1.20266,1.20862,1.20256,1.20448
1672822800,1.20448,1.20772,1.2039,1.20604
