time,open,high,low,close
1672614000,0.86027,0.86074,0.85876,0.86004
1672617600,0.86004,0.86004,0.85765,0.85798
1672621200,0.85798,0.85878,0.85424,0.85714
1672624800,0.85714,0.86036,0.84925,0.85588
1672628400,0.85588,0.85812,0.85588,0.85702
1672632000,0.85702,0.85762,0.85662,0.8574
1672635600,0.8574,0.85845,0.85602,0.85768
1672639200,0.85768,0.85821,0.85736,0.85772
1672642800,0.85772,0.85884,0.85714,0.85714
1672646400,0.85714,0.85828,0.8567,0.85722
1672650000,0.85722,0.85834,0.85672,0.85796
1672653600,0.85796,0.85854,0.85767,0.85848
1672657200,0.85848,0.85942,0.85806,0.85903
1672660800,0.85903,0.8594,0.85841,0.85922
1672664400,0.85922,0.85965,0.8587,0.85888
1672668000,0.85888,0.86108,0.85879,0.86002
1672671600,0.86002,0.86006,0.85763,0.85764
1672675200,0.85764,0.85798,0.85732,0.85774
1672678800,0.85774,0.85818,0.85732,0.85748
1672682400,0.85748,0.85984,0.85748,0.85908
1672686000,0.85908,0.86012,0.85886,0.85914
1672689600,0.85914,0.85964,0.85824,0.85846
1672693200,0.85846,0.85914,0.85814,0.85898
1672696800,0.85898,0.85898,0.85728,0.85749
1672700400,0.85749,0.85888,0.85686,0.85805
1672704000,0.85805,0.85835,0.85691,0.8581
1672707600,0.8581,0.8583,0.85672,0.85807
1672711200,0.85807,0.8612,0.85788,0.86106
1672714800,0.86106,0.86196,0.86064,0.86066
1672718400,0.86066,0.86068,0.85943,0.86016
1672722000,0.86016,0.86044,0.85782,0.85799
1672725600,0.85799,0.8582,0.85702,0.85704
1672729200,0.85704,0.85723,0.8524,0.85261
1672732800,0.85261,0.85261,0.84662,0.8474
1672736400,0.8474,0.85128,0.8463,0.85052
1672740000,0.85052,0.85071,0.84644,0.8467
1672743600,0.8467,0.84808,0.84567,0.8465
1672747200,0.8465,0.85003,0.84628,0.84969
1672750800,0.84969,0.85492,0.84951,0.85458
1672754400,0.85458,0.85589,0.8525,0.85254
1672758000,0.85254,0.8528,0.8505,0.85256
1672761600,0.85256,0.85402,0.85115,0.85332
1672765200,0.85332,0.85374,0.85198,0.85327
