time,open,high,low,close
1672614000,0.58722,0.58738,0.58627,0.58708
1672617600,0.58708,0.58722,0.58618,0.58634
1672621200,0.58634,0.5869,0.5838,0.58566
1672624800,0.58566,0.58668,0.5791,0.58359
1672628400,0.58359,0.58502,0.58359,0.58488
1672632000,0.58488,0.5849,0.58386,0.58466
1672635600,0.58466,0.58528,0.58406,0.58522
1672639200,0.58522,0.5856,0.58465,0.58479
1672642800,0.58479,0.58636,0.58341,0.58411
1672646400,0.58411,0.58537,0.58404,0.58509
1672650000,0.58509,0.58526,0.5842,0.58488
1672653600,0.58488,0.58517,0.58432,0.585
1672657200,0.585,0.58512,0.58448,0.58492
1672660800,0.58492,0.58511,0.58458,0.58494
1672664400,0.58494,0.58511,0.58467,0.58476
1672668000,0.58476,0.58649,0.5847,0.58632
1672671600,0.58632,0.58633,0.58478,0.58517
1672675200,0.58517,0.58519,0.58449,0.58496
1672678800,0.58496,0.58518,0.58474,0.58476
1672682400,0.58476,0.5863,0.58476,0.58582
1672686000,0.58582,0.58648,0.58521,0.58533
1672689600,0.58533,0.58576,0.58453,0.58476
1672693200,0.58476,0.58546,0.58449,0.58534
1672696800,0.58534,0.58535,0.58454,0.58524
1672700400,0.58524,0.58662,0.58416,0.58501
1672704000,0.58501,0.58528,0.58368,0.58407
1672707600,0.58407,0.58407,0.58239,0.58285
1672711200,0.58285,0.5856,0.58265,0.58557
1672714800,0.58557,0.58763,0.58552,0.58704
1672718400,0.58704,0.58704,0.58595,0.58646
1672722000,0.58646,0.58668,0.5848,0.58498
1672725600,0.58498,0.58522,0.5847,0.58494
1672729200,0.58494,0.58498,0.58348,0.58375
1672732800,0.58375,0.5842,0.58182,0.58205
1672736400,0.58205,0.58556,0.58162,0.58542
1672740000,0.58542,0.58578,0.58293,0.58296
1672743600,0.58296,0.58452,0.58258,0.58365
1672747200,0.58365,0.58385,0.58294,0.58322
1672750800,0.58322,0.58519,0.5824,0.58506
1672754400,0.58506,0.58598,0.58398,0.5842
1672758000,0.5842,0.58668,0.58416,0.58656
1672761600,0.58656,0.5868,0.58506,0.58511
1672765200,0.58511,0.58556,0.5845,0.58523
1672768800,0.58523,0.58523,0.58442,0.58508
1672772400,0.58508,0.5854,0.58445,0.58456
1672776000,0.58456,0.58478,0.58432,0.5847
1672779600,0.5847,0.58496,0.58436,0.5849
1672783200,0.5849,0.58721,0.5849,0.58496
1672786800,0.58496,0.58539,0.58426,0.5848
1672790400,0.5848,0.58566,0.58444,0.58522
1672794000,0.58522,0.58561,0.58488,0.5855
1672797600,0.5855,0.58568,0.58479,0.585
1672801200,0.585,0.58504,0.58425,0.5848
1672804800,0.5848,0.58566,0.58419,0.58528
1672808400,0.58528,0.58604,0.58483,0.58582
1672812000,0.58582,0.58602,0.5851,0.58542
1672815600,0.58542,0.58724,0.58503,0.58694
1672819200,0.58694,0.58824,0.58617,0.58762
1672822800,0.58762,0.58884,0.58642,0.5867
1672826400,0.5867,0.58688,0.58597,0.5868
1672830000,0.5868,0.5871,0.5858,0.58622
1672833600,0.58622,0.58666,0.58588,0.5863
1672837200,0.5863,0.5879,0.58608,0.58782
1672840800,0.58782,0.5883,0.58683,0.58741
1672844400,0.58741,0.58792,0.58472,0.58606
1672848000,0.58606,0.58643,0.58395,0.58536
1672851600,0.58536,0.58576,0.58487,0.58554
1672855200,0.58554,0.58588,0.58498,0.58535
1672858800,0.58535,0.5859,0.58446,0.5855
1672862400,0.5855,0.58575,0.58512,0.58534
1672866000,0.58534,0.58556,0.58502,0.58515
1672869600,0.58515,0.58642,0.58477,0.58481
1672873200,0.58481,0.58516,0.58411,0.58428
1672876800,0.58428,0.58554,0.58374,0.58479
1672880400,0.58479,0.58532,0.5844,0.58512
