time,open,high,low,close
1672614000,83.262,83.262,83.01,83.192
1672617600,83.192,83.254,83.037,83.06
1672621200,83.06,83.128,82.678,82.976
1672624800,82.976,83.148,82.074,82.708
1672628400,82.708,82.911,82.708,82.836
1672632000,82.836,82.842,82.752,82.828
1672635600,82.828,82.94,82.731,82.888
1672639200,82.888,82.946,82.868,82.868
1672642800,82.868,82.966,82.868,82.89
1672646400,82.89,82.904,82.808,82.852
1672650000,82.852,82.865,82.764,82.79
1672653600,82.79,82.834,82.706,82.775
1672657200,82.775,82.845,82.748,82.776
1672660800,82.776,82.786,82.707,82.739
1672664400,82.739,82.744,82.642,82.652
1672668000,82.652,82.874,82.648,82.814
1672671600,82.814,82.844,82.604,82.675
1672675200,82.675,82.706,82.585,82.628
1672678800,82.628,82.673,82.592,82.626
1672682400,82.626,82.844,82.626,82.772
1672686000,82.772,82.866,82.74,82.754
1672689600,82.754,82.802,82.664,82.682
1672693200,82.682,82.732,82.612,82.674
1672696800,82.674,82.74,82.59,82.61
1672700400,82.61,83.063,82.584,82.744
1672704000,82.744,82.808,82.518,82.568
1672707600,82.568,82.57,81.86,82.056
1672711200,82.056,82.408,81.998,82.407
1672714800,82.407,82.562,82.391,82.481
1672718400,82.481,82.483,82.222,82.245
1672722000,82.245,82.359,82.118,82.13
1672725600,82.13,82.222,82.001,82.116
1672729200,82.116,82.18,81.932,81.952
1672732800,81.952,81.962,81.342,81.406
1672736400,81.406,81.614,81.158,81.478
1672740000,81.478,81.54,81.172,81.18
1672743600,81.18,81.34,81.04,81.29
1672747200,81.29,81.546,81.284,81.464
1672750800,81.464,81.736,81.336,81.69
1672754400,81.69,81.868,81.494,81.522
1672758000,81.522,81.84,81.52,81.739
1672761600,81.739,81.793,81.642,81.706
1672765200,81.706,81.748,81.6,81.681
1672768800,81.681,81.681,81.504,81.594
1672772400,81.594,81.832,81.569,81.767
1672776000,81.767,81.818,81.711,81.814
1672779600,81.814,81.89,81.752,81.868
1672783200,81.868,82.088,81.846,81.851
1672786800,81.851,82.07,81.828,82.014
1672790400,82.014,82.05,81.75,82.036
1672794000,82.036,82.157,81.89,81.952
1672797600,81.952,82.068,81.882,81.907
1672801200,81.907,81.952,81.77,81.852
1672804800,81.852,82.145,81.848,82.094
1672808400,82.094,82.177,81.953,82.079
1672812000,82.079,82.114,82,82.094
1672815600,82.094,82.262,81.958,82.252
1672819200,82.252,82.715,82.214,82.698
1672822800,82.698,82.8,82.49,82.526
1672826400,82.526,82.614,82.514,82.57
1672830000,82.57,82.58,82.438,82.478
1672833600,82.478,82.744,82.474,82.654
1672837200,82.654,82.843,82.613,82.839
1672840800,82.839,83.012,82.818,82.96
1672844400,82.96,83.383,82.792,83.258
1672848000,83.258,83.35,83.124,83.334
1672851600,83.334,83.696,83.313,83.644
1672855200,83.644,83.644,83.344,83.382
1672858800,83.382,83.6,83.286,83.539
1672862400,83.539,83.568,83.418,83.509
1672866000,83.509,83.545,83.468,83.512
1672869600,83.512,83.59,83.262,83.264
1672873200,83.264,83.333,83.05,83.11
1672876800,83.11,83.224,82.936,83.078
1672880400,83.078,83.192,82.942,83.178
1672884000,83.178,83.21,82.765,82.86
1672887600,82.86,83.042,82.812,82.962
1672891200,82.962,83.18,82.922,83.09
1672894800,83.09,83.293,83.088,83.256
1672898400,83.256,83.374,83.232,83.246
1672902000,83.246,83.397,83.126,83.284
1672905600,83.284,83.504,83.246,83.336
1672909200,83.336,83.384,83.126,83.236
1672912800,83.236,83.38,83.209,83.356
1672916400,83.356,83.526,83.356,83.384
1672920000,83.384,83.652,83.36,83.611
1672923600,83.611,83.86,83.332,83.396
1672927200,83.396,83.454,83.204,83.385
1672930800,83.385,83.49,83.157,83.236
1672934400,83.236,83.348,83.047,83.123
1672938000,83.123,83.146,82.854,82.952
1672941600,82.952,83.206,82.882,83.115
1672945200,83.115,83.2,83.067,83.073
1672948800,83.073,83.12,83.012,83.077
1672952400,83.077,83.094,83.002,83.086
1672956000,83.086,83.136,83.022,83.076
1672959600,83.076,83.144,83,83.006
1672963200,83.006,83.354,83.006,83.341
1672966800,83.341,83.45,83.322,83.38
1672970400,83.38,83.452,83.268,83.32
1672974000,83.32,83.744,83.3,83.63
1672977600,83.63,83.703,83.581,83.628
1672981200,83.628,83.692,83.44,83.568
1672984800,83.568,83.65,83.442,83.442
1672988400,83.442,83.502,83.306,83.452
1672992000,83.452,83.641,83.45,83.562
1672995600,83.562,83.649,83.363,83.493
1672999200,83.493,83.508,83.376,83.423
1673002800,83.423,83.472,83.333,83.362
1673006400,83.362,83.575,83.316,83.564
1673010000,83.564,83.824,83.344,83.481
1673013600,83.481,83.661,83.392,83.503
1673017200,83.503,83.736,83.318,83.65
1673020800,83.65,83.925,83.576,83.726
1673024400,83.726,83.829,83.64,83.74
1673028000,83.74,83.891,83.716,83.845
1673031600,83.845,83.98,83.82,83.908
1673035200,83.908,83.958,83.884,83.934
1673038800,83.934,83.936,83.815,83.831
1673215200,83.831,83.86,83.576,83.779
1673218800,83.779,84.008,83.77,83.834
1673222400,83.834,83.92,83.76,83.868
1673226000,83.868,83.984,83.699,83.976
1673229600,83.976,83.998,83.859,83.878
1673233200,83.878,84.026,83.802,83.974
1673236800,83.974,84.276,83.948,84.26
