time,open,high,low,close
1672614000,0.6351,0.63549,0.63461,0.63545
1672617600,0.63545,0.63545,0.63415,0.63433
1672621200,0.63433,0.63489,0.63155,0.6336
1672624800,0.6336,0.63456,0.62636,0.6312
1672628400,0.6312,0.63275,0.6312,0.63258
1672632000,0.63258,0.63266,0.63202,0.6326
1672635600,0.6326,0.63328,0.63181,0.63302
1672639200,0.63302,0.6334,0.63279,0.63279
1672642800,0.63279,0.63342,0.63279,0.63298
1672646400,0.63298,0.633,0.63244,0.63268
1672650000,0.63268,0.6328,0.63236,0.63259
1672653600,0.63259,0.63292,0.63246,0.63289
1672657200,0.63289,0.63315,0.63268,0.63295
1672660800,0.63295,0.63304,0.63268,0.63287
1672664400,0.63287,0.6331,0.63262,0.63264
1672668000,0.63264,0.63416,0.63256,0.63351
1672671600,0.63351,0.63352,0.63178,0.63212
1672675200,0.63212,0.63213,0.63162,0.63194
1672678800,0.63194,0.6322,0.63171,0.63173
1672682400,0.63173,0.63343,0.63173,0.63289
1672686000,0.63289,0.63358,0.63274,0.63294
1672689600,0.63294,0.63332,0.63234,0.63251
1672693200,0.63251,0.63294,0.6322,0.63275
1672696800,0.63275,0.63275,0.63164,0.63182
1672700400,0.63182,0.63316,0.63173,0.63262
1672704000,0.63262,0.63298,0.63184,0.63215
1672707600,0.63215,0.63215,0.62962,0.63045
1672711200,0.63045,0.63432,0.63022,0.63426
1672714800,0.63426,0.63621,0.63421,0.63552
1672718400,0.63552,0.63554,0.63446,0.63463
1672722000,0.63463,0.6349,0.63236,0.63264
1672725600,0.63264,0.63289,0.63205,0.63241
1672729200,0.63241,0.63265,0.62944,0.62986
1672732800,0.62986,0.62991,0.62215,0.62246
1672736400,0.62246,0.62558,0.6212,0.62474
1672740000,0.62474,0.62476,0.62107,0.62116
1672743600,0.62116,0.62216,0.62002,0.62111
1672747200,0.62111,0.62264,0.62086,0.62197
1672750800,0.62197,0.6257,0.62114,0.62523
1672754400,0.62523,0.62846,0.6247,0.62618
1672758000,0.62618,0.6268,0.62432,0.62518
1672761600,0.62518,0.62538,0.62374,0.62451
1672765200,0.62451,0.62496,0.624,0.6244
1672768800,0.6244,0.62466,0.62354,0.62466
1672772400,0.62466,0.62587,0.62452,0.62522
1672776000,0.62522,0.62546,0.62454,0.62471
1672779600,0.62471,0.62508,0.6245,0.62502
1672783200,0.62502,0.62641,0.6248,0.62484
1672786800,0.62484,0.62528,0.62397,0.62462
1672790400,0.62462,0.6263,0.6245,0.62613
1672794000,0.62613,0.62738,0.62606,0.62726
1672797600,0.62726,0.62764,0.6259,0.6261
1672801200,0.6261,0.62654,0.62578,0.6265
1672804800,0.6265,0.62801,0.62594,0.62747
1672808400,0.62747,0.62831,0.62634,0.62726
1672812000,0.62726,0.62806,0.62671,0.62795
1672815600,0.62795,0.63192,0.62736,0.6315
1672819200,0.6315,0.63528,0.63116,0.63366
1672822800,0.63366,0.63512,0.63265,0.63274
1672826400,0.63274,0.63308,0.63217,0.63305
1672830000,0.63305,0.63354,0.6315,0.63184
1672833600,0.63184,0.63222,0.63128,0.63175
1672837200,0.63175,0.63386,0.63146,0.63376
1672840800,0.63376,0.63456,0.6325,0.63324
1672844400,0.63324,0.63364,0.62862,0.63066
1672848000,0.63066,0.6313,0.62914,0.6313
1672851600,0.6313,0.63164,0.63055,0.63055
1672855200,0.63055,0.63055,0.62903,0.6294
1672858800,0.6294,0.63069,0.62786,0.62996
1672862400,0.62996,0.63021,0.62936,0.6294
1672866000,0.6294,0.62966,0.62908,0.62946
1672869600,0.62946,0.63069,0.62894,0.62898
1672873200,0.62898,0.62922,0.62842,0.62842
1672876800,0.62842,0.63046,0.62798,0.62993
1672880400,0.62993,0.63051,0.6296,0.63026
1672884000,0.63026,0.6303,0.62719,0.62781
1672887600,0.62781,0.62851,0.62652,0.62685
1672891200,0.62685,0.62843,0.62669,0.628
1672894800,0.628,0.62853,0.62745,0.62844
1672898400,0.62844,0.62979,0.62844,0.62856
1672902000,0.62856,0.63012,0.62708,0.62862
1672905600,0.62862,0.6292,0.62716,0.62851
1672909200,0.62851,0.62874,0.62726,0.62803
1672912800,0.62803,0.62936,0.62761,0.62918
1672916400,0.62918,0.63074,0.62905,0.62954
1672920000,0.62954,0.6309,0.62929,0.62978
1672923600,0.62978,0.63044,0.62336,0.62382
1672927200,0.62382,0.62443,0.62254,0.62346
1672930800,0.62346,0.6244,0.6211,0.62176
1672934400,0.62176,0.62319,0.6217,0.62228
1672938000,0.62228,0.62294,0.622,0.62231
1672941600,0.62231,0.62514,0.62231,0.62436
1672945200,0.62436,0.62478,0.62333,0.62371
1672948800,0.62371,0.6239,0.62268,0.62292
1672952400,0.62292,0.62304,0.62231,0.62273
1672956000,0.62273,0.62316,0.62135,0.62266
1672959600,0.62266,0.62322,0.62236,0.6226
1672963200,0.6226,0.62416,0.62229,0.6241
1672966800,0.6241,0.62449,0.62294,0.62314
1672970400,0.62314,0.62432,0.62313,0.62344
1672974000,0.62344,0.62544,0.62321,0.62494
1672977600,0.62494,0.6251,0.62438,0.62448
1672981200,0.62448,0.62457,0.62259,0.62289
1672984800,0.62289,0.62374,0.62254,0.62256
1672988400,0.62256,0.62333,0.6207,0.62174
1672992000,0.62174,0.62306,0.62141,0.62197
1672995600,0.62197,0.62206,0.62054,0.62118
1672999200,0.62118,0.6218,0.62071,0.62087
1673002800,0.62087,0.62123,0.61934,0.61966
1673006400,0.61966,0.62074,0.61914,0.62049
1673010000,0.62049,0.62625,0.61986,0.62592
1673013600,0.62592,0.62606,0.62282,0.62318
1673017200,0.62318,0.63213,0.62318,0.63162
1673020800,0.63162,0.634,0.631,0.63328
1673024400,0.63328,0.63397,0.63295,0.63395
1673028000,0.63395,0.63516,0.63328,0.63472
1673031600,0.63472,0.636,0.6346,0.63548
1673035200,0.63548,0.63573,0.63504,0.63539
1673038800,0.63539,0.63548,0.63434,0.63464
1673215200,0.63464,0.63465,0.63345,0.634
1673218800,0.634,0.63615,0.634,0.63604
1673222400,0.63604,0.6369,0.63455,0.63616
1673226000,0.63616,0.63762,0.6344,0.63742
1673229600,0.63742,0.63916,0.63698,0.63856
1673233200,0.63856,0.63892,0.63766,0.63793
1673236800,0.63793,0.63986,0.63772,0.63978
1673240400,0.63978,0.63999,0.6385,0.63966
1673244000,0.63966,0.64034,0.63922,0.63958
1673247600,0.63958,0.64102,0.63768,0.63786
1673251200,0.63786,0.64052,0.63753,0.63936
1673254800,0.63936,0.63987,0.63847,0.63908
1673258400,0.63908,0.6394,0.63743,0.63762
1673262000,0.63762,0.63877,0.63759,0.63848
1673265600,0.63848,0.639,0.6375,0.6385
1673269200,0.6385,0.64116,0.63824,0.63985
1673272800,0.63985,0.63996,0.63749,0.63924
1673276400,0.63924,0.64022,0.63831,0.63914
1673280000,0.63914,0.64018,0.63904,0.63996
1673283600,0.63996,0.64003,0.638,0.63894
1673287200,0.63894,0.639,0.63759,0.63812
1673290800,0.63812,0.63894,0.63786,0.63864
1673294400,0.63864,0.63872,0.63698,0.63722
1673298000,0.63722,0.63731,0.63689,0.63699
1673301600,0.63699,0.63814,0.63593,0.63666
1673305200,0.63666,0.63719,0.63619,0.63686
1673308800,0.63686,0.63766,0.6363,0.63722
1673312400,0.63722,0.63847,0.63658,0.6382
1673316000,0.6382,0.63866,0.63604,0.63696
1673319600,0.63696,0.6375,0.63648,0.63698
1673323200,0.63698,0.63754,0.63662,0.63728
1673326800,0.63728,0.63838,0.63714,0.63786
1673330400,0.63786,0.63816,0.63682,0.63762
1673334000,0.63762,0.63774,0.63593,0.63694
1673337600,0.63694,0.63874,0.63681,0.63802
1673341200,0.63802,0.63894,0.63693,0.63822
1673344800,0.63822,0.63894,0.63762,0.63828
1673348400,0.63828,0.63834,0.63716,0.63723
1673352000,0.63723,0.63732,0.63453,0.63484
1673355600,0.63484,0.63564,0.63425,0.63546
1673359200,0.63546,0.63895,0.63544,0.63789
1673362800,0.63789,0.63824,0.63498,0.63614
1673366400,0.63614,0.63698,0.63561,0.6361
1673370000,0.6361,0.63703,0.63581,0.63602
1673373600,0.63602,0.6363,0.63557,0.63616
1673377200,0.63616,0.63688,0.6361,0.63688
1673380800,0.63688,0.63722,0.6366,0.6371
1673384400,0.6371,0.63716,0.63679,0.63698
1673388000,0.63698,0.63743,0.6357,0.63715
1673391600,0.63715,0.63735,0.63682,0.6371
1673395200,0.6371,0.63816,0.63706,0.63734
1673398800,0.63734,0.63738,0.63642,0.63688
1673402400,0.63688,0.63784,0.63646,0.63668
1673406000,0.63668,0.63731,0.63652,0.63694
1673409600,0.63694,0.63802,0.6367,0.63798
1673413200,0.63798,0.63884,0.63759,0.63802
1673416800,0.63802,0.63838,0.63746,0.6375
1673420400,0.6375,0.63804,0.63625,0.6367
1673424000,0.6367,0.6372,0.63575,0.63576
1673427600,0.63576,0.63777,0.63553,0.63692
1673431200,0.63692,0.63715,0.63543,0.63602
1673434800,0.63602,0.63616,0.63498,0.63525
1673438400,0.63525,0.63534,0.63348,0.63486
1673442000,0.63486,0.63592,0.63458,0.63544
1673445600,0.63544,0.6364,0.63448,0.63533
1673449200,0.63533,0.63562,0.63426,0.63499
1673452800,0.63499,0.63564,0.63462,0.63464
1673456400,0.63464,0.63513,0.63446,0.63466
1673460000,0.63466,0.63718,0.63419,0.63662
1673463600,0.63662,0.6375,0.63604,0.6372
1673467200,0.6372,0.63724,0.63642,0.63657
1673470800,0.63657,0.637,0.63648,0.63662
1673474400,0.63662,0.63664,0.63609,0.63622
1673478000,0.63622,0.63722,0.63622,0.63668
1673481600,0.63668,0.63752,0.63646,0.63684
1673485200,0.63684,0.63739,0.63637,0.63701
1673488800,0.63701,0.63768,0.63692,0.63716
1673492400,0.63716,0.63725,0.63663,0.63709
1673496000,0.63709,0.63798,0.63682,0.63781
1673499600,0.63781,0.63788,0.63614,0.63642
1673503200,0.63642,0.63671,0.63504,0.63526
1673506800,0.63526,0.6357,0.6343,0.6355
1673510400,0.6355,0.63566,0.63404,0.63446
1673514000,0.63446,0.63656,0.63404,0.63615
1673517600,0.63615,0.63618,0.63404,0.63524
1673521200,0.63524,0.63565,0.63477,0.63486
1673524800,0.63486,0.63532,0.63422,0.635
1673528400,0.635,0.64178,0.63134,0.64138
1673532000,0.64138,0.64174,0.63228,0.63346
1673535600,0.63346,0.63824,0.63312,0.63658
1673539200,0.63658,0.63805,0.63577,0.6375
1673542800,0.6375,0.64022,0.63733,0.63998
1673546400,0.63998,0.6414,0.63927,0.64074
1673550000,0.64074,0.64086,0.63946,0.63985
1673553600,0.63985,0.63993,0.63895,0.63954
1673557200,0.63954,0.63975,0.63932,0.63938
1673560800,0.63938,0.63971,0.63766,0.63886
1673564400,0.63886,0.63895,0.6384,0.63871
1673568000,0.63871,0.63997,0.63732,0.63776
1673571600,0.63776,0.63889,0.63694,0.63888
1673575200,0.63888,0.63888,0.63658,0.63822
1673578800,0.63822,0.63829,0.63734,0.63774
1673582400,0.63774,0.63781,0.63689,0.6373
1673586000,0.6373,0.63782,0.6357,0.63638
1673589600,0.63638,0.6386,0.63634,0.6385
1673593200,0.6385,0.63851,0.637,0.63808
1673596800,0.63808,0.64118,0.63723,0.64036
1673600400,0.64036,0.64156,0.63854,0.6394
1673604000,0.6394,0.6404,0.63903,0.63927
1673607600,0.63927,0.6393,0.63592,0.63637
1673611200,0.63637,0.63712,0.63546,0.63574
1673614800,0.63574,0.63606,0.63368,0.63434
1673618400,0.63434,0.63655,0.63351,0.6359
1673622000,0.6359,0.63726,0.6351,0.63692
1673625600,0.63692,0.63704,0.63514,0.636
1673629200,0.636,0.63744,0.63578,0.63734
1673632800,0.63734,0.63813,0.63676,0.63787
1673636400,0.63787,0.63828,0.63771,0.63809
1673640000,0.63809,0.63906,0.6379,0.63862
1673643600,0.63862,0.63871,0.63823,0.63838
1673820000,0.63838,0.63838,0.63724,0.63779
1673823600,0.63779,0.64002,0.63759,0.63819
1673827200,0.63819,0.6401,0.63802,0.63984
1673830800,0.63984,0.64156,0.63946,0.64144
1673834400,0.64144,0.64266,0.64096,0.64208
1673838000,0.64208,0.64232,0.64151,0.64206
1673841600,0.64206,0.64242,0.64026,0.64044
1673845200,0.64044,0.641,0.64019,0.6406
1673848800,0.6406,0.64068,0.63874,0.63937
1673852400,0.63937,0.63998,0.63842,0.63925
1673856000,0.63925,0.63925,0.63629,0.63671
1673859600,0.63671,0.63946,0.63615,0.63936
1673863200,0.63936,0.63992,0.63908,0.63936
1673866800,0.63936,0.64006,0.63882,0.639
1673870400,0.639,0.6398,0.63872,0.63926
1673874000,0.63926,0.6394,0.63756,0.63825
1673877600,0.63825,0.63912,0.63818,0.6384
1673881200,0.6384,0.6393,0.63835,0.63898
