time,open,high,low,close
1672614000,1.35454,1.35579,1.35316,1.35342
1672617600,1.35342,1.35343,1.35244,1.35256
1672621200,1.35256,1.35332,1.3525,1.35281
1672624800,1.35281,1.35641,1.35258,1.35597
1672628400,1.35597,1.35644,1.35479,1.35483
1672632000,1.35483,1.35574,1.35479,1.35533
1672635600,1.35533,1.35559,1.35461,1.35483
1672639200,1.35483,1.35546,1.35412,1.35546
1672642800,1.35546,1.35632,1.35415,1.35415
1672646400,1.35415,1.35591,1.35415,1.35491
1672650000,1.35491,1.35672,1.35415,1.35626
1672653600,1.35626,1.3566,1.35597,1.35644
1672657200,1.35644,1.35754,1.35606,1.35719
1672660800,1.35719,1.35784,1.35658,1.35767
1672664400,1.35767,1.35801,1.35736,1.35764
1672668000,1.35764,1.35798,1.35685,1.35754
1672671600,1.35754,1.35774,1.35673,1.35678
1672675200,1.35678,1.3575,1.35668,1.35732
1672678800,1.35732,1.35782,1.35697,1.3574
1672682400,1.3574,1.35843,1.35686,1.35738
1672686000,1.35738,1.35754,1.35737,1.35739
1672689600,1.35739,1.35775,1.35723,1.35723
1672693200,1.35723,1.35849,1.35711,1.35752
1672696800,1.35752,1.35752,1.35703,1.35717
1672700400,1.35717,1.35727,1.3555,1.35634
1672704000,1.35634,1.35749,1.35574,1.35744
1672707600,1.35744,1.3619,1.35744,1.36104
1672711200,1.36104,1.3619,1.35754,1.35758
1672714800,1.35758,1.35758,1.35412,1.35427
1672718400,1.35427,1.35542,1.35416,1.3554
1672722000,1.3554,1.35712,1.35504,1.35621
1672725600,1.35621,1.35631,1.3552,1.3552
1672729200,1.3552,1.35526,1.35232,1.35366
1672732800,1.35366,1.36149,1.35322,1.36136
1672736400,1.36136,1.3638,1.36044,1.36138
1672740000,1.36138,1.36354,1.36136,1.36308
1672743600,1.36308,1.36415,1.36221,1.36288
1672747200,1.36288,1.36672,1.36264,1.36611
1672750800,1.36611,1.36786,1.36576,1.36682
1672754400,1.36682,1.36801,1.3604,1.36151
1672758000,1.36151,1.36382,1.36022,1.3637
1672761600,1.3637,1.36767,1.3627,1.3664
1672765200,1.3664,1.36744,1.36477,1.36669
1672768800,1.36669,1.36792,1.36561,1.3657
1672772400,1.3657,1.36854,1.36564,1.36638
1672776000,1.36638,1.36758,1.36576,1.36696
1672779600,1.36696,1.36773,1.3667,1.36686
1672783200,1.36686,1.36734,1.36634,1.36648
1672786800,1.36648,1.36804,1.36635,1.36731
1672790400,1.36731,1.36742,1.36548,1.36577
1672794000,1.36577,1.36578,1.36402,1.3642
1672797600,1.3642,1.36462,1.3638,1.36418
1672801200,1.36418,1.3642,1.36344,1.36364
1672804800,1.36364,1.36412,1.36273,1.36319
1672808400,1.36319,1.365,1.36266,1.36465
