time,open,high,low,close
1672614000,0.9246,0.9246,0.92373,0.92382
1672617600,0.92382,0.92481,0.92382,0.92436
1672621200,0.92436,0.92445,0.92369,0.92433
1672624800,0.92433,0.9246,0.92432,0.92456
1672628400,0.92456,0.92462,0.92448,0.92459
1672632000,0.92459,0.92459,0.92304,0.92422
1672635600,0.92422,0.92454,0.92408,0.92448
1672639200,0.92448,0.9247,0.92348,0.92408
1672642800,0.92408,0.92612,0.92156,0.92279
1672646400,0.92279,0.92518,0.92269,0.92478
1672650000,0.92478,0.92506,0.92361,0.92458
1672653600,0.92458,0.9247,0.92383,0.92433
1672657200,0.92433,0.92444,0.92362,0.92411
1672660800,0.92411,0.92438,0.92378,0.92425
1672664400,0.92425,0.92438,0.92398,0.92432
1672668000,0.92432,0.92551,0.92424,0.9255
1672671600,0.9255,0.92576,0.92537,0.92572
1672675200,0.92572,0.92586,0.92512,0.92564
1672678800,0.92564,0.92569,0.92559,0.92566
1672682400,0.92566,0.92569,0.92561,0.92562
1672686000,0.92562,0.9259,0.92464,0.92478
1672689600,0.92478,0.92534,0.92432,0.9245
1672693200,0.9245,0.92508,0.92424,0.92508
1672696800,0.92508,0.92627,0.92508,0.9262
1672700400,0.9262,0.92728,0.9242,0.92473
1672704000,0.92473,0.92512,0.92326,0.92395
1672707600,0.92395,0.92519,0.92395,0.9245
1672711200,0.9245,0.92476,0.92314,0.92324
1672714800,0.92324,0.92398,0.92314,0.92376
1672718400,0.92376,0.92414,0.92344,0.92412
1672722000,0.92412,0.92483,0.92389,0.92466
1672725600,0.92466,0.92516,0.92425,0.92495
1672729200,0.92495,0.92721,0.92428,0.9268
1672732800,0.9268,0.93521,0.9266,0.9351
1672736400,0.9351,0.93824,0.9349,0.93704
1672740000,0.93704,0.93888,0.93676,0.9385
1672743600,0.9385,0.93987,0.93832,0.9397
1672747200,0.9397,0.93974,0.93727,0.93768
1672750800,0.93768,0.93796,0.93488,0.93574
1672754400,0.93574,0.93648,0.9318,0.93297
