time,open,high,low,close
1672614000,131.101,131.101,130.738,130.919
1672617600,130.919,131.052,130.918,130.942
1672621200,130.942,130.995,130.877,130.959
1672624800,130.959,131.041,130.959,131.033
1672628400,131.033,131.035,130.911,130.949
1672632000,130.949,130.949,130.91,130.932
1672635600,130.932,130.972,130.913,130.94
1672639200,130.94,130.981,130.916,130.95
1672642800,130.95,130.982,130.926,130.954
1672646400,130.954,130.974,130.918,130.95
1672650000,130.95,130.964,130.861,130.875
1672653600,130.875,130.878,130.76,130.789
1672657200,130.789,130.891,130.768,130.78
1672660800,130.78,130.808,130.705,130.736
1672664400,130.736,130.759,130.618,130.646
1672668000,130.646,130.786,130.639,130.724
1672671600,130.724,130.827,130.714,130.79
1672675200,130.79,130.842,130.675,130.752
1672678800,130.752,130.812,130.729,130.788
1672682400,130.788,130.797,130.754,130.784
1672686000,130.784,130.791,130.738,130.746
1672689600,130.746,130.748,130.712,130.722
1672693200,130.722,130.746,130.659,130.659
1672696800,130.659,130.846,130.659,130.75
1672700400,130.75,131.406,130.534,130.794
1672704000,130.794,130.906,130.576,130.614
1672707600,130.614,130.72,129.81,130.154
1672711200,130.154,130.31,129.784,129.926
1672714800,129.926,129.988,129.683,129.786
1672718400,129.786,129.804,129.508,129.596
1672722000,129.596,129.957,129.556,129.82
1672725600,129.82,130.065,129.618,129.846
1672729200,129.846,130.256,129.785,130.112
1672732800,130.112,130.965,130.1,130.784
1672736400,130.784,130.805,130.312,130.416
1672740000,130.416,130.738,130.362,130.691
1672743600,130.691,130.89,130.63,130.879
1672747200,130.879,131.198,130.834,130.978
1672750800,130.978,131.008,130.59,130.656
1672754400,130.656,130.798,130.052,130.19
1672758000,130.19,130.937,130.186,130.743
1672761600,130.743,131.111,130.624,130.834
1672765200,130.834,130.886,130.725,130.793
1672768800,130.793,130.816,130.602,130.622
1672772400,130.622,130.792,130.576,130.782
1672776000,130.782,130.967,130.754,130.964
1672779600,130.964,131.04,130.888,130.984
1672783200,130.984,131.046,130.978,130.996
1672786800,130.996,131.472,130.979,131.298
1672790400,131.298,131.31,130.82,131.02
1672794000,131.02,131.226,130.582,130.65
1672797600,130.65,130.939,130.634,130.82
1672801200,130.82,130.863,130.62,130.65
1672804800,130.65,130.952,130.644,130.832
1672808400,130.832,130.998,130.754,130.853
1672812000,130.853,130.88,130.683,130.733
1672815600,130.733,130.758,130.116,130.254
1672819200,130.254,130.532,129.928,130.509
1672822800,130.509,130.633,130.274,130.424
1672826400,130.424,130.572,130.422,130.43
1672830000,130.43,130.596,130.278,130.535
1672833600,130.535,130.982,130.516,130.834
1672837200,130.834,130.926,130.581,130.71
1672840800,130.71,131.13,130.699,131.008
1672844400,131.008,132.09,130.969,132.014
1672848000,132.014,132.194,131.94,132.004
1672851600,132.004,132.716,131.998,132.548
1672855200,132.548,132.599,132.386,132.478
1672858800,132.478,132.718,132.431,132.611
1672862400,132.611,132.694,132.488,132.68
1672866000,132.68,132.715,132.632,132.672
1672869600,132.672,132.672,132.378,132.378
1672873200,132.378,132.462,132.067,132.25
1672876800,132.25,132.319,131.814,131.884
1672880400,131.884,132.016,131.684,131.974
1672884000,131.974,132.204,131.926,131.982
1672887600,131.982,132.39,131.941,132.349
1672891200,132.349,132.428,132.188,132.31
1672894800,132.31,132.628,132.298,132.484
1672898400,132.484,132.578,132.245,132.442
1672902000,132.442,132.616,132.264,132.486
1672905600,132.486,132.906,132.43,132.593
1672909200,132.593,132.698,132.424,132.534
1672912800,132.534,132.64,132.381,132.483
1672916400,132.483,132.602,132.325,132.454
1672920000,132.454,132.77,132.392,132.762
1672923600,132.762,133.726,132.74,133.688
1672927200,133.688,133.789,133.468,133.746
1672930800,133.746,134.055,133.604,133.872
1672934400,133.872,133.914,133.474,133.578
1672938000,133.578,133.579,133.072,133.246
1672941600,133.246,133.329,132.952,133.118
1672945200,133.118,133.301,133.107,133.188
1672948800,133.188,133.37,133.188,133.366
1672952400,133.366,133.447,133.351,133.424
1672956000,133.424,133.446,133.404,133.421
1672959600,133.421,133.522,133.272,133.323
1672963200,133.323,133.64,133.306,133.538
1672966800,133.538,133.811,133.484,133.807
1672970400,133.807,133.827,133.584,133.644
1672974000,133.644,133.948,133.631,133.822
1672977600,133.822,133.928,133.78,133.916
1672981200,133.916,134.378,133.85,134.163
1672984800,134.163,134.203,133.974,134.03
1672988400,134.03,134.322,133.702,134.224
1672992000,134.224,134.446,134.152,134.351
1672995600,134.351,134.598,134.28,134.412
1672999200,134.412,134.414,134.222,134.364
1673002800,134.364,134.629,134.267,134.53
1673006400,134.53,134.692,134.464,134.673
1673010000,134.673,134.778,133.235,133.372
1673013600,133.372,134.102,133.263,133.996
1673017200,133.996,133.996,132.354,132.438
1673020800,132.438,132.546,132.185,132.212
1673024400,132.212,132.345,132.082,132.112
1673028000,132.112,132.214,132.049,132.098
1673031600,132.098,132.114,131.994,132.036
1673035200,132.036,132.13,132.034,132.096
1673038800,132.096,132.168,132.046,132.094
1673215200,132.094,132.146,131.932,132.143
1673218800,132.143,132.284,131.788,131.808
1673222400,131.808,132.118,131.71,131.834
1673226000,131.834,132,131.591,131.744
1673229600,131.744,131.788,131.342,131.352
1673233200,131.352,131.648,131.308,131.632
1673236800,131.632,131.728,131.534,131.702
1673240400,131.702,131.918,131.688,131.848
1673244000,131.848,131.944,131.717,131.806
1673247600,131.806,132.378,131.616,132.233
1673251200,132.233,132.274,131.992,132.149
1673254800,132.149,132.575,132.138,132.446
1673258400,132.446,132.658,132.368,132.621
1673262000,132.621,132.642,132.369,132.51
1673265600,132.51,132.518,132.126,132.284
1673269200,132.284,132.286,131.73,131.782
1673272800,131.782,132.072,131.686,131.884
1673276400,131.884,132.072,131.836,131.949
1673280000,131.949,131.957,131.554,131.582
1673283600,131.582,131.938,131.555,131.762
1673287200,131.762,131.883,131.685,131.853
1673290800,131.853,131.856,131.534,131.569
1673294400,131.569,131.882,131.566,131.801
1673298000,131.801,131.896,131.784,131.878
1673301600,131.878,131.944,131.816,131.902
1673305200,131.902,131.924,131.594,131.734
1673308800,131.734,132.227,131.676,131.708
1673312400,131.708,131.742,131.386,131.523
1673316000,131.523,131.9,131.49,131.794
1673319600,131.794,131.922,131.78,131.832
1673323200,131.832,132.022,131.818,131.988
1673326800,131.988,132.037,131.664,131.774
1673330400,131.774,132.01,131.738,131.922
1673334000,131.922,132.292,131.864,132.221
1673337600,132.221,132.23,131.73,131.836
1673341200,131.836,131.95,131.696,131.822
1673344800,131.822,132.011,131.817,131.976
1673348400,131.976,132.185,131.969,132.048
1673352000,132.048,132.447,132.044,132.387
1673355600,132.387,132.481,132.224,132.288
1673359200,132.288,132.292,131.728,132.015
1673362800,132.015,132.33,131.924,132.178
1673366400,132.178,132.351,132.072,132.256
1673370000,132.256,132.274,132.094,132.208
1673373600,132.208,132.304,132.153,132.262
1673377200,132.262,132.29,132.164,132.232
1673380800,132.232,132.25,132.152,132.238
1673384400,132.238,132.272,132.177,132.235
1673388000,132.235,132.237,132.117,132.174
1673391600,132.174,132.231,132.068,132.106
1673395200,132.106,132.362,132.094,132.264
1673398800,132.264,132.529,132.234,132.397
1673402400,132.397,132.584,132.332,132.56
1673406000,132.56,132.562,132.402,132.456
1673409600,132.456,132.498,132.267,132.276
1673413200,132.276,132.334,132.132,132.262
1673416800,132.262,132.358,132.166,132.32
1673420400,132.32,132.431,132.161,132.422
1673424000,132.422,132.728,132.387,132.682
1673427600,132.682,132.749,132.42,132.484
1673431200,132.484,132.533,132.314,132.498
1673434800,132.498,132.604,132.406,132.584
1673438400,132.584,132.875,132.572,132.769
1673442000,132.769,132.81,132.568,132.698
1673445600,132.698,132.752,132.472,132.528
1673449200,132.528,132.605,132.379,132.596
1673452800,132.596,132.6,132.416,132.582
1673456400,132.582,132.625,132.483,132.487
1673460000,132.487,132.707,132.284,132.323
1673463600,132.323,132.456,132.292,132.416
1673467200,132.416,132.531,132.392,132.531
1673470800,132.531,132.556,132.42,132.506
1673474400,132.506,132.51,132.404,132.419
1673478000,132.419,132.422,131.774,131.904
1673481600,131.904,132.038,131.53,131.906
1673485200,131.906,132.015,131.544,131.669
1673488800,131.669,131.813,131.466,131.626
1673492400,131.626,131.712,131.594,131.704
1673496000,131.704,131.816,131.384,131.446
1673499600,131.446,131.658,131.368,131.638
1673503200,131.638,131.752,131.512,131.727
1673506800,131.727,131.902,131.557,131.604
1673510400,131.604,131.776,131.567,131.696
1673514000,131.696,131.726,130.854,130.959
1673517600,130.959,131.166,130.906,131.006
1673521200,131.006,131.034,130.806,130.878
1673524800,130.878,130.88,130.63,130.686
1673528400,130.686,131.241,129.501,129.651
1673532000,129.651,130.786,129.583,130.608
1673535600,130.608,130.684,129.753,129.838
1673539200,129.838,129.947,129.59,129.757
1673542800,129.757,129.77,129.176,129.196
1673546400,129.196,129.275,128.864,129.165
1673550000,129.165,129.447,129.074,129.298
1673553600,129.298,129.431,129.186,129.2
1673557200,129.2,129.347,129.166,129.302
1673560800,129.302,129.392,129.219,129.32
