time,open,high,low,close
1744837200,0.88301,0.88586,0.87964,0.88412
1744923600,0.88414,0.88534,0.8819,0.88298
1745182800,0.88192,0.88841,0.88082,0.88798
1745269200,0.8879,0.88894,0.87901,0.87912
1745355600,0.87924,0.89016,0.87924,0.88258
1745442000,0.8825,0.8893,0.88004,0.88786
1745528400,0.8878,0.88994,0.88423,0.8862
1745787600,0.88618,0.8897,0.88404,0.88948
1745874000,0.88936,0.89124,0.8828,0.88307
1745960400,0.88298,0.88728,0.87978,0.88339
1746046800,0.88334,0.8859,0.88011,0.88426
1746133200,0.8843,0.89151,0.88298,0.89082
1746392400,0.88968,0.8964,0.88958,0.89427
1746478800,0.89342,0.89506,0.8904,0.89466
1746565200,0.8947,0.89728,0.888,0.88916
1746651600,0.88912,0.89312,0.88842,0.89096
1746738000,0.89164,0.89546,0.88814,0.89362
1746997200,0.89254,0.89908,0.8903,0.89045
1747083600,0.89037,0.90398,0.88925,0.90184
1747170000,0.90182,0.90432,0.89776,0.89882
1747256400,0.89876,0.90132,0.89382,0.89423
1747342800,0.89412,0.89713,0.89242,0.89454
1747602000,0.89497,0.90119,0.89372,0.90085
1747688400,0.89973,0.90118,0.89063,0.89394
1747774800,0.89425,0.89678,0.89111,0.89208
1747861200,0.8924,0.8944,0.88798,0.88816
1747947600,0.88882,0.89314,0.8881,0.89214
1748206800,0.89107,0.89516,0.89033,0.89114
1748293200,0.89195,0.89195,0.88585,0.8899
1748379600,0.89024,0.89126,0.88603,0.8893
1748466000,0.88925,0.8911,0.88747,0.88944
1748552400,0.88949,0.89078,0.88339,0.88386
1748811600,0.88413,0.89116,0.88355,0.89079
1748898000,0.89028,0.89116,0.88534,0.88677
1748984400,0.88586,0.88982,0.88509,0.88804
1749070800,0.8878,0.89186,0.88714,0.88939
1749157200,0.89053,0.89053,0.88728,0.8892
1749416400,0.88973,0.89334,0.88936,0.89259
1749502800,0.89192,0.89476,0.89074,0.8916
1749589200,0.89164,0.89378,0.88796,0.88872
1749675600,0.88954,0.88976,0.88551,0.8884
1749762000,0.88858,0.88927,0.88043,0.88106
1750021200,0.88061,0.8874,0.87976,0.8854
1750107600,0.88563,0.88826,0.88212,0.88564
1750194000,0.88562,0.89282,0.88514,0.89122
1750280400,0.89125,0.89142,0.88558,0.8879
1750366800,0.88784,0.89058,0.88575,0.88599
1750626000,0.88433,0.88752,0.87905,0.88714
1750712400,0.8868,0.89338,0.88654,0.89056
1750798800,0.88988,0.89408,0.88974,0.89394
1750885200,0.89326,0.89616,0.89211,0.89284
1750971600,0.8934,0.8961,0.89062,0.89351
1751230800,0.89475,0.89674,0.89218,0.89556
1751317200,0.89435,0.89836,0.8925,0.8983
1751403600,0.89655,0.89827,0.8932,0.89474
1751490000,0.89457,0.89511,0.89014,0.89262
1751576400,0.8926,0.89316,0.88996,0.89186
1751835600,0.89342,0.89342,0.88662,0.88806
1751922000,0.88806,0.89444,0.8878,0.89216
1752008400,0.89237,0.8958,0.891,0.8943
1752094800,0.89443,0.90054,0.89318,0.89967
1752181200,0.89963,0.90226,0.89846,0.90018
1752440400,0.89948,0.90118,0.89628,0.897
1752526800,0.89773,0.89954,0.89322,0.89384
1752613200,0.89425,0.89672,0.89297,0.89309
1752699600,0.89322,0.89474,0.88766,0.89217
1752786000,0.89216,0.89626,0.89136,0.8924
1753045200,0.89363,0.8945,0.8924,0.89265
1753131600,0.89268,0.89368,0.89042,0.89186
1753218000,0.89186,0.89796,0.89089,0.89775
1753304400,0.8973,0.90096,0.89716,0.89859
1753390800,0.89848,0.90088,0.89692,0.89967
1753650000,0.90149,0.90154,0.89388,0.89584
1753736400,0.89598,0.89762,0.8938,0.89644
1753822800,0.89701,0.89833,0.88814,0.8899
1753909200,0.88995,0.89449,0.88952,0.89014
1753995600,0.89041,0.89546,0.88885,0.89178
1754254800,0.8908,0.89354,0.8901,0.8912
1754341200,0.89241,0.89288,0.89,0.89137
1754427600,0.89048,0.89496,0.89035,0.89358
1754514000,0.89392,0.89761,0.89274,0.8967
1754600400,0.89564,0.89797,0.89518,0.89704
1754859600,0.89724,0.8981,0.89598,0.89734
1754946000,0.89698,0.89985,0.8947,0.89922
1755032400,0.89859,0.90251,0.89796,0.90062
1755118800,0.90065,0.90282,0.89539,0.89733
1755205200,0.89678,0.90038,0.89614,0.89933
1755464400,0.89943,0.9004,0.89592,0.89605
1755550800,0.89676,0.89748,0.89418,0.89503
1755637200,0.89597,0.89597,0.89086,0.89248
1755723600,0.89208,0.89342,0.8904,0.89312
1755810000,0.8934,0.89918,0.89272,0.89775
1756069200,0.89748,0.89936,0.89589,0.89854
1756155600,0.89794,0.89936,0.89673,0.89879
1756242000,0.89824,0.8995,0.89524,0.8972
1756328400,0.89685,0.89884,0.8966,0.89797
1756414800,0.89767,0.8996,0.89719,0.89888
1756674000,0.89917,0.9019,0.89816,0.90116
1756760400,0.90073,0.90162,0.89535,0.89867
1756846800,0.89818,0.90368,0.89746,0.90256
1756933200,0.90193,0.90344,0.89938,0.90059
1757019600,0.90007,0.9096,0.90002,0.90653
1757278800,0.90652,0.91086,0.90607,0.90993
1757365200,0.90952,0.9135,0.9093,0.91168
1757451600,0.91204,0.91822,0.91122,0.91678
1757538000,0.91734,0.92213,0.91526,0.92123
1757624400,0.92124,0.92273,0.91872,0.92076
1757883600,0.91924,0.92227,0.91852,0.91898
1757970000,0.91868,0.91942,0.91627,0.91838
1758056400,0.91802,0.92068,0.9155,0.9163
1758142800,0.91599,0.91698,0.91165,0.91212
1758229200,0.91278,0.91288,0.90772,0.90846
1758488400,0.90886,0.91258,0.90765,0.91188
1758574800,0.91169,0.91408,0.91021,0.91302
1758661200,0.91283,0.9177,0.91243,0.91476
1758747600,0.91502,0.91732,0.91018,0.91162
1758834000,0.91022,0.9132,0.9099,0.91291
1759093200,0.91273,0.9159,0.91228,0.9151
1759179600,0.91515,0.92217,0.91487,0.92055
1759266000,0.92038,0.9227,0.91788,0.92169
1759352400,0.92164,0.9231,0.91947,0.92128
1759438800,0.92114,0.92264,0.9202,0.92081
1759698000,0.91904,0.92424,0.91883,0.92274
1759784400,0.9226,0.92384,0.91796,0.91801
1759870800,0.91838,0.91949,0.91528,0.91899
1759957200,0.91842,0.92164,0.91699,0.91906
1760043600,0.91917,0.92121,0.90624,0.90666
1760302800,0.9105,0.91544,0.90861,0.9146
1760389200,0.91439,0.91525,0.90627,0.91086
1760475600,0.91086,0.91574,0.91052,0.91437
1760562000,0.91347,0.9148,0.90933,0.91132
1760648400,0.91137,0.91211,0.90601,0.91078
1760907600,0.9101,0.91484,0.90984,0.91438
1760994000,0.91434,0.91546,0.90857,0.90978
1761080400,0.90988,0.91138,0.90654,0.90812
1761166800,0.90801,0.91194,0.90692,0.91121
1761253200,0.91084,0.9144,0.91016,0.91162
1761512400,0.91598,0.91784,0.91308,0.91718
1761598800,0.91682,0.91888,0.91628,0.91834
1761685200,0.91814,0.92156,0.91485,0.91672
1761771600,0.91603,0.91892,0.9146,0.9165
1761858000,0.91684,0.91819,0.91495,0.91694
1762120800,0.91693,0.91988,0.91629,0.91893
1762207200,0.91872,0.91945,0.91346,0.9151
1762293600,0.91504,0.91906,0.91186,0.91795
1762380000,0.91782,0.91896,0.91321,0.91465
1762466400,0.91472,0.9161,0.91048,0.91202
1762725600,0.91296,0.91679,0.9115,0.91641
1762812000,0.916,0.91662,0.9136,0.91504
1762898400,0.91424,0.91671,0.91344,0.91622
1762984800,0.91603,0.92054,0.91523,0.91648
1763071200,0.91611,0.91848,0.91338,0.91663
1763330400,0.91642,0.91678,0.91109,0.91272
1763416800,0.91234,0.91316,0.90878,0.91025
1763503200,0.90998,0.91078,0.9067,0.91028
1763589600,0.90982,0.9132,0.90763,0.90767
1763676000,0.90817,0.9108,0.90565,0.91045
1763935200,0.91098,0.91234,0.90916,0.91196
1764021600,0.91178,0.91267,0.90849,0.9121
1764108000,0.91166,0.91624,0.91159,0.91534
1764194400,0.9155,0.91733,0.91512,0.91672
1764280800,0.91666,0.9176,0.91323,0.91546
1764540000,0.91437,0.91666,0.91374,0.91594
1764626400,0.91603,0.919,0.91502,0.91701
1764712800,0.91681,0.92112,0.9156,0.92071
1764799200,0.9204,0.92392,0.92036,0.92242
1764885600,0.92266,0.92574,0.9175,0.9176
1765144800,0.91784,0.91876,0.91496,0.9179
1765231200,0.91724,0.92048,0.9154,0.91964
1765317600,0.91908,0.92193,0.91808,0.92074
1765404000,0.92072,0.92084,0.91562,0.91757
1765490400,0.91793,0.9189,0.91482,0.91621
1765749600,0.91488,0.91618,0.91394,0.91421
1765836000,0.91449,0.91534,0.91107,0.91216
1765922400,0.91229,0.91314,0.91002,0.91052
1766008800,0.91077,0.9131,0.90879,0.91104
1766095200,0.91065,0.91274,0.91033,0.9124
1766354400,0.91247,0.91542,0.91144,0.91524
1766440800,0.9152,0.91788,0.91462,0.91706
1766527200,0.91717,0.91871,0.91628,0.9172
1766700000,0.91681,0.91844,0.91608,0.91812
1766959200,0.91603,0.91942,0.91478,0.91628
1767045600,0.91638,0.9191,0.91586,0.91704
1767132000,0.91694,0.9175,0.91345,0.91588
1767304800,0.91548,0.92004,0.9149,0.91936
1767564000,0.91848,0.9248,0.91741,0.92476
1767650400,0.92439,0.931,0.92326,0.93084
1767736800,0.93037,0.93454,0.9285,0.93148
1767823200,0.93157,0.9323,0.92664,0.9288
1767909600,0.92888,0.93083,0.92603,0.93038
1768168800,0.92935,0.9324,0.92932,0.93134
1768255200,0.93128,0.93226,0.9271,0.92798
1768341600,0.92824,0.93037,0.9262,0.92786
1768428000,0.92748,0.9321,0.92647,0.93076
1768514400,0.93044,0.93204,0.9284,0.92998
1768773600,0.92808,0.93142,0.92797,0.93114
1768860000,0.9308,0.93376,0.92986,0.93219
1768946400,0.93159,0.93588,0.93106,0.9353
