time,open,high,low,close
1744837200,1.0735,1.07608,1.06842,1.07021
1744923600,1.0702,1.07605,1.06922,1.07439
1745182800,1.07439,1.07439,1.06784,1.0693
1745269200,1.06923,1.07096,1.0652,1.06714
1745355600,1.0672,1.0726,1.06619,1.06976
1745442000,1.06972,1.07043,1.06697,1.06878
1745528400,1.06881,1.07358,1.06852,1.07288
1745787600,1.07288,1.07688,1.07174,1.07572
1745874000,1.07554,1.07846,1.07444,1.07664
1745960400,1.0763,1.08118,1.0751,1.07902
1746046800,1.07897,1.08114,1.07696,1.08078
1746133200,1.0805,1.08472,1.07988,1.0845
1746392400,1.0846,1.08538,1.08135,1.08406
1746478800,1.08398,1.08485,1.07812,1.08105
1746565200,1.08107,1.08328,1.07902,1.08157
1746651600,1.08217,1.08441,1.08052,1.08373
1746738000,1.08383,1.08712,1.08327,1.0849
1746997200,1.08497,1.08987,1.08337,1.08838
1747083600,1.08712,1.09056,1.08689,1.08974
1747170000,1.0898,1.09122,1.08687,1.08987
1747256400,1.0898,1.09218,1.08854,1.09004
1747342800,1.0905,1.09139,1.08636,1.08896
1747602000,1.08806,1.09088,1.08718,1.08878
1747688400,1.08908,1.08966,1.08282,1.08418
1747774800,1.08471,1.08676,1.08283,1.08388
1747861200,1.08422,1.08832,1.08298,1.08682
1747947600,1.08728,1.08841,1.08192,1.08536
1748206800,1.08404,1.08566,1.08038,1.08128
1748293200,1.08102,1.08384,1.08028,1.08334
1748379600,1.08255,1.08512,1.0768,1.07702
1748466000,1.07692,1.08248,1.0765,1.07942
1748552400,1.07945,1.08,1.07608,1.07854
1748811600,1.07878,1.07916,1.07506,1.0763
1748898000,1.07643,1.07766,1.07272,1.07744
1748984400,1.07754,1.07864,1.07518,1.07726
1749070800,1.07746,1.07838,1.07512,1.07785
1749157200,1.07773,1.0797,1.07515,1.07912
1749416400,1.07912,1.08034,1.07678,1.07748
1749502800,1.07796,1.0797,1.0761,1.07778
1749589200,1.07875,1.08047,1.07691,1.07838
1749675600,1.07826,1.07886,1.07584,1.07637
1749762000,1.0766,1.07924,1.07459,1.07814
1750021200,1.0783,1.08,1.07605,1.07646
1750107600,1.07711,1.07796,1.07556,1.07668
1750194000,1.0767,1.07978,1.07584,1.07966
1750280400,1.07966,1.0836,1.07827,1.08148
1750366800,1.08168,1.08334,1.07998,1.08106
1750626000,1.0809,1.08413,1.07963,1.08068
1750712400,1.08095,1.08178,1.07872,1.08038
1750798800,1.08037,1.08066,1.077,1.07851
1750885200,1.07871,1.08082,1.077,1.08074
1750971600,1.08026,1.08088,1.07732,1.07861
1751230800,1.07904,1.0804,1.0762,1.07936
1751317200,1.07914,1.08004,1.07663,1.07948
1751403600,1.07857,1.08213,1.07764,1.08134
1751490000,1.0809,1.08461,1.0802,1.08256
1751576400,1.08273,1.08352,1.08098,1.08221
1751835600,1.08299,1.0845,1.08045,1.08289
1751922000,1.08251,1.08914,1.08224,1.08866
1752008400,1.08862,1.0905,1.0868,1.08932
1752094800,1.08863,1.0925,1.08787,1.09181
1752181200,1.09049,1.09538,1.09049,1.09464
1752440400,1.09361,1.09733,1.09281,1.0959
1752526800,1.09615,1.0965,1.09449,1.09572
1752613200,1.09572,1.099,1.09422,1.09766
1752699600,1.0978,1.09808,1.09222,1.09377
1752786000,1.09356,1.09409,1.09105,1.09176
1753045200,1.09142,1.09502,1.0909,1.09324
1753131600,1.09327,1.09582,1.09172,1.09222
1753218000,1.0926,1.0932,1.09036,1.09214
1753304400,1.09174,1.09387,1.09125,1.09294
1753390800,1.09255,1.09362,1.09104,1.09135
1753650000,1.09348,1.09348,1.09082,1.09224
1753736400,1.09155,1.09392,1.09142,1.09327
1753822800,1.09349,1.09397,1.0907,1.09141
1753909200,1.09156,1.0924,1.09045,1.09098
1753995600,1.09127,1.09648,1.09041,1.09324
1754254800,1.0933,1.09673,1.0929,1.09478
1754341200,1.09485,1.09784,1.09376,1.09679
1754427600,1.09625,1.09814,1.09492,1.09686
1754514000,1.09618,1.097,1.09336,1.09422
1754600400,1.09428,1.09656,1.0929,1.09545
1754859600,1.09428,1.09786,1.09416,1.09682
1754946000,1.0967,1.09834,1.09528,1.09656
1755032400,1.09615,1.0969,1.0941,1.09546
1755118800,1.09545,1.09824,1.09452,1.09759
1755205200,1.09757,1.09955,1.09692,1.09882
1755464400,1.09908,1.0992,1.09594,1.09622
1755550800,1.09625,1.09714,1.09394,1.09522
1755637200,1.09531,1.10688,1.09392,1.10486
1755723600,1.10494,1.10558,1.10246,1.1035
1755810000,1.10347,1.10688,1.10308,1.10631
1756069200,1.1061,1.10842,1.10519,1.10839
1756155600,1.10717,1.1106,1.10645,1.10811
1756242000,1.10881,1.11152,1.10756,1.11044
1756328400,1.11049,1.1124,1.10954,1.11013
1756414800,1.1099,1.11051,1.10852,1.10922
1756674000,1.1112,1.11126,1.10716,1.11026
1756760400,1.10971,1.11224,1.10946,1.11169
1756846800,1.11111,1.11524,1.11111,1.1131
1756933200,1.11316,1.1157,1.11165,1.1148
1757019600,1.11463,1.11541,1.11153,1.11231
1757278800,1.11183,1.11336,1.109,1.10979
1757365200,1.10974,1.11158,1.10928,1.11124
1757451600,1.11078,1.11349,1.11056,1.11346
1757538000,1.11336,1.11566,1.11274,1.11435
1757624400,1.115,1.11702,1.11438,1.11648
1757883600,1.11646,1.11796,1.11483,1.11722
1757970000,1.11719,1.11916,1.11542,1.11636
1758056400,1.11642,1.11779,1.11538,1.11582
1758142800,1.11645,1.12794,1.11512,1.12405
1758229200,1.1253,1.12612,1.123,1.12574
1758488400,1.12578,1.12672,1.12373,1.12464
1758574800,1.12507,1.12798,1.12406,1.12634
1758661200,1.12693,1.13408,1.12576,1.1324
1758747600,1.13278,1.13471,1.13152,1.13406
