time,open,high,low,close
1107122400,0.7738,0.7766,0.7719,0.7757
1107208800,0.7757,0.7764,0.7697,0.774
1107295200,0.774,0.7789,0.77205,0.7782
1107381600,0.7782,0.7785,0.7674,0.7708
1107468000,0.7708,0.7759,0.7682,0.7704
1107727200,0.7688,0.7738,0.7665,0.7674
1107813600,0.7674,0.768,0.7613,0.7664
1107900000,0.7664,0.7713,0.7631,0.7707
1107986400,0.7707,0.7839,0.7699,0.7832
1108072800,0.7832,0.7864,0.781,0.786
1108332000,0.7858,0.7889,0.7846,0.7879
1108418400,0.7879,0.7883,0.7825,0.7875
1108504800,0.7875,0.7877,0.7788,0.7845
1108591200,0.7845,0.7894,0.7833,0.7879
1108677600,0.7879,0.7898,0.783,0.7885
1108936800,0.7889,0.7902,0.7861,0.7898
1109023200,0.7898,0.7959,0.7867,0.7947
1109109600,0.7947,0.795,0.7846,0.7862
1109196000,0.7862,0.7898,0.7844,0.7866
1109282400,0.7866,0.7884,0.7807,0.7864
1109541600,0.7869,0.7945,0.7858,0.7919
1109628000,0.7919,0.7933,0.7832,0.78725
1109714400,0.78725,0.7886,0.7772,0.7831
1109800800,0.7831,0.7852,0.7802,0.783
1109887200,0.783,0.7936,0.7814,0.7908
1110146400,0.7897,0.7933,0.7886,0.7923
1110232800,0.7923,0.7989,0.7914,0.7984
1110319200,0.7984,0.7987,0.7908,0.7933
1110405600,0.7933,0.7983,0.7873,0.791
1110492000,0.791,0.7957,0.7876,0.7931
1110751200,0.7929,0.7943,0.7861,0.7874
1110837600,0.7874,0.794,0.7864,0.79085
1110924000,0.79085,0.7958,0.78835,0.7936
1111010400,0.7936,0.7951,0.7907,0.7936
1111096800,0.7936,0.7952,0.7888,0.795
1111356000,0.7939,0.7941,0.7843,0.7853
1111442400,0.7853,0.79275,0.78205,0.7829
1111528800,0.7829,0.783,0.7699,0.7725
1111615200,0.7725,0.774,0.77045,0.77275
1111701600,0.77275,0.77385,0.77095,0.7715
1111960800,0.7715,0.7723,0.76695,0.76895
1112047200,0.76895,0.775,0.7673,0.7704
1112133600,0.7704,0.7742,0.7695,0.7705
1112220000,0.7705,0.7777,0.7704,0.7728
1112306400,0.7728,0.7762,0.7684,0.7712
1112562000,0.7702,0.7708,0.7652,0.7677
1112648400,0.7677,0.7698,0.7628,0.76895
1112734800,0.76895,0.76915,0.76345,0.765
1112821200,0.765,0.7708,0.7626,0.7662
1112907600,0.7662,0.77365,0.7649,0.7717
1113166800,0.7716,0.7758,0.7704,0.7754
1113253200,0.7754,0.7774,0.7721,0.7754
1113339600,0.7754,0.7804,0.7743,0.7777
1113426000,0.7777,0.7785,0.7695,0.7704
1113512400,0.7704,0.7723,0.7652,0.7684
1113771600,0.7687,0.7697,0.7636,0.7679
1113858000,0.7679,0.7718,0.7648,0.7716
1113944400,0.7716,0.777,0.7708,0.7756
1114030800,0.7756,0.7773,0.7736,0.7759
1114117200,0.7759,0.7832,0.7743,0.7813
1114376400,0.7816,0.7821,0.7779,0.78065
1114462800,0.78065,0.78135,0.7765,0.77815
1114549200,0.77815,0.77865,0.77435,0.77695
1114635600,0.77695,0.78205,0.77495,0.779
1114722000,0.779,0.7841,0.77745,0.7813
1114981200,0.7804,0.7814,0.7786,0.77995
1115067600,0.77995,0.78015,0.77235,0.77425
1115154000,0.77425,0.7816,0.77265,0.7809
1115240400,0.7809,0.7828,0.77715,0.7809
1115326800,0.7809,0.7816,0.7745,0.7753
1115586000,0.7746,0.7753,0.7712,0.7724
1115672400,0.7724,0.7771,0.7722,0.7766
1115758800,0.7766,0.7792,0.7739,0.7745
1115845200,0.7745,0.775,0.7652,0.7659
1115931600,0.7659,0.7668,0.7603,0.7614
1116190800,0.7616,0.762,0.7536,0.756
1116277200,0.756,0.7586,0.7551,0.7555
1116363600,0.7555,0.7619,0.7531,0.7611
1116450000,0.7611,0.7611,0.7565,0.7581
1116536400,0.7581,0.7608,0.7536,0.7561
1116795600,0.7549,0.7602,0.7544,0.7593
1116882000,0.7593,0.764,0.7581,0.763
1116968400,0.763,0.7633,0.7585,0.7627
1117054800,0.7627,0.7648,0.758,0.7584
1117141200,0.7584,0.7635,0.7583,0.7631
1117400400,0.7612,0.7634,0.7604,0.76055
1117486800,0.76055,0.761,0.7541,0.7558
