time,open,high,low,close
1744837200,102.389,103.162,102.204,102.981
1744923600,102.956,102.99,102.575,102.686
1745182800,102.57,102.819,101.538,101.778
1745269200,101.762,102.55,101.26,102.526
1745355600,102.484,103.423,102.376,103.336
1745442000,103.327,103.342,102.561,102.958
1745528400,102.976,103.956,102.933,103.726
1745787600,103.571,103.818,102.602,102.709
1745874000,102.706,103.146,102.502,102.921
1745960400,102.834,103.84,102.782,103.685
1746046800,103.672,105.282,103.63,104.978
1746133200,104.972,105.411,104.264,104.928
1746392400,104.871,104.98,103.927,103.956
1746478800,103.998,104.22,103.252,103.385
1746565200,103.398,104.206,103.39,103.926
1746651600,103.885,104.964,103.83,104.81
1746738000,104.776,104.952,103.988,104.302
1746997200,105.143,106.262,104.568,106.251
1747083600,106.216,106.24,105.469,105.83
1747170000,105.814,105.955,104.489,104.947
1747256400,104.963,105.045,103.948,104.373
1747342800,104.326,104.504,103.886,104.262
1747602000,104.016,104.23,103.69,103.838
1747688400,103.878,104.214,103.393,103.844
1747774800,103.865,104.007,103.357,103.66
1747861200,103.668,104.128,103.132,103.951
1747947600,103.939,104.004,103.006,103.824
1748206800,103.803,104.305,103.734,103.991
1748293200,104.004,104.98,103.536,104.51
1748379600,104.52,104.983,104.208,104.702
1748466000,104.679,105.574,104.318,104.438
1748552400,104.436,105.046,103.872,104.864
1748811600,104.709,104.882,104.024,104.071
1748898000,104.084,105.035,103.836,104.96
1748984400,104.904,105.304,104.33,104.376
1749070800,104.39,105.349,104.262,105.02
1749157200,104.961,106.015,104.926,105.784
1749416400,105.809,105.864,105.284,105.564
1749502800,105.544,106.032,105.326,105.99
1749589200,105.999,106.312,105.584,105.774
1749675600,105.72,105.754,105.132,105.522
1749762000,105.496,106.15,104.799,106.12
1750021200,105.99,106.74,105.894,106.684
1750107600,106.676,106.892,106.089,106.224
1750194000,106.231,106.326,105.632,105.981
1750280400,105.975,106.336,105.611,106.193
1750366800,106.192,106.428,105.993,106.392
1750626000,106.62,107.348,106.232,106.414
1750712400,106.414,106.466,105.412,105.59
1750798800,105.655,106.238,105.368,105.833
1750885200,105.828,106.008,105.034,105.868
1750971600,105.804,106.162,105.242,105.734
1751230800,105.469,105.946,105.237,105.845
1751317200,105.84,105.864,104.852,105.092
1751403600,105.102,105.784,105.082,105.705
1751490000,105.714,107.03,105.598,106.69
1751576400,106.718,106.735,106.11,106.244
1751835600,106.146,107.036,105.95,106.759
1751922000,106.758,107.436,106.644,107.28
1752008400,107.31,107.544,106.823,106.912
1752094800,106.948,107.177,106.583,107.114
1752181200,107.07,107.854,106.578,107.692
1752440400,107.442,107.918,107.338,107.804
1752526800,107.816,108.612,107.712,108.473
1752613200,108.5,108.745,107.25,108.094
1752699600,108.073,108.402,107.944,108.077
1752786000,108.08,108.472,107.933,108.454
1753045200,107.883,108.324,107.43,107.7
1753131600,107.713,108.068,107.191,107.79
1753218000,107.782,108.236,107.394,107.756
1753304400,107.778,107.86,107.238,107.804
1753390800,107.759,108.162,107.552,107.768
1753650000,107.772,108.254,107.745,108.128
1753736400,108.12,108.218,107.691,107.818
1753822800,107.842,108.131,107.345,108.117
1753909200,108.1,108.934,107.481,108.81
1753995600,108.829,108.958,106.812,106.905
1754254800,106.918,107.434,106.59,106.751
1754341200,106.796,107.218,106.526,107.148
1754427600,107.162,107.414,106.99,107.236
1754514000,107.254,107.518,106.9,107.054
1754600400,107.022,107.694,106.857,107.416
1754859600,107.294,107.566,107.01,107.524
1754946000,107.508,107.761,107.2,107.356
1755032400,107.33,107.53,106.858,107.124
1755118800,107.145,107.146,106.246,106.952
1755205200,106.956,107.043,106.352,106.496
