time,open,high,low,close
1106690400,84.21,84.29,83.24,83.65
1106776800,83.65,83.91,82.99,82.99
1106863200,82.99,83.57,82.72,83.36
1107122400,83.36,83.79,83.24,83.63
1107208800,83.63,84.05,83.45,83.86
1107295200,83.86,84.3,83.59,83.65
1107381600,83.65,84.29,83.64,84.21
1107468000,84.21,84.32,82.93,83.3
1107727200,83.3,83.75,83.1,83.54
1107813600,83.54,84.97,83.41,84.9
1107900000,84.9,84.9,84.44,84.65
1107986400,84.65,85.32,84.47,85.19
1108072800,85.19,85.55,84.96,85.51
1108332000,85.51,85.51,84.82,85.22
1108418400,85.22,85.34,84.59,84.87
1108504800,84.87,85.37,84.75,85.21
1108591200,85.21,85.96,85.05,85.81
1108677600,85.81,86.08,85.46,85.8
1108936800,85.8,85.98,85.33,85.61
1109023200,85.61,85.61,84.49,84.91
1109109600,84.91,85.4,84.07,84.17
1109196000,84.17,85.09,83.92,85.07
1109282400,85.07,85.13,84.57,84.96
1109541600,84.96,85.03,84.47,84.8
1109628000,84.8,84.87,83.85,84.12
1109714400,84.12,84.61,84.03,84.56
1109800800,84.56,84.74,84.02,84.64
1109887200,84.64,85.15,84.525,85.09
1110146400,85.09,85.64,84.85,85.54
1110232800,85.54,86.39,85.31,86.3
1110319200,86.3,86.63,85.95,86.11
1110405600,86.11,86.8,86.11,86.41
1110492000,86.41,86.56,85.88,86.2
1110751200,86.2,87.12,86.11,86.85
1110837600,86.85,87.01,86.51,86.615
1110924000,86.615,86.72,86.39,86.46
1111010400,86.46,87.3,86.21,87.02
1111096800,87.02,87.31,86.81,87.09
1111356000,87.09,87.22,86.67,86.85
1111442400,86.85,87.61,86.6,87.38
1111528800,87.38,87.47,86.85,87.18
1111615200,87.18,87.72,87.05,87.59
1111701600,87.59,87.755,87.245,87.32
1111960800,87.32,88.07,87.28,87.97
1112047200,87.97,88.98,87.94,88.88
1112133600,88.88,88.97,88.11,88.39
1112220000,88.39,88.69,87.89,88.51
1112306400,88.51,88.81,88.16,88.57
1112562000,88.57,88.87,88.41,88.62
1112648400,88.62,89.03,88.5,88.82
1112734800,88.82,89.14,88.51,88.91
1112821200,88.91,88.99,88.58,88.83
1112907600,88.83,88.9,88.06,88.09
1113166800,88.09,88.41,87.16,87.45
1113253200,87.45,87.9,86.96,87.07
1113339600,87.07,87.15,86.66,86.69
1113426000,86.69,87.29,86.62,87.11
1113512400,87.11,87.36,86.37,86.48
1113771600,86.48,86.62,85.89,86.14
1113858000,86.14,86.35,85.72,86.28
1113944400,86.28,86.52,86.01,86.04
1114030800,86.04,86.785,86.01,86.32
1114117200,86.32,86.33,85.55,85.84
1114376400,85.84,85.84,85.19,85.42
1114462800,85.42,85.61,84.92,85.15
1114549200,85.15,85.45,84.54,84.76
1114635600,84.76,85.02,84.31,84.75
1114722000,84.75,84.79,83.12,83.25
1114981200,83.25,83.78,83.175,83.77
1115067600,83.77,83.97,83.54,83.94
1115154000,83.94,84.04,83.33,83.95
1115240400,83.95,84,83.625,83.87
1115326800,83.87,84.65,83.86,84.56
1115586000,84.56,85.4,84.56,85.33
1115672400,85.33,85.61,85.14,85.37
1115758800,85.37,85.39,84.52,84.73
1115845200,84.73,85.48,84.71,85.35
1115931600,85.35,85.56,84.79,84.8
1116190800,84.8,85.11,84.06,84.1
1116277200,84.1,85.01,83.95,85
1116363600,85,85.2,84.67,84.95
1116450000,84.95,85.51,84.76,85.49
1116536400,85.49,85.77,85.38,85.43
1116795600,85.43,85.71,85.36,85.55
1116882000,85.55,85.67,84.97,85.46
1116968400,85.46,85.59,85.03,85.19
1117054800,85.19,85.48,85.07,85.22
1117141200,85.22,86.22,85.14,86.05
1117400400,86.05,86.07,85.66,85.98
1117486800,85.98,86.58,85.61,86.52
1117573200,86.52,87.24,86.22,87.12
1117659600,87.12,87.17,86.4,86.72
1117746000,86.72,86.8,86.24,86.37
1118005200,86.37,86.45,85.715,85.92
1118091600,85.92,86.03,85.27,85.57
1118178000,85.57,85.96,85.46,85.77
1118264400,85.77,85.79,85.39,85.47
1118350800,85.47,87.04,85.32,86.81
1118610000,86.81,87.31,86.51,87.28
1118696400,87.28,87.44,86.89,87.4
1118782800,87.4,88.42,87.17,88.34
1118869200,88.34,88.39,87.83,88.13
1118955600,88.13,88.45,87.86,88.32
1119214800,88.32,88.97,88.2,88.44
1119301200,88.44,88.58,87.78,87.81
1119387600,87.81,88.35,87.77,88.18
1119474000,88.18,88.48,87.64,88.39
1119560400,88.39,89.05,88.27,88.39
1119819600,88.39,89.07,88.26,88.82
1119906000,88.82,89.42,88.72,89.28
1119992400,89.28,90.1,89.11,89.9
1120078800,89.9,90.64,89.52,90.54
1120165200,90.54,90.58,89.81,89.99
1120424400,89.99,90.02,89.43,89.98
1120510800,89.98,90.28,89.64,89.84
1120597200,89.84,90.84,89.71,90.66
1120683600,90.66,91.31,90.3,91.26
1120770000,91.26,92.14,91.13,92.03
1121029200,92.03,92.41,91.75,91.81
1121115600,91.81,92.31,91.5,92.08
1121202000,92.08,93.08,91.98,92.61
