time,open,high,low,close
1106690400,87.235,87.265,86.715,87.05
1106776800,87.05,87.645,86.74,86.75
1106863200,86.75,87.405,86.63,87.045
1107122400,87.205,87.325,86.795,87.225
1107208800,87.225,87.345,86.925,87.065
1107295200,87.065,87.37,86.805,86.825
1107381600,86.825,87.23,86.825,86.905
1107468000,86.905,86.985,85.805,85.935
1107727200,86.105,86.345,85.565,85.625
1107813600,85.625,86.715,85.545,86.625
1107900000,86.625,87.04,86.33,86.81
1107986400,86.81,87.705,86.73,87.595
1108072800,87.595,87.69,87.175,87.325
1108332000,87.185,87.78,86.965,87.72
1108418400,87.72,88.115,87.47,87.75
1108504800,87.75,88.865,87.73,88.775
1108591200,88.775,89.285,88.62,89.135
1108677600,89.135,89.475,88.805,89.305
1108936800,89.195,89.495,89.095,89.32
1109023200,89.32,89.97,88.81,89.82
1109109600,89.82,90.34,89.76,90.09
1109196000,90.09,90.515,89.995,90.135
1109282400,90.135,90.595,89.825,90.575
1109541600,90.605,90.605,89.675,89.96
1109628000,89.96,89.97,89.455,89.59
1109714400,89.59,89.785,89.055,89.285
1109800800,89.285,89.455,89.015,89.155
1109887200,89.155,89.645,89.105,89.595
1110146400,89.625,89.735,89.355,89.525
1110232800,89.525,90.215,89.355,90.105
1110319200,90.105,90.225,89.285,89.705
1110405600,89.705,90.385,89.645,90.24
1110492000,90.24,90.415,89.965,90.415
1110751200,90.275,90.83,90.255,90.415
1110837600,90.415,90.51,89.495,89.71
1110924000,89.71,90.49,89.54,90.37
1111010400,90.37,90.555,90.225,90.38
1111096800,90.38,90.58,89.705,90.015
1111356000,89.965,89.995,89.1,89.25
1111442400,89.25,89.44,88.5,88.91
1111528800,88.91,88.91,88.265,88.545
1111615200,88.545,89.185,88.445,88.485
1111701600,88.485,88.755,88.435,88.655
1111960800,88.665,89.07,88.53,89.04
1112047200,89.04,89.555,89.01,89.515
1112133600,89.515,89.965,89.31,89.615
1112220000,89.615,89.78,89.255,89.555
1112306400,89.555,89.905,89.145,89.435
1112562000,89.375,89.735,89.255,89.525
1112648400,89.525,89.895,89.47,89.765
1112734800,89.765,90.265,89.57,90.145
1112821200,90.145,90.375,89.945,90.005
1112907600,90.005,90.485,89.6,90.395
1113166800,90.405,90.57,90.145,90.365
1113253200,90.365,90.425,89.805,89.895
1113339600,89.895,89.92,89.14,89.45
1113426000,89.45,89.56,88.86,89.1
1113512400,89.1,89.855,89.01,89.835
1113771600,89.635,90.63,89.545,90.5
1113858000,90.5,90.565,90.2,90.41
1113944400,90.41,90.775,90.215,90.715
1114030800,90.715,91.115,90.265,90.395
1114117200,90.395,90.46,89.415,89.755
1114376400,89.195,89.46,88.745,89.01
1114462800,89.01,89.355,88.87,89.32
1114549200,89.32,89.5,88.725,88.79
1114635600,88.79,89.14,88.665,88.985
