time,open,high,low,close
1744837200,174.41,174.842,173.19,173.804
1744923600,173.74,174.186,173.674,174.095
1745182800,174.095,174.996,173.582,174.116
1745269200,174.106,174.228,172.604,172.884
1745355600,172.864,173.37,172.186,172.668
1745442000,172.644,172.861,172.24,172.458
1745528400,172.444,173.692,172.052,173.606
1745787600,173.486,173.714,172.618,173.226
1745874000,173.248,173.33,172.409,172.778
1745960400,172.77,173.672,172.488,173.078
1746046800,173.066,175.596,172.998,175.354
1746133200,175.386,176.18,174.584,175.438
1746392400,175.42,175.64,174.473,174.8
1746478800,174.803,174.954,172.882,173.236
1746565200,173.276,174.992,172.893,174.594
1746651600,174.529,175.638,174.257,175.416
1746738000,175.366,175.628,174.535,174.84
1746997200,175.151,175.947,174.752,175.586
1747083600,175.552,176.183,175.168,175.676
1747170000,175.553,175.8,174.068,174.24
1747256400,174.25,174.56,173.7,174.334
1747342800,174.188,174.431,173.65,173.906
1747602000,173.813,174.211,173.47,173.534
1747688400,173.56,174.456,173.131,174.445
1747774800,174.533,174.97,173.921,174.105
1747861200,174.072,174.748,173.219,173.744
1747947600,173.732,173.913,173.105,173.626
1748206800,173.604,174.162,173.462,173.99
1748293200,173.992,174.806,173.515,174.47
1748379600,174.466,175.368,173.996,175.1
1748466000,175.096,175.38,174.792,175.213
1748552400,175.243,175.736,174.365,175.092
1748811600,175.218,175.218,174.34,174.652
1748898000,174.57,175.05,174.138,174.728
1748984400,174.748,175.238,174.378,174.412
1749070800,174.448,175.28,174.34,175.142
1749157200,175.15,176.324,174.759,176.168
1749416400,176.225,176.264,175.584,175.98
1749502800,175.916,176.338,175.774,176.112
1749589200,176.156,176.852,176.038,176.237
1749675600,176.202,177.114,175.88,177.102
1749762000,177.096,177.725,176.898,177.668
1750021200,177.356,178.256,177.272,177.863
1750107600,177.845,178.378,177.62,177.922
1750194000,177.904,178.305,176.846,177.272
1750280400,177.27,178.247,176.758,178.104
1750366800,178.1,178.724,177.764,178.56
1750626000,179.483,180.892,178.683,179.842
1750712400,179.83,180.082,178.64,179.968
1750798800,179.922,180.907,179.736,180.484
1750885200,180.446,180.698,179.608,180.429
1750971600,180.503,181.452,180.135,181.084
1751230800,180.749,181.836,180.206,181.602
1751317200,181.632,181.68,180.868,181.248
1751403600,181.326,181.936,181.224,181.39
1751490000,181.368,182.461,181.228,182.22
1751576400,182.209,182.403,181.778,181.93
1751835600,181.808,183.138,181.685,182.958
1751922000,182.968,184.416,182.878,184.18
1752008400,184.173,184.576,183.915,184.217
1752094800,184.22,184.409,183.426,183.498
1752181200,183.505,185.146,183.379,185.07
1752440400,184.597,185.232,184.5,185.139
1752526800,185.134,186.04,185.078,185.698
1752613200,185.857,186.022,184.329,184.626
1752699600,184.632,185.191,184.363,184.778
1752786000,184.71,185.802,184.664,185.674
1753045200,184.697,185.514,184.358,184.685
1753131600,184.712,185.408,183.888,185.122
1753218000,185.015,185.44,184.144,184.856
1753304400,184.883,184.987,184.208,184.802
1753390800,184.798,185.808,184.557,185.762
1753650000,185.625,186.042,184.56,184.848
1753736400,184.836,185.026,183.784,184.17
1753822800,184.176,184.302,183.334,183.44
1753909200,183.447,185.732,182.667,185.596
1753995600,185.536,185.63,182.946,183.343
1754254800,183.37,183.658,181.786,182.029
1754341200,182.018,182.868,181.598,182.729
1754427600,182.777,183.04,182.347,182.786
1754514000,182.821,183.268,182.122,182.476
1754600400,182.453,183.2,182.162,182.818
1754859600,182.524,182.995,181.985,182.339
1754946000,182.357,183.395,182.267,183.338
1755032400,183.319,183.638,182.907,182.94
1755118800,183.105,183.183,181.476,182.96
1755205200,182.964,183.055,182.2,182.412
1755464400,182.663,183.332,182.363,183.104
1755550800,183.151,183.554,182.583,182.816
1755637200,182.808,183.358,182.088,183.192
1755723600,183.302,183.548,182.88,183.487
1755810000,183.601,184.034,183.028,183.324
1756069200,183.288,183.882,182.965,183.368
1756155600,183.33,183.712,182.84,183.536
1756242000,183.54,184.078,183.2,183.738
1756328400,183.746,183.957,183.222,183.356
1756414800,183.355,183.858,182.892,183.672
1756674000,183.936,184.13,183.636,183.846
1756760400,183.87,185.136,183.734,184.368
1756846800,184.37,184.916,184.014,184.176
1756933200,184.225,184.49,183.934,184.288
1757019600,184.306,184.76,184.038,184.715
1757278800,185.605,186.228,185.201,185.964
1757365200,185.81,185.998,184.533,184.866
1757451600,184.859,185.062,184.341,184.497
1757538000,184.485,185.249,184.418,185.047
1757624400,185.043,185.574,184.82,185.378
1757883600,185.381,185.586,185.049,185.504
1757970000,185.426,186.394,185.156,186.356
1758056400,186.262,186.374,185.634,186.339
1758142800,186.364,187.064,186.137,186.734
1758229200,186.726,186.897,185.772,186.016
1758488400,185.966,186.533,185.893,186.462
