time,open,high,low,close
1106690400,1.69575,1.6963,1.68415,1.68685
1106776800,1.68685,1.69005,1.67725,1.67835
1106863200,1.67835,1.68805,1.67395,1.6822
1107122400,1.6844,1.68525,1.67785,1.68095
1107208800,1.68095,1.69355,1.67995,1.68555
1107295200,1.68555,1.6901,1.67335,1.67395
1107381600,1.67395,1.68835,1.67355,1.68285
1107468000,1.68285,1.68805,1.66935,1.6705
1107727200,1.673,1.6772,1.65505,1.66225
1107813600,1.66225,1.67315,1.66115,1.66515
1107900000,1.66515,1.67185,1.65905,1.66155
1107986400,1.66155,1.66425,1.64265,1.64365
1108072800,1.64365,1.64855,1.6359,1.6369
1108332000,1.6386,1.65125,1.6361,1.64695
1108418400,1.64695,1.65805,1.64585,1.6539
1108504800,1.6539,1.66695,1.65275,1.661
1108591200,1.661,1.6634,1.65495,1.65895
1108677600,1.65895,1.66885,1.6549,1.6582
1108936800,1.6539,1.6602,1.65335,1.65445
1109023200,1.65445,1.67,1.6534,1.6684
1109109600,1.6684,1.68185,1.66725,1.68105
1109196000,1.68105,1.68565,1.67565,1.67775
1109282400,1.67775,1.68655,1.67745,1.6843
1109541600,1.6828,1.6842,1.66975,1.67075
1109628000,1.67075,1.68355,1.66775,1.67525
1109714400,1.67525,1.68935,1.67195,1.67845
1109800800,1.67845,1.68325,1.67245,1.67435
1109887200,1.67435,1.67795,1.66675,1.6739
1110146400,1.6764,1.6773,1.66465,1.66785
1110232800,1.66785,1.67425,1.66285,1.67125
1110319200,1.67125,1.69215,1.67115,1.68815
1110405600,1.68815,1.70385,1.68165,1.69645
1110492000,1.69645,1.70465,1.69225,1.6971
1110751200,1.6979,1.70215,1.69495,1.69795
1110837600,1.69795,1.69975,1.68225,1.68245
1110924000,1.68245,1.69335,1.68225,1.69065
1111010400,1.69065,1.69315,1.68515,1.68585
1111096800,1.68585,1.68965,1.67405,1.6763
1111356000,1.677,1.68175,1.66935,1.67555
1111442400,1.67555,1.68065,1.66505,1.67165
1111528800,1.67165,1.68565,1.67095,1.68105
1111615200,1.68105,1.68465,1.67435,1.67445
1111701600,1.67445,1.6798,1.67345,1.6796
1111960800,1.6786,1.6798,1.67065,1.67745
1112047200,1.67745,1.68025,1.66955,1.67725
1112133600,1.67725,1.68125,1.6736,1.6761
1112220000,1.6761,1.68205,1.67155,1.6774
1112306400,1.6774,1.68415,1.67125,1.6745
1112562000,1.674,1.68015,1.67165,1.6734
1112648400,1.6734,1.6803,1.6712,1.6734
1112734800,1.6734,1.68425,1.6728,1.68265
1112821200,1.68265,1.68695,1.67605,1.67805
1112907600,1.67805,1.67845,1.66765,1.6757
1113166800,1.676,1.6774,1.67005,1.673
1113253200,1.673,1.67635,1.6638,1.6663
1113339600,1.6663,1.6685,1.656,1.6605
1113426000,1.6605,1.66545,1.65605,1.6632
1113512400,1.6632,1.6829,1.6625,1.6814
1113771600,1.6799,1.70355,1.678,1.69585
1113858000,1.69585,1.70025,1.69,1.6927
1113944400,1.6927,1.6957,1.68285,1.68735
1114030800,1.68735,1.69225,1.68115,1.68155
1114117200,1.68155,1.6846,1.66905,1.6724
1114376400,1.6716,1.6724,1.6616,1.6662
1114462800,1.6662,1.67085,1.66265,1.66905
1114549200,1.66905,1.67435,1.66245,1.66455
1114635600,1.66455,1.66825,1.65215,1.65525
1114722000,1.65525,1.66205,1.64505,1.6477
1114981200,1.6483,1.65065,1.64565,1.64955
1115067600,1.64955,1.66895,1.64755,1.66255
1115154000,1.66255,1.66955,1.65625,1.65795
1115240400,1.65795,1.6645,1.65545,1.65955
1115326800,1.65955,1.66545,1.65135,1.6535
1115586000,1.6547,1.66435,1.6516,1.66275
1115672400,1.66275,1.66535,1.65535,1.65855
1115758800,1.65855,1.66105,1.64815,1.65485
1115845200,1.65485,1.66055,1.65165,1.65775
1115931600,1.65775,1.66225,1.65265,1.6592
1116190800,1.6579,1.67395,1.6564,1.67195
1116277200,1.67195,1.67255,1.66525,1.66885
1116363600,1.66885,1.67255,1.66365,1.66575
1116450000,1.66575,1.6711,1.66275,1.66775
1116536400,1.66775,1.67055,1.6605,1.6611
1116795600,1.6626,1.6635,1.6554,1.6563
1116882000,1.6563,1.6575,1.6474,1.6493
1116968400,1.6493,1.65665,1.649,1.65235
1117054800,1.65235,1.65375,1.64485,1.64995
1117141200,1.64995,1.6508,1.64565,1.6492
1117400400,1.6454,1.6476,1.63705,1.64045
1117486800,1.64045,1.6446,1.62615,1.62785
1117573200,1.62785,1.63745,1.62455,1.62505
1117659600,1.62505,1.63435,1.62395,1.62595
1117746000,1.62595,1.62785,1.6149,1.6174
1118005200,1.6179,1.6201,1.60185,1.60195
1118091600,1.60195,1.6044,1.59445,1.59785
1118178000,1.59785,1.6054,1.59485,1.59955
1118264400,1.59955,1.60065,1.58955,1.5927
1118350800,1.5927,1.5998,1.58805,1.5919
1118610000,1.5886,1.5924,1.58025,1.58975
1118696400,1.58975,1.5916,1.57205,1.57655
1118782800,1.57655,1.57925,1.57175,1.574
1118869200,1.574,1.5775,1.56315,1.56595
1118955600,1.56595,1.5801,1.56315,1.5793
1119214800,1.57265,1.5753,1.56245,1.5671
1119301200,1.5671,1.56805,1.55635,1.56035
1119387600,1.56035,1.56755,1.55395,1.55745
1119474000,1.55745,1.56605,1.55365,1.56075
