time,open,high,low,close
1744837200,1.57948,1.58078,1.56956,1.57202
1744923600,1.57198,1.57998,1.57198,1.57777
1745182800,1.57844,1.59614,1.57652,1.59328
1745269200,1.59384,1.59466,1.57694,1.57734
1745355600,1.57796,1.57941,1.56676,1.57074
1745442000,1.57114,1.57992,1.5708,1.57783
1745528400,1.57756,1.57882,1.57008,1.57406
1745787600,1.57606,1.58191,1.57216,1.57954
1745874000,1.57954,1.58104,1.57372,1.57496
1745960400,1.57538,1.57575,1.56042,1.56298
1746046800,1.563,1.56594,1.55764,1.564
1746133200,1.56382,1.56913,1.55954,1.56148
1746392400,1.55982,1.56932,1.55958,1.56418
1746478800,1.56371,1.56742,1.56059,1.56628
1746565200,1.56644,1.56858,1.5599,1.56394
1746651600,1.56448,1.57114,1.56132,1.56324
1746738000,1.56285,1.57261,1.56086,1.56786
1746997200,1.5573,1.56648,1.54838,1.54946
1747083600,1.55026,1.56165,1.54958,1.5587
1747170000,1.5592,1.56752,1.5572,1.56226
1747256400,1.56276,1.56939,1.56016,1.56131
1747342800,1.56234,1.56476,1.55673,1.55958
1747602000,1.56194,1.57429,1.56,1.56826
1747688400,1.5673,1.57155,1.56388,1.57014
1747774800,1.57013,1.57607,1.56677,1.57036
1747861200,1.56969,1.5714,1.56094,1.56282
1747947600,1.56291,1.5706,1.5578,1.56048
1748206800,1.56075,1.56464,1.55912,1.5641
1748293200,1.56398,1.56763,1.55938,1.56474
1748379600,1.56434,1.56724,1.55924,1.56241
1748466000,1.56237,1.57102,1.55365,1.56928
1748552400,1.56986,1.57228,1.55761,1.55892
1748811600,1.55924,1.5693,1.55804,1.56912
1748898000,1.5688,1.57084,1.55954,1.56003
1748984400,1.56036,1.56414,1.55898,1.56179
1749070800,1.56121,1.56828,1.55884,1.56474
1749157200,1.56518,1.56564,1.55738,1.56066
1749416400,1.5609,1.5646,1.55872,1.56452
1749502800,1.56452,1.56677,1.56098,1.56204
1749589200,1.56169,1.57122,1.56008,1.57056
1749675600,1.57038,1.58446,1.57019,1.57552
1749762000,1.57574,1.5789,1.56707,1.569
1750021200,1.56729,1.57335,1.56627,1.56895
1750107600,1.56904,1.57159,1.56453,1.57034
1750194000,1.57036,1.57769,1.56906,1.57226
1750280400,1.57206,1.57648,1.57028,1.57493
1750366800,1.57591,1.58502,1.5745,1.58222
1750626000,1.57647,1.59152,1.57548,1.59026
1750712400,1.5902,1.59515,1.58753,1.5932
1750798800,1.59261,1.6009,1.59127,1.60023
1750885200,1.59993,1.6065,1.5938,1.59591
1750971600,1.59685,1.60924,1.5938,1.6032
1751230800,1.60578,1.60634,1.59988,1.60405
1751317200,1.6037,1.611,1.60151,1.61096
1751403600,1.6104,1.6109,1.60214,1.60349
1751490000,1.60346,1.60499,1.59292,1.59707
1751576400,1.59706,1.60356,1.59615,1.60184
1751835600,1.60396,1.60534,1.59788,1.60196
1751922000,1.60199,1.60496,1.599,1.6019
1752008400,1.60169,1.60488,1.60102,1.60415
1752094800,1.60401,1.60718,1.59708,1.59754
1752181200,1.59836,1.60318,1.59652,1.6004
1752440400,1.59902,1.6009,1.59631,1.59866
1752526800,1.59814,1.60134,1.59036,1.59208
1752613200,1.59194,1.60388,1.58973,1.59264
1752699600,1.59252,1.59538,1.58879,1.59484
1752786000,1.59457,1.59958,1.59431,1.59546
1753045200,1.59515,1.60296,1.59473,1.60024
1753131600,1.59974,1.60136,1.5973,1.59914
1753218000,1.59922,1.60184,1.59198,1.60063
1753304400,1.60008,1.60594,1.59758,1.60216
1753390800,1.60145,1.61037,1.60145,1.60884
1753650000,1.6115,1.61249,1.59072,1.5921
1753736400,1.59223,1.59324,1.58528,1.58988
1753822800,1.59008,1.59248,1.57672,1.57744
1753909200,1.57734,1.58494,1.57692,1.58146
1753995600,1.5812,1.5985,1.58044,1.59772
1754254800,1.59693,1.59866,1.59176,1.59464
1754341200,1.59423,1.59634,1.5899,1.59403
1754427600,1.59431,1.60315,1.59308,1.6022
1754514000,1.60164,1.60538,1.59798,1.60335
1754600400,1.60374,1.60474,1.59692,1.60137
