time,open,high,low,close
1744837200,0.92762,0.93386,0.92625,0.93126
1744923600,0.9313,0.93224,0.92983,0.93044
1745182800,0.93044,0.93294,0.92758,0.93142
1745269200,0.93168,0.93623,0.93027,0.93538
1745355600,0.93456,0.94106,0.9335,0.94002
1745442000,0.94005,0.94266,0.9384,0.9418
1745528400,0.9414,0.94471,0.94017,0.94052
1745787600,0.94237,0.94376,0.9362,0.93656
1745874000,0.93671,0.94072,0.93644,0.93812
1745960400,0.9386,0.93949,0.93298,0.93618
1746046800,0.9353,0.93955,0.93447,0.9364
1746133200,0.93719,0.93836,0.93118,0.93411
1746392400,0.9357,0.93702,0.93005,0.93033
1746478800,0.931,0.93594,0.92984,0.93463
1746565200,0.93506,0.93883,0.93016,0.93098
1746651600,0.93104,0.93478,0.93062,0.93394
1746738000,0.93312,0.93608,0.93276,0.93532
1746997200,0.93458,0.93944,0.93412,0.93755
1747083600,0.9377,0.9409,0.93316,0.93897
1747170000,0.93948,0.94214,0.93746,0.94104
1747256400,0.9413,0.94148,0.93395,0.93483
1747342800,0.93538,0.93824,0.93338,0.9352
1747602000,0.93654,0.93967,0.93358,0.93834
1747688400,0.93796,0.93862,0.9347,0.93471
1747774800,0.93446,0.93637,0.9314,0.93498
1747861200,0.93514,0.93554,0.933,0.93504
1747947600,0.9355,0.93806,0.92934,0.93316
1748206800,0.93292,0.93678,0.9326,0.93479
1748293200,0.93488,0.93913,0.93366,0.93718
1748379600,0.93711,0.93844,0.93356,0.93406
1748466000,0.93406,0.93726,0.93358,0.93545
1748552400,0.93554,0.93591,0.93209,0.93368
1748811600,0.93399,0.93545,0.93261,0.93495
1748898000,0.93492,0.93818,0.93336,0.93702
1748984400,0.93728,0.93804,0.93383,0.93458
1749070800,0.9351,0.93996,0.93408,0.93816
1749157200,0.93856,0.93974,0.93643,0.93704
1749416400,0.93713,0.93869,0.93608,0.93846
1749502800,0.93845,0.9404,0.93636,0.94004
1749589200,0.9399,0.94293,0.93881,0.9425
1749675600,0.9422,0.94289,0.93867,0.93875
1749762000,0.9399,0.94016,0.93078,0.93718
1750021200,0.93692,0.94194,0.9357,0.94092
1750107600,0.94135,0.94188,0.93602,0.93756
1750194000,0.93698,0.94231,0.93698,0.93998
1750280400,0.9401,0.94189,0.93614,0.93901
1750366800,0.93885,0.94277,0.93826,0.94261
1750626000,0.93681,0.94105,0.93681,0.94095
1750712400,0.94068,0.94282,0.93401,0.93474
1750798800,0.93544,0.9385,0.93332,0.93839
1750885200,0.93806,0.9402,0.9356,0.93652
1750971600,0.93615,0.93809,0.93417,0.93614
1751230800,0.93711,0.93766,0.93356,0.93492
1751317200,0.93456,0.93516,0.93065,0.93418
1751403600,0.93393,0.93455,0.93144,0.93444
1751490000,0.93454,0.93646,0.93224,0.9351
1751576400,0.93564,0.93636,0.93352,0.93526
1751835600,0.93562,0.93656,0.93353,0.93474
1751922000,0.93456,0.9367,0.93254,0.9331
1752008400,0.93362,0.93412,0.93043,0.93098
1752094800,0.931,0.93281,0.93015,0.9325
1752181200,0.93227,0.93278,0.93023,0.93122
1752440400,0.93085,0.93214,0.92966,0.93094
1752526800,0.93075,0.93118,0.92938,0.92996
1752613200,0.92946,0.93345,0.92946,0.9324
1752699600,0.93218,0.93356,0.93149,0.93292
1752786000,0.93298,0.93404,0.93108,0.93195
1753045200,0.93062,0.93344,0.93061,0.93316
1753131600,0.93336,0.93383,0.93079,0.93122
1753218000,0.93133,0.93436,0.92936,0.93298
