time,open,high,low,close
1744837200,0.86092,0.8617,0.85559,0.85645
1744923600,0.85647,0.85832,0.85575,0.85697
1745182800,0.85867,0.86242,0.85777,0.86034
1745269200,0.86086,0.86114,0.85638,0.85672
1745355600,0.85651,0.85836,0.85309,0.85356
1745442000,0.854,0.85654,0.85334,0.85391
1745528400,0.85363,0.85478,0.85111,0.85363
1745787600,0.8541,0.85448,0.84936,0.84959
1745874000,0.84974,0.85122,0.8487,0.84916
1745960400,0.84913,0.85385,0.84823,0.8499
1746046800,0.85004,0.85107,0.84801,0.85034
1746133200,0.8498,0.8541,0.84906,0.85154
1746392400,0.85206,0.85332,0.85095,0.85104
1746478800,0.8512,0.85202,0.8462,0.85052
1746565200,0.85052,0.85222,0.84827,0.85025
1746651600,0.85031,0.85233,0.84586,0.84772
1746738000,0.84708,0.84924,0.8455,0.84563
1746997200,0.84426,0.8458,0.84054,0.8415
1747083600,0.84214,0.84272,0.84026,0.84072
1747170000,0.84108,0.84363,0.84046,0.84248
1747256400,0.84311,0.8441,0.84034,0.84076
1747342800,0.84157,0.84325,0.83938,0.84068
1747602000,0.84144,0.8427,0.84029,0.84143
1747688400,0.84162,0.84294,0.84053,0.84248
1747774800,0.8423,0.84594,0.84228,0.84436
1747861200,0.84386,0.84494,0.83976,0.84054
1747947600,0.8404,0.84189,0.83801,0.83938
1748206800,0.8403,0.8409,0.83878,0.83949
1748293200,0.83906,0.83986,0.83728,0.83862
1748379600,0.8385,0.84022,0.83804,0.83828
1748466000,0.83863,0.84315,0.83558,0.84233
1748552400,0.8419,0.84369,0.8403,0.8434
1748811600,0.84277,0.84499,0.84234,0.84486
1748898000,0.84467,0.84501,0.84097,0.84118
1748984400,0.84161,0.84314,0.84074,0.84242
1749070800,0.84212,0.84478,0.8411,0.84336
1749157200,0.84374,0.84425,0.84172,0.84242
1749416400,0.84265,0.84288,0.84144,0.84274
1749502800,0.84233,0.84686,0.84178,0.84642
1749589200,0.84565,0.84887,0.84565,0.84806
1749675600,0.84743,0.85467,0.84742,0.85098
1749762000,0.85092,0.85313,0.84934,0.85108
1750021200,0.85003,0.85319,0.85003,0.85146
1750107600,0.85143,0.85558,0.8512,0.85488
1750194000,0.85468,0.85648,0.85414,0.8554
1750280400,0.85498,0.85602,0.85314,0.85376
1750366800,0.85417,0.85688,0.8526,0.85664
1750626000,0.85473,0.85752,0.85462,0.856
1750712400,0.85536,0.85668,0.85198,0.85264
1750798800,0.85345,0.85385,0.85126,0.85326
1750885200,0.8527,0.85396,0.85168,0.85238
1750971600,0.85154,0.8553,0.85082,0.85422
1751230800,0.85544,0.85866,0.85396,0.85828
1751317200,0.85854,0.85974,0.85573,0.85882
1751403600,0.85894,0.86706,0.85776,0.86536
1751490000,0.86513,0.86545,0.86064,0.8611
1751576400,0.86096,0.86378,0.86082,0.86351
1751835600,0.86332,0.86436,0.85968,0.86083
1751922000,0.86112,0.86433,0.86002,0.86267
1752008400,0.86334,0.86337,0.86059,0.8628
1752094800,0.86221,0.86342,0.86102,0.8616
1752181200,0.86158,0.86672,0.86093,0.86652
1752440400,0.86458,0.86932,0.86454,0.86884
1752526800,0.86833,0.86965,0.86606,0.86682
1752613200,0.86659,0.86984,0.86476,0.86738
1752699600,0.86706,0.86798,0.86375,0.86429
1752786000,0.86432,0.86737,0.86412,0.86694
1753045200,0.86609,0.8674,0.86502,0.86679
1753131600,0.86654,0.86939,0.8664,0.8685
1753218000,0.8685,0.86873,0.86468,0.86684
1753304400,0.86667,0.87104,0.86664,0.86984
1753390800,0.86946,0.87434,0.8691,0.87387
1753650000,0.87568,0.87572,0.86657,0.86776
1753736400,0.86763,0.86854,0.86418,0.86486
1753822800,0.86523,0.86591,0.86122,0.86142
1753909200,0.86132,0.86596,0.8611,0.86436
1753995600,0.86464,0.87304,0.86392,0.87258
1754254800,0.87257,0.87306,0.86868,0.87104
1754341200,0.87025,0.87132,0.86796,0.87045
1754427600,0.87066,0.8732,0.86966,0.87286
1754514000,0.87268,0.87439,0.86636,0.86764
1754600400,0.86779,0.86828,0.86532,0.8659
1754859600,0.86619,0.86725,0.86419,0.86487
1754946000,0.86468,0.86546,0.8618,0.86461
1755032400,0.86409,0.86538,0.86185,0.86202
1755118800,0.86244,0.8625,0.85966,0.86094
1755205200,0.8608,0.86379,0.86058,0.86352
1755464400,0.86413,0.86422,0.86188,0.86369
1755550800,0.86319,0.86482,0.863,0.86312
1755637200,0.86313,0.86673,0.86085,0.86583
1755723600,0.86562,0.86662,0.8646,0.86529
1755810000,0.86552,0.86722,0.86398,0.8666
1756069200,0.86716,0.86732,0.86278,0.86367
1756155600,0.86318,0.86496,0.86232,0.8637
1756242000,0.86391,0.86412,0.86098,0.8622
1756328400,0.86237,0.86487,0.86152,0.86457
1756414800,0.86453,0.8674,0.86356,0.86536
1756674000,0.86654,0.86703,0.8638,0.8646
1756760400,0.86444,0.8713,0.86418,0.8691
1756846800,0.86962,0.87116,0.86722,0.86736
1756933200,0.86752,0.8681,0.86595,0.86707
1757019600,0.86718,0.86874,0.8665,0.86746
1757278800,0.86748,0.86843,0.86628,0.86836
1757365200,0.86818,0.86844,0.86552,0.86571
1757451600,0.86577,0.86598,0.86403,0.86426
1757538000,0.86422,0.86627,0.86352,0.86452
1757624400,0.86442,0.86648,0.86402,0.8655
1757883600,0.86523,0.86601,0.86326,0.86496
1757970000,0.8651,0.86968,0.86451,0.8696
1758056400,0.86882,0.86972,0.86666,0.86704
1758142800,0.86687,0.8699,0.86644,0.8696
1758229200,0.86959,0.87288,0.86901,0.872
1758488400,0.8715,0.87346,0.87088,0.8734
1758574800,0.87314,0.87456,0.87173,0.87352
1758661200,0.87346,0.87452,0.87228,0.87282
1758747600,0.87282,0.87512,0.87229,0.87424
1758834000,0.87449,0.87487,0.8721,0.87312
1759093200,0.87318,0.87448,0.87154,0.87312
1759179600,0.87328,0.87454,0.8723,0.87274
1759266000,0.87292,0.8742,0.86896,0.87042
1759352400,0.87042,0.87296,0.87009,0.87178
1759438800,0.8721,0.87298,0.87072,0.8712
1759698000,0.87247,0.87284,0.86736,0.86868
