time,open,high,low,close
1106690400,0.69601,0.69616,0.69241,0.69451
1106776800,0.69451,0.69593,0.69003,0.69043
1106863200,0.69043,0.69288,0.68945,0.6906
1107122400,0.69065,0.69393,0.68983,0.6925
1107208800,0.6925,0.6941,0.69155,0.6925
1107295200,0.6925,0.69465,0.69057,0.69067
1107381600,0.69067,0.69172,0.68841,0.68941
1107468000,0.68941,0.69031,0.68488,0.686
1107727200,0.68625,0.68813,0.68485,0.68683
1107813600,0.68683,0.68922,0.68623,0.68798
1107900000,0.68798,0.68943,0.68553,0.6892
1107986400,0.6892,0.6902,0.687,0.6889
1108072800,0.6889,0.69077,0.6879,0.6885
1108332000,0.68885,0.69005,0.686,0.6874
1108418400,0.6874,0.68902,0.68617,0.6866
1108504800,0.6866,0.6929,0.6865,0.6911
1108591200,0.6911,0.69211,0.68953,0.68963
1108677600,0.68963,0.69086,0.68819,0.6901
1108936800,0.68915,0.69035,0.68778,0.68881
1109023200,0.68881,0.69424,0.68831,0.69363
1109109600,0.69363,0.6948,0.69155,0.69243
1109196000,0.69243,0.69637,0.69033,0.69103
1109282400,0.69103,0.69199,0.68848,0.68997
1109541600,0.69042,0.69197,0.68822,0.6887
1109628000,0.6887,0.6889,0.68619,0.68639
1109714400,0.68639,0.68745,0.68539,0.68675
1109800800,0.68675,0.68905,0.68625,0.68755
1109887200,0.68755,0.68876,0.686505,0.68846
1110146400,0.68815,0.69065,0.6876,0.69033
1110232800,0.69033,0.6923,0.68863,0.6917
1110319200,0.6917,0.69645,0.6915,0.69555
1110405600,0.69555,0.69932,0.69509,0.69792
1110492000,0.69792,0.69972,0.69662,0.69882
1110751200,0.69905,0.69972,0.69722,0.6986
1110837600,0.6986,0.6989,0.69473,0.69553
1110924000,0.69553,0.69713,0.69423,0.69653
1111010400,0.69653,0.69713,0.69443,0.69483
1111096800,0.69483,0.69583,0.693,0.6933
1111356000,0.69325,0.69528,0.6914,0.69378
1111442400,0.69378,0.6958,0.69288,0.6938
1111528800,0.6938,0.6963,0.6924,0.6948
1111615200,0.6948,0.6961,0.6919,0.6923
1111701600,0.6923,0.69345,0.6919,0.69275
1111960800,0.69305,0.69389,0.68965,0.69093
1112047200,0.69093,0.69269,0.68852,0.68952
1112133600,0.68952,0.69059,0.68732,0.68752
1112220000,0.68752,0.68958,0.68518,0.68568
1112306400,0.68568,0.68879,0.68509,0.6861
1112562000,0.68555,0.6879,0.68463,0.68505
1112648400,0.68505,0.68545,0.68255,0.68405
1112734800,0.68405,0.68572,0.68322,0.68442
1112821200,0.68442,0.68857,0.68422,0.6876
1112907600,0.6876,0.6877,0.6851,0.6859
1113166800,0.68605,0.687,0.6851,0.6861
1113253200,0.6861,0.6868,0.68262,0.68302
1113339600,0.68302,0.68402,0.68072,0.6817
1113426000,0.6817,0.68262,0.68033,0.68103
1113512400,0.68103,0.6834,0.6802,0.6826
1113771600,0.68215,0.68469,0.68145,0.68409
1113858000,0.68409,0.68489,0.67958,0.68097
1113944400,0.68097,0.6823,0.68012,0.6818
1114030800,0.6818,0.68577,0.6815,0.68357
1114117200,0.68357,0.68457,0.68172,0.6824
1114376400,0.68215,0.68235,0.6783,0.6806
1114462800,0.6806,0.68181,0.6793,0.6813
1114549200,0.6813,0.6819,0.67845,0.67845
1114635600,0.67845,0.67962,0.67552,0.67652
1114722000,0.67652,0.6783,0.6741,0.6744
1114981200,0.67435,0.67905,0.6738,0.6789
1115067600,0.6789,0.68208,0.6777,0.6801
1115154000,0.6801,0.6825,0.6799,0.68052
1115240400,0.68052,0.68252,0.6789,0.6796
1115326800,0.6796,0.68317,0.67753,0.6779
1115586000,0.67795,0.68207,0.6777,0.68167
1115672400,0.68167,0.68439,0.68157,0.68407
1115758800,0.68407,0.68459,0.68152,0.6843
1115845200,0.6843,0.68498,0.68045,0.6806
1115931600,0.6806,0.6831,0.6795,0.6827
1116190800,0.68245,0.68839,0.6813,0.68767
1116277200,0.68767,0.68807,0.68637,0.68748
1116363600,0.68748,0.6896,0.68668,0.6891
1116450000,0.6891,0.6899,0.68689,0.68835
1116536400,0.68835,0.689,0.6868,0.6874
1116795600,0.6872,0.68822,0.68582,0.68722
1116882000,0.68722,0.6889,0.68648,0.6886
1116968400,0.6886,0.6889,0.68715,0.688
1117054800,0.688,0.6888,0.6863,0.6875
1117141200,0.6875,0.6905,0.6865,0.6899
1117400400,0.6868,0.6883,0.6836,0.6841
1117486800,0.6841,0.6848,0.67648,0.67698
1117573200,0.67698,0.67769,0.6724,0.6731
1117659600,0.6731,0.67655,0.6729,0.6757
1117746000,0.6757,0.677005,0.6732,0.6739
1118005200,0.6743,0.6754,0.67192,0.67192
1118091600,0.67192,0.67312,0.66855,0.66943
1118178000,0.66943,0.67183,0.66893,0.67105
1118264400,0.67105,0.672,0.66935,0.6717
1118350800,0.6717,0.67215,0.66764,0.6686
1118610000,0.6683,0.67059,0.6672,0.67019
1118696400,0.67019,0.67265,0.6656,0.6662
1118782800,0.6662,0.6674,0.6636,0.6647
1118869200,0.6647,0.6656,0.66299,0.66439
1118955600,0.66439,0.6715,0.66349,0.671
1119214800,0.66925,0.6705,0.66516,0.66615
1119301200,0.66615,0.66695,0.66393,0.66593
1119387600,0.66593,0.66883,0.6646,0.66572
1119474000,0.66572,0.66642,0.6611,0.66317
1119560400,0.66317,0.66422,0.66087,0.6627
1119819600,0.66305,0.66633,0.66305,0.6651
1119906000,0.6651,0.6664,0.66412,0.66422
1119992400,0.66422,0.66995,0.662655,0.6681
