time,open,high,low,close
1744837200,161.682,162.641,161.246,161.868
1744923600,161.819,162.164,161.716,161.983
1745182800,161.911,162.676,161.582,162.159
1745269200,162.182,162.322,160.984,161.714
1745355600,161.719,162.473,161.176,162.318
1745442000,162.27,162.499,161.84,162.438
1745528400,162.425,163.762,162.128,163.278
1745787600,163.206,163.368,162.206,162.224
1745874000,162.222,162.545,161.888,162.07
1745960400,162.008,162.656,161.708,162.015
1746046800,162.028,164.459,161.812,164.193
1746133200,164.19,164.64,163.456,163.848
1746392400,163.66,163.9,162.58,162.607
1746478800,162.645,162.954,161.596,161.912
1746565200,161.94,163.022,161.934,162.548
1746651600,162.564,163.908,162.536,163.838
1746738000,163.765,163.944,163.153,163.52
1746997200,163.681,164.925,163.646,164.624
1747083600,164.664,165.216,164.132,164.95
1747170000,164.983,165.166,163.735,163.97
1747256400,164.07,164.07,162.747,162.966
1747342800,162.921,163.113,162.462,162.636
1747602000,162.441,163.39,162.146,162.844
1747688400,162.456,163.289,162.418,163.062
1747774800,163.077,163.309,162.626,162.779
1747861200,162.724,163.43,161.806,162.451
1747947600,162.451,162.752,161.084,162.016
1748206800,161.932,162.986,161.916,162.658
1748293200,162.662,163.948,162.091,163.529
1748379600,163.549,163.912,163.076,163.576
1748466000,163.549,164.262,163.346,163.882
1748552400,163.923,163.964,162.803,163.468
1748811600,163.319,163.433,162.84,163.296
1748898000,163.285,163.878,162.798,163.733
1748984400,163.735,164.246,162.99,163.008
1749070800,162.977,164.678,162.9,164.324
1749157200,164.261,165.286,164.224,165.078
1749416400,165.172,165.214,164.556,165.155
1749502800,165.099,165.637,164.63,165.557
1749589200,165.543,166.428,165.387,166.128
1749675600,166.032,166.746,165.5,166.252
1749762000,166.236,166.596,164.942,166.5
1750021200,166.15,167.46,166.028,167.384
1750107600,167.346,167.616,166.709,166.806
1750194000,166.844,167.058,166.324,166.63
1750280400,166.597,167.316,166.038,167.256
1750366800,167.242,168.406,167.117,168.329
1750626000,168.056,169.716,168.006,169.226
1750712400,169.211,169.292,167.916,168.223
1750798800,168.24,169.404,168.108,169.366
1750885200,169.318,169.404,168.56,168.962
1750971600,168.991,169.81,168.63,169.525
1751230800,169.364,169.866,168.708,169.777
1751317200,169.733,169.772,168.462,169.3
1751403600,169.254,169.791,169.04,169.509
1751490000,169.503,170.617,169.316,170.39
1751576400,170.462,170.469,169.856,170.223
1751835600,170.256,171.316,169.889,171.026
1751922000,171.012,172.024,170.944,171.85
1752008400,171.856,172.284,171.272,171.501
1752094800,171.542,171.781,170.938,171.12
1752181200,171.131,172.428,170.81,172.35
1752440400,171.809,172.474,171.688,172.344
1752526800,172.315,173.084,172.259,172.698
1752613200,172.726,173.246,171.839,172.144
1752699600,172.131,172.676,171.946,172.363
1752786000,172.344,173.124,172.256,173.028
1753045200,172.134,172.848,171.922,172.336
1753131600,172.317,172.938,171.368,172.372
1753218000,172.342,172.742,171.373,172.476
1753304400,172.452,172.926,171.751,172.714
1753390800,172.601,173.614,172.484,173.38
1753650000,173.698,173.902,172.072,172.142
1753736400,172.136,172.324,171.053,171.418
1753822800,171.439,171.553,170.446,170.546
1753909200,170.496,172.341,169.724,172.09
1753995600,172.101,172.39,170.284,170.812
1754254800,170.704,171.166,169.906,170.227
1754341200,170.188,170.948,169.821,170.798
1754427600,170.832,171.992,170.618,171.809
1754514000,171.741,172.172,171.277,171.648
1754600400,171.64,172.344,171.37,172.021
1754859600,171.899,172.206,171.554,172.084
1754946000,171.483,172.861,171.483,172.596
1755032400,172.563,173.02,172.234,172.51
1755118800,172.516,172.516,170.968,172.11
1755205200,172.107,172.38,171.504,172.24
1755464400,172.422,172.68,172.053,172.41
1755550800,172.448,172.704,171.697,171.986
1755637200,172.045,172.045,171.121,171.615
1755723600,171.709,172.367,171.526,172.226
1755810000,172.173,172.678,171.832,172.228
1756069200,172.198,172.666,171.577,171.682
1756155600,171.671,172.122,171.327,171.625
1756242000,171.64,171.914,171.253,171.558
1756328400,171.561,171.795,171.12,171.671
1756414800,171.674,172.016,171.24,171.844
1756674000,171.952,172.546,171.818,172.363
1756760400,172.355,173.416,172.278,172.7
1756846800,172.705,173.302,172.54,172.72
1756933200,172.677,173.212,172.458,172.975
1757019600,173.001,173.272,172.494,172.734
1757278800,173.563,173.913,173.07,173.545
1757365200,173.491,173.543,172.14,172.624
1757451600,172.558,172.91,172.378,172.446
1757538000,172.39,173.06,172.36,172.79
1757624400,172.765,173.444,172.624,173.325
1757883600,173.404,173.454,172.896,173.375
1757970000,173.327,173.827,173.024,173.798
1758056400,173.735,173.851,173.092,173.644
1758142800,173.608,174.472,173.515,174.432
1758229200,174.348,174.504,173.483,173.82
1758488400,173.818,174.39,173.704,174.379
1758574800,174.317,174.492,174.055,174.452
1758661200,174.399,174.797,174.224,174.787
1758747600,174.756,174.943,174.493,174.754
1758834000,174.734,175.053,174.638,174.937
1759093200,175.006,175.017,173.988,174.254
