time,open,high,low,close
1106690400,135.0225,135.0825,134.2275,134.7485
1106776800,134.7485,135.4665,133.9755,133.9955
1106863200,133.9955,135.1645,133.7855,134.645
1107122400,134.975,135.2785,134.5105,135.1935
1107208800,135.1935,135.5785,135.0535,135.2655
1107295200,135.2655,135.8105,134.9025,134.9325
1107381600,134.9325,135.7975,134.9025,135.5425
1107468000,135.5425,135.6225,133.7715,133.945
1107727200,134.195,134.52,133.5635,133.7455
1107813600,133.7455,135.2375,133.6455,135.0685
1107900000,135.0685,135.4955,134.6635,135.235
1107986400,135.235,136.3625,135.165,136.2535
1108072800,136.2535,136.3535,135.8085,136.015
1108332000,135.765,136.4235,135.38,136.3535
1108418400,136.3535,136.608,135.5605,136.0255
1108504800,136.0255,137.4325,135.9555,137.3575
1108591200,137.3575,138.0485,137.2325,137.9545
1108677600,137.9545,138.3085,137.4705,138.105
1108936800,137.915,138.21,137.6405,137.957
1109023200,137.957,138.1595,137.1135,137.9325
1109109600,137.9325,138.8635,137.8425,138.5225
1109196000,138.5225,139.3345,138.4485,139.0885
1109282400,139.0885,139.394,138.5335,139.374
1109541600,139.404,139.434,138.0315,138.4005
1109628000,138.4005,138.4105,137.481,137.658
1109714400,137.658,137.9595,137.3195,137.6745
1109800800,137.6745,138.1595,137.5745,138.038
1109887200,138.038,138.739,137.953,138.689
1110146400,138.675,139.0005,138.35,138.9955
1110232800,138.9955,139.7805,138.7355,139.6705
1110319200,139.6705,139.8755,138.6375,139.2025
1110405600,139.2025,139.9665,139.1175,139.7305
1110492000,139.7305,140.0505,139.4275,139.955
1110751200,139.775,140.7125,139.705,140.1575
1110837600,140.1575,140.3125,138.9285,139.11
1110924000,139.11,139.9475,138.857,139.7425
1111010400,139.7425,140.0375,139.5015,139.8395
1111096800,139.8395,140.2145,139.1785,139.575
1111356000,139.455,139.515,138.3025,138.4175
1111442400,138.4175,138.89,137.8405,138.2125
1111528800,138.2125,138.2125,137.3165,137.5415
1111615200,137.5415,138.5335,137.5115,137.5565
1111701600,137.5565,137.9565,137.5365,137.825
1111960800,137.845,138.2985,137.6435,138.2375
1112047200,138.2375,139.1085,138.1875,139.0225
1112133600,139.0225,139.3835,138.6955,138.9035
1112220000,138.9035,139.1305,138.2965,138.8905
1112306400,138.8905,139.4785,138.5385,138.88
1112562000,138.78,139.3875,138.615,139.1275
1112648400,139.1275,139.4885,138.9875,139.1875
1112734800,139.1875,139.9605,138.9095,139.8905
1112821200,139.8905,140.1375,139.5605,139.6505
1112907600,139.6505,140.0935,139.0805,139.973
1113166800,139.973,140.2635,139.6325,139.9285
1113253200,139.9285,140.0485,139.1185,139.2585
1113339600,139.2585,139.2785,138.3035,138.6335
1113426000,138.6335,138.9435,138.3735,138.6035
1113512400,138.6035,139.3315,138.4535,139.28
1113771600,138.99,140.0585,138.82,139.9885
1113858000,139.9885,140.0185,139.2905,139.4285
1113944400,139.4285,139.8905,139.2715,139.8505
1114030800,139.8505,140.5175,139.3805,139.5505
1114117200,139.5505,139.6405,138.1205,138.49
1114376400,137.62,138.0425,137.0205,137.44
1114462800,137.44,137.7535,137.2,137.66
1114549200,137.66,137.95,136.7315,136.911
1114635600,136.911,137.38,136.4535,136.8505
1114722000,136.8505,136.98,134.8005,134.83
1114981200,135.09,135.6565,134.8635,135.14
1115067600,135.14,135.69,134.91,135.26
1115154000,135.26,135.8,134.9435,135.3705
1115240400,135.3705,135.6165,134.9105,135.3505
1115326800,135.3505,135.7505,134.4105,134.67
1115586000,134.74,135.7075,134.6505,135.6375
1115672400,135.6375,136.0655,135.6075,135.9505
1115758800,135.9505,136.2465,135.0125,135.5305
