time,open,high,low,close
1106517600,1.8285,1.834,1.8205,1.8285
1106604000,1.8285,1.8347,1.8169,1.8272
1106690400,1.8272,1.8314,1.8147,1.8255
1106776800,1.8255,1.8305,1.8199,1.8225
1106863200,1.8225,1.8358,1.8189,1.829
1107122400,1.8339,1.8377,1.823,1.8347
1107208800,1.8347,1.8391,1.826,1.8324
1107295200,1.8324,1.838,1.8236,1.8246
1107381600,1.8246,1.8309,1.8212,1.827
1107468000,1.827,1.8304,1.8096,1.8115
1107727200,1.8136,1.8268,1.81,1.8226
1107813600,1.8226,1.8319,1.8131,1.8251
1107900000,1.8251,1.8304,1.8162,1.8199
1107986400,1.8199,1.8217,1.8071,1.8094
1108072800,1.8094,1.8132,1.7991,1.8017
1108332000,1.8041,1.8171,1.8034,1.8166
1108418400,1.8166,1.82115,1.8111,1.8194
1108504800,1.8194,1.8287,1.8166,1.826
1108591200,1.826,1.828,1.8118,1.8218
1108677600,1.8218,1.825,1.8024,1.8075
1108936800,1.8046,1.8089,1.7946,1.8013
1109023200,1.8013,1.822,1.7983,1.82
1109109600,1.82,1.8318,1.8172,1.8309
1109196000,1.8309,1.837,1.8249,1.8301
1109282400,1.8301,1.8355,1.8256,1.8335
1109541600,1.8352,1.8365,1.816,1.8204
1109628000,1.8204,1.8238,1.8124,1.8133
1109714400,1.8133,1.8214,1.8049,1.8087
1109800800,1.8087,1.8123,1.7994,1.8023
1109887200,1.8023,1.8094,1.795,1.806
1110146400,1.8052,1.8068,1.793,1.7976
1110232800,1.7976,1.80545,1.793,1.80325
1110319200,1.80325,1.83165,1.80325,1.81275
1110405600,1.81275,1.8232,1.80265,1.81895
1110492000,1.81895,1.826,1.8138,1.819
1110751200,1.8205,1.8213,1.80855,1.81155
1110837600,1.81155,1.8139,1.79535,1.79665
1110924000,1.79665,1.80875,1.79645,1.80315
1111010400,1.80315,1.80595,1.79635,1.80015
1111096800,1.80015,1.80355,1.78415,1.7891
1111356000,1.7918,1.7931,1.78205,1.7877
1111442400,1.7877,1.7937,1.7803,1.7891
1111528800,1.7891,1.8165,1.7879,1.8079
1111615200,1.8079,1.8227,1.8053,1.8139
1111701600,1.8139,1.81805,1.81215,1.814
1111960800,1.8148,1.8255,1.8135,1.8226
1112047200,1.8226,1.8313,1.8119,1.821
1112133600,1.821,1.8285,1.8175,1.8246
1112220000,1.8246,1.8263,1.8165,1.821
1112306400,1.821,1.83385,1.8135,1.8223
1112562000,1.8198,1.8245,1.8142,1.8154
1112648400,1.8154,1.8273,1.8126,1.8141
1112734800,1.8141,1.8167,1.8043,1.8071
1112821200,1.8071,1.8123,1.8004,1.8061
1112907600,1.8061,1.8076,1.7956,1.8055
1113166800,1.8052,1.8052,1.7928,1.7987
1113253200,1.7987,1.8015,1.7897,1.7911
1113339600,1.7911,1.7926,1.7791,1.7845
1113426000,1.7845,1.7851,1.7695,1.7757
1113512400,1.7757,1.8075,1.7742,1.805
1113771600,1.8019,1.8222,1.8012,1.8133
1113858000,1.8133,1.8172,1.8015,1.803
1113944400,1.803,1.8072,1.7935,1.7982
1114030800,1.7982,1.8069,1.7919,1.7931
1114117200,1.7931,1.7973,1.7813,1.7846
1114376400,1.7838,1.7857,1.7721,1.7846
1114462800,1.7846,1.7954,1.7799,1.7936
