time,open,high,low,close
1744837200,2.07792,2.08852,2.07454,2.07568
1744923600,2.07548,2.08613,2.07514,2.08544
1745182800,2.08509,2.09128,2.08016,2.08539
1745269200,2.08532,2.09661,2.08204,2.09458
1745355600,2.0945,2.0945,2.06856,2.0841
1745442000,2.08426,2.09134,2.07889,2.08096
1745528400,2.08129,2.08878,2.071,2.08092
1745787600,2.08092,2.09194,2.07666,2.08998
1745874000,2.08967,2.10302,2.08398,2.10028
1745960400,2.10044,2.1011,2.07985,2.08227
1746046800,2.08212,2.08898,2.07146,2.0801
1746133200,2.08014,2.0817,2.05727,2.05836
1746392400,2.05753,2.0615,2.04815,2.05557
1746478800,2.05604,2.07155,2.05503,2.05844
1746565200,2.0592,2.07082,2.04854,2.0686
1746651600,2.06894,2.07875,2.06232,2.0697
1746738000,2.06989,2.07652,2.06495,2.075
1746997200,2.06733,2.07404,2.05355,2.06803
1747083600,2.06757,2.07166,2.05117,2.05618
1747170000,2.05679,2.06628,2.0518,2.06284
1747256400,2.06283,2.07804,2.05692,2.07692
1747342800,2.07699,2.08174,2.06919,2.0735
1747602000,2.07524,2.08134,2.06734,2.06912
1747688400,2.06858,2.09026,2.06806,2.08483
1747774800,2.08396,2.08643,2.07852,2.0847
1747861200,2.08498,2.0953,2.07966,2.09336
1747947600,2.09236,2.09678,2.08217,2.08392
1748206800,2.0841,2.09202,2.07844,2.09068
1748293200,2.09023,2.10356,2.08916,2.09654
1748379600,2.09655,2.10074,2.092,2.09596
1748466000,2.09631,2.09783,2.08778,2.09432
1748552400,2.09375,2.1018,2.08976,2.09132
1748811600,2.09238,2.09263,2.08444,2.08485
1748898000,2.08583,2.09667,2.0854,2.09174
1748984400,2.09254,2.09678,2.08358,2.08767
1749070800,2.08831,2.08875,2.08116,2.08598
1749157200,2.0856,2.0896,2.08156,2.08318
1749416400,2.0822,2.08345,2.07676,2.07948
1749502800,2.08015,2.08138,2.06906,2.06958
1749589200,2.06989,2.08436,2.06714,2.08382
1749675600,2.08384,2.0946,2.08088,2.08396
1749762000,2.0833,2.1003,2.08328,2.09224
1750021200,2.09347,2.09347,2.07754,2.08108
1750107600,2.08099,2.08523,2.07148,2.07356
1750194000,2.07357,2.07552,2.06082,2.06212
1750280400,2.06198,2.0833,2.05982,2.07823
1750366800,2.07788,2.0874,2.07659,2.08494
1750626000,2.08463,2.10244,2.08326,2.09392
1750712400,2.09389,2.09838,2.08574,2.0981
1750798800,2.09843,2.09956,2.09289,2.09792
1750885200,2.09723,2.10366,2.09548,2.09699
1750971600,2.0975,2.10262,2.09456,2.10041
1751230800,2.09729,2.10063,2.08477,2.08696
1751317200,2.08657,2.09415,2.08564,2.08818
1751403600,2.08941,2.09224,2.06885,2.07092
1751490000,2.07145,2.08124,2.07112,2.0779
1751576400,2.07805,2.08572,2.07688,2.08274
1751835600,2.08053,2.09616,2.08053,2.0955
1751922000,2.09539,2.09834,2.07416,2.08148
1752008400,2.0817,2.08508,2.07633,2.07904
1752094800,2.07972,2.08106,2.05984,2.06094
1752181200,2.06319,2.06623,2.04949,2.05154
1752440400,2.05493,2.05678,2.04931,2.05123
1752526800,2.05158,2.05712,2.04428,2.0547
1752613200,2.0545,2.0602,2.05054,2.05588
1752699600,2.05583,2.07464,2.05452,2.06828
1752786000,2.06862,2.06904,2.05852,2.06094
1753045200,2.06245,2.06817,2.05704,2.06792
1753131600,2.06786,2.07236,2.06181,2.06452
1753218000,2.06511,2.06582,2.05118,2.05686
1753304400,2.05742,2.05836,2.0454,2.04976
1753390800,2.04962,2.05388,2.0454,2.0464
1753650000,2.0426,2.05868,2.04238,2.04798
1753736400,2.04887,2.05358,2.04482,2.05071
1753822800,2.04972,2.0627,2.0476,2.05776
1753909200,2.05727,2.05874,2.04922,2.05525
1753995600,2.05463,2.0565,2.04539,2.05227
1754254800,2.05307,2.056,2.0471,2.05426
1754341200,2.05468,2.05906,2.05074,2.05482
1754427600,2.05509,2.05563,2.04608,2.05382
1754514000,2.05424,2.06666,2.04544,2.06098
1754600400,2.06216,2.06334,2.0568,2.06203
