time,open,high,low,close
1106690400,2.43595,2.44225,2.42755,2.42855
1106776800,2.42855,2.43575,2.42155,2.4309
1106863200,2.4309,2.44175,2.4235,2.4361
1107122400,2.4389,2.4397,2.42355,2.42735
1107208800,2.42735,2.44575,2.42595,2.43415
1107295200,2.43415,2.4388,2.42125,2.42355
1107381600,2.42355,2.4492,2.42305,2.44165
1107468000,2.44165,2.45075,2.4332,2.435
1107727200,2.4374,2.4437,2.41085,2.42055
1107813600,2.42055,2.43345,2.41645,2.42015
1107900000,2.42015,2.43015,2.40885,2.41105
1107986400,2.41105,2.41435,2.38345,2.38585
1108072800,2.38585,2.39295,2.37255,2.3774
1108332000,2.3787,2.40055,2.372,2.39595
1108418400,2.39595,2.41315,2.39435,2.40905
1108504800,2.40905,2.42285,2.39505,2.40315
1108591200,2.40315,2.40755,2.39525,2.40555
1108677600,2.40555,2.4182,2.39855,2.4024
1108936800,2.3998,2.40845,2.3979,2.40215
1109023200,2.40215,2.41235,2.40025,2.40555
1109109600,2.40555,2.42985,2.40415,2.42765
1109196000,2.42765,2.43225,2.41285,2.42765
1109282400,2.42765,2.44405,2.42685,2.4409
1109541600,2.4375,2.44025,2.42255,2.42595
1109628000,2.42595,2.44975,2.42205,2.4403
1109714400,2.4403,2.45865,2.43495,2.44405
1109800800,2.44405,2.45075,2.43245,2.43525
1109887200,2.43525,2.44025,2.42195,2.4315
1110146400,2.436,2.4375,2.41305,2.41625
1110232800,2.41625,2.42195,2.41145,2.41635
1110319200,2.41635,2.43155,2.41495,2.42705
1110405600,2.42705,2.44475,2.41645,2.43055
1110492000,2.43055,2.44235,2.42165,2.4282
1110751200,2.4288,2.44015,2.42425,2.43045
1110837600,2.43045,2.43245,2.41705,2.41895
1110924000,2.41895,2.43795,2.41865,2.42705
1111010400,2.42705,2.43345,2.42275,2.42605
1111096800,2.42605,2.42965,2.4134,2.4175
1111356000,2.4188,2.42355,2.40645,2.41505
1111442400,2.41505,2.42075,2.39685,2.40925
1111528800,2.40925,2.42715,2.40765,2.41965
1111615200,2.41965,2.428,2.41575,2.4185
1111701600,2.4185,2.4248,2.417,2.4244
1111960800,2.4244,2.4333,2.4145,2.4277
1112047200,2.4277,2.43515,2.41755,2.43255
1112133600,2.43255,2.44285,2.42665,2.43785
1112220000,2.43785,2.44735,2.42705,2.44615
1112306400,2.44615,2.44925,2.43545,2.4406
1112562000,2.4417,2.44955,2.43445,2.44305
1112648400,2.44305,2.45725,2.44195,2.4466
1112734800,2.4466,2.46195,2.4448,2.45855
1112821200,2.45855,2.46425,2.43725,2.4404
1112907600,2.4404,2.4445,2.43155,2.4434
1113166800,2.443,2.4447,2.43385,2.43865
1113253200,2.43865,2.44385,2.43535,2.44025
1113339600,2.44025,2.44355,2.42645,2.43595
1113426000,2.43595,2.44475,2.43225,2.44235
1113512400,2.44235,2.4645,2.44125,2.4632
1113771600,2.4626,2.49075,2.4603,2.47905
1113858000,2.47905,2.49845,2.47565,2.48625
1113944400,2.48625,2.48765,2.47055,2.47445
1114030800,2.47445,2.4795,2.45755,2.4598
1114117200,2.4598,2.46425,2.4458,2.4503
1114376400,2.4502,2.45615,2.44635,2.44845
1114462800,2.44845,2.45455,2.43965,2.44935
1114549200,2.44935,2.45885,2.44555,2.45295
1114635600,2.45295,2.45865,2.44075,2.44675
1114722000,2.44675,2.45615,2.43885,2.4431
1114981200,2.4441,2.44625,2.4287,2.42945
1115067600,2.42945,2.44865,2.42645,2.44435
1115154000,2.44435,2.45075,2.43275,2.43615
1115240400,2.43615,2.44565,2.43215,2.4416
1115326800,2.4416,2.44225,2.43305,2.4389
1115586000,2.4406,2.4449,2.43075,2.43905
1115672400,2.43905,2.44165,2.42065,2.42415
1115758800,2.42415,2.42955,2.41345,2.41825
1115845200,2.41825,2.43765,2.41605,2.43515
1115931600,2.43515,2.44105,2.4279,2.4305
1116190800,2.43,2.44745,2.42085,2.43145
1116277200,2.43145,2.43545,2.42315,2.42715
1116363600,2.42715,2.43155,2.41445,2.41785
