time,open,high,low,close
1744837200,187.772,189.36,187.468,188.957
1744923600,188.918,189.154,188.728,188.99
1745182800,188.582,188.855,188.008,188.472
1745269200,188.418,188.87,187.472,188.766
1745355600,188.732,190.318,188.244,190.129
1745442000,190.068,190.394,189.3,190.218
1745528400,190.317,191.726,190.058,191.26
1745787600,191.069,191.558,190.668,190.93
1745874000,190.878,191.352,190.402,190.886
1745960400,190.676,191.264,189.99,190.73
1746046800,190.59,193.462,190.343,193.064
1746133200,193.074,193.762,191.474,192.39
1746392400,191.95,192.318,191.031,191.06
1746478800,191.044,191.356,190.33,190.384
1746565200,190.456,191.672,190.364,191.156
1746651600,191.111,193.504,190.992,193.268
1746738000,193.2,193.469,192.356,193.408
1746997200,193.931,195.804,193.64,195.65
1747083600,195.588,196.382,194.787,196.217
1747170000,196.26,196.413,194.242,194.598
1747256400,194.599,194.713,193.438,193.852
1747342800,193.78,193.898,193.042,193.406
1747602000,192.924,194.075,192.776,193.548
1747688400,193.5,194.217,192.924,193.534
1747774800,193.498,193.622,192.584,192.784
1747861200,192.736,193.598,191.897,193.264
1747947600,193.25,193.566,192.074,193.002
1748206800,192.776,194.046,192.688,193.744
1748293200,193.751,195.632,193.068,194.986
1748379600,194.935,195.416,194.387,195.144
1748466000,195.068,196.32,194.296,194.55
1748552400,194.519,194.663,193.4,193.818
1748811600,193.712,193.91,193.009,193.282
1748898000,193.286,194.789,192.73,194.669
1748984400,194.548,195.238,193.452,193.506
1749070800,193.52,195.502,193.264,194.861
1749157200,194.809,196.191,194.722,195.926
1749416400,196.008,196.157,195.448,195.957
1749502800,195.961,196.45,194.776,195.589
1749589200,195.639,196.296,195.301,195.884
1749675600,195.808,195.871,194.716,195.355
1749762000,195.298,195.982,193.766,195.611
1750021200,195.353,196.693,195.158,196.566
1750107600,196.51,196.85,194.915,195.116
1750194000,195.077,195.352,194.342,194.78
1750280400,194.808,195.958,194.022,195.932
1750366800,195.948,196.711,195.686,196.504
1750626000,196.622,198.198,196.162,197.68
1750712400,197.629,197.74,196.954,197.299
1750798800,197.418,198.584,197.046,198.487
1750885200,198.414,198.604,197.714,198.212
1750971600,198.292,198.81,198.018,198.467
1751230800,197.921,198.466,197.212,197.814
1751317200,197.751,197.838,196.282,197.133
1751403600,197.114,197.555,195.359,195.885
1751490000,195.929,198.114,195.762,197.884
1751576400,197.937,197.962,196.908,197.231
1751835600,197.269,199.004,196.791,198.67
1751922000,198.669,199.482,198.51,199.224
1752008400,199.24,199.834,198.738,198.78
1752094800,198.836,199.258,198.381,198.608
1752181200,198.59,199.45,198.238,198.91
1752440400,198.6,198.992,198.106,198.356
1752526800,198.427,199.528,198.212,199.223
