time,open,high,low,close
1744837200,2.23095,2.24254,2.21896,2.22145
1744923600,2.22145,2.24068,2.22132,2.23858
1745182800,2.23858,2.24004,2.2254,2.22975
1745269200,2.2298,2.2352,2.22492,2.2351
1745355600,2.2351,2.23515,2.21379,2.22955
1745442000,2.2295,2.23446,2.22177,2.22402
1745528400,2.2245,2.23744,2.21914,2.2322
1745787600,2.22882,2.25026,2.22882,2.2483
1745874000,2.24745,2.2621,2.24462,2.26115
1745960400,2.2607,2.26204,2.24304,2.24725
1746046800,2.24698,2.25326,2.23664,2.2481
1746133200,2.2481,2.24963,2.22708,2.23285
1746392400,2.23285,2.23285,2.2198,2.22835
1746478800,2.2282,2.23834,2.22234,2.2253
1746565200,2.22525,2.23923,2.21789,2.2373
1746651600,2.2368,2.25147,2.23272,2.24295
1746738000,2.24308,2.25538,2.24233,2.25135
1746997200,2.23951,2.25298,2.2365,2.25065
1747083600,2.25055,2.25366,2.23446,2.24075
1747170000,2.24175,2.25006,2.23625,2.2478
1747256400,2.24765,2.26594,2.24397,2.26405
1747342800,2.26505,2.26958,2.25,2.2587
1747602000,2.25521,2.26846,2.25252,2.2528
1747688400,2.25285,2.26428,2.2518,2.26025
1747774800,2.26035,2.26364,2.25362,2.25935
1747861200,2.2596,2.27622,2.25671,2.2749
1747947600,2.2739,2.27762,2.25854,2.26175
1748206800,2.25932,2.26199,2.25268,2.26055
1748293200,2.26085,2.27704,2.25892,2.2712
1748379600,2.2709,2.2776,2.2555,2.2572
1748466000,2.25646,2.26752,2.25184,2.2605
1748552400,2.26065,2.26424,2.2532,2.25567
1748811600,2.25855,2.2589,2.24138,2.24385
1748898000,2.24505,2.25825,2.2377,2.25365
1748984400,2.2538,2.25526,2.24636,2.24905
1749070800,2.24915,2.25069,2.23831,2.24835
1749157200,2.24835,2.25139,2.24114,2.24992
1749416400,2.24825,2.24982,2.23828,2.24045
1749502800,2.24125,2.2435,2.22978,2.2305
1749589200,2.2307,2.24751,2.22802,2.247
1749675600,2.2471,2.25736,2.24012,2.2431
1749762000,2.24314,2.25916,2.24164,2.256
1750021200,2.25747,2.2578,2.23668,2.24005
1750107600,2.24035,2.24304,2.22918,2.23265
1750194000,2.23265,2.2344,2.22415,2.22625
1750280400,2.22625,2.25276,2.22445,2.2474
1750366800,2.24654,2.25712,2.24453,2.25435
1750626000,2.25335,2.27417,2.25144,2.2629
1750712400,2.26355,2.26718,2.25192,2.26655
1750798800,2.2668,2.26893,2.25502,2.26265
1750885200,2.2625,2.26953,2.26025,2.26625
1750971600,2.26625,2.2682,2.26047,2.2649
1751230800,2.26314,2.26683,2.25064,2.25275
1751317200,2.2533,2.25906,2.24984,2.25395
1751403600,2.25395,2.25922,2.23764,2.23935
1751490000,2.23844,2.25545,2.23739,2.24945
1751576400,2.24955,2.25655,2.24644,2.2531
1751835600,2.25247,2.27181,2.25205,2.2692
1751922000,2.2688,2.27114,2.25622,2.2662
1752008400,2.26575,2.27249,2.25948,2.26455
1752094800,2.2638,2.26726,2.24892,2.2502
1752181200,2.2504,2.25532,2.24346,2.24624
1752440400,2.24774,2.25463,2.24426,2.2481
1752526800,2.2488,2.25382,2.24032,2.2514
1752613200,2.2506,2.26182,2.24536,2.2566
1752699600,2.25675,2.26702,2.25445,2.2622
1752786000,2.26137,2.26271,2.24738,2.24975
1753045200,2.24857,2.26121,2.24773,2.26065
1753131600,2.2607,2.26934,2.25255,2.25485
1753218000,2.2547,2.25805,2.23932,2.2461
1753304400,2.2462,2.2481,2.23622,2.2407
1753390800,2.2409,2.24285,2.23192,2.23375
1753650000,2.23349,2.24666,2.22958,2.23685
1753736400,2.2368,2.24384,2.23484,2.24185
1753822800,2.24165,2.25036,2.2381,2.24585
1753909200,2.24475,2.24648,2.23626,2.2423
1753995600,2.23995,2.24968,2.23933,2.24467
1754254800,2.24513,2.25079,2.2415,2.24915
1754341200,2.2489,2.2568,2.24571,2.2537
1754427600,2.25305,2.2565,2.24344,2.2528
1754514000,2.2527,2.26026,2.24215,2.25515
1754600400,2.25535,2.26136,2.25177,2.25886
1754859600,2.25612,2.26599,2.25612,2.26185
1754946000,2.2615,2.27589,2.2594,2.2672
1755032400,2.26745,2.2728,2.26136,2.2721
1755118800,2.2714,2.2887,2.26814,2.28615
1755205200,2.2874,2.29128,2.28403,2.28838
1755464400,2.28895,2.29065,2.27912,2.28005
1755550800,2.28025,2.29005,2.27691,2.2895
1755637200,2.28711,2.3216,2.28596,2.31055
1755723600,2.31303,2.31431,2.30448,2.30515
1755810000,2.30493,2.31136,2.30232,2.30501
1756069200,2.30338,2.30653,2.29721,2.3001
1756155600,2.30019,2.3079,2.29806,2.29955
1756242000,2.29975,2.30858,2.29916,2.30393
1756328400,2.3039,2.3069,2.2951,2.29623
1756414800,2.29704,2.29752,2.28418,2.2904
1756674000,2.29107,2.2967,2.28652,2.29448
1756760400,2.29452,2.29983,2.28157,2.28372
1756846800,2.28338,2.28922,2.28022,2.2872
1756933200,2.28761,2.30265,2.28311,2.29825
1757019600,2.29842,2.2989,2.28878,2.29176
1757278800,2.29121,2.29425,2.2787,2.2801
1757365200,2.28168,2.28334,2.27816,2.28274
1757451600,2.28136,2.28316,2.27356,2.2778
1757538000,2.27806,2.28275,2.27058,2.27095
1757624400,2.27286,2.27916,2.26939,2.27628
1757883600,2.27636,2.28544,2.27392,2.2775
1757970000,2.27755,2.28706,2.27719,2.27885
1758056400,2.27885,2.29071,2.2784,2.2852
1758142800,2.28532,2.31502,2.28426,2.3039
1758229200,2.30295,2.30858,2.2964,2.30011
1758488400,2.29982,2.3067,2.29583,2.30265
1758574800,2.30281,2.31164,2.30186,2.3087
1758661200,2.31,2.3152,2.30232,2.3132
1758747600,2.31315,2.31797,2.30744,2.31375
1758834000,2.3133,2.32444,2.31193,2.32084
1759093200,2.32084,2.32576,2.3168,2.32515
1759179600,2.32322,2.32552,2.3156,2.32065
1759266000,2.31915,2.3229,2.315,2.31694
1759352400,2.3168,2.32044,2.30824,2.3103
1759438800,2.31044,2.31254,2.30436,2.31134
1759698000,2.31074,2.3126,2.30356,2.30815
1759784400,2.30845,2.31733,2.30717,2.3149
1759870800,2.31602,2.33539,2.31374,2.31605
1759957200,2.31734,2.31939,2.30962,2.31566
1760043600,2.31563,2.33506,2.30699,2.33467
1760302800,2.32502,2.3314,2.32138,2.32868
1760389200,2.32831,2.34352,2.32641,2.33078
1760475600,2.3303,2.3447,2.32946,2.34135
1760562000,2.34162,2.34827,2.33392,2.34694
1760648400,2.34748,2.35244,2.34024,2.34557
1760907600,2.34473,2.34749,2.33172,2.33385
1760994000,2.33595,2.3443,2.32704,2.32843
1761080400,2.33028,2.33088,2.3141,2.32726
1761166800,2.3266,2.32927,2.31435,2.31665
1761253200,2.31665,2.321,2.31188,2.31563
1761512400,2.30649,2.31686,2.30623,2.3114
1761598800,2.31188,2.31542,2.29404,2.2956
1761685200,2.29614,2.29827,2.2806,2.28922
1761771600,2.28952,2.29382,2.283,2.29035
1761858000,2.29013,2.29968,2.28948,2.29705
1762120800,2.29532,2.3063,2.29288,2.30215
1762207200,2.30295,2.31246,2.30105,2.30718
1762293600,2.30264,2.3116,2.30148,2.30495
1762380000,2.30607,2.33201,2.30319,2.33154
1762466400,2.32933,2.34506,2.32916,2.33933
1762725600,2.33818,2.3397,2.33069,2.33388
1762812000,2.33254,2.33696,2.32349,2.32567
1762898400,2.3275,2.32841,2.31186,2.3177
1762984800,2.3177,2.3348,2.3127,2.33308
1763071200,2.33595,2.33595,2.30876,2.31907
1763330400,2.31754,2.32821,2.31572,2.32514
1763416800,2.32484,2.33208,2.31711,2.32345
1763503200,2.3234,2.33602,2.32184,2.33045
