time,open,high,low,close
1069365600,1.704,1.704,1.7035,1.7035
1069624800,1.7042,1.7042,1.69565,1.69565
1069711200,1.69565,1.69815,1.69565,1.69815
1069797600,1.69815,1.7119,1.69815,1.7119
1069884000,1.7119,1.7142,1.7119,1.7142
1069970400,1.7142,1.7217,1.7142,1.7217
1070229600,1.7211,1.7211,1.71895,1.71895
1070316000,1.71895,1.7291,1.71895,1.7291
1070402400,1.7291,1.7291,1.72775,1.72775
1070488800,1.72775,1.72775,1.72175,1.72175
1070575200,1.72175,1.7294,1.72175,1.7294
1070834400,1.7298,1.73295,1.7298,1.73295
1070920800,1.73295,1.74635,1.73295,1.74635
1071007200,1.74635,1.74635,1.74345,1.74345
1071093600,1.74345,1.74495,1.74345,1.74495
1071180000,1.74495,1.7466,1.74495,1.7466
1071439200,1.73875,1.74615,1.73875,1.74615
1071525600,1.74615,1.75405,1.74615,1.75405
1071612000,1.75405,1.76585,1.75405,1.76585
1071698400,1.76585,1.77385,1.76585,1.77385
1071784800,1.77385,1.77385,1.7662,1.7662
1072044000,1.7671,1.7671,1.7645,1.7645
1072130400,1.7645,1.7645,1.7632,1.7632
1072216800,1.7632,1.7745,1.7632,1.7745
1072303200,1.7745,1.7757,1.7745,1.7757
1072389600,1.7757,1.7757,1.7711,1.7711
1072648800,1.7716,1.77395,1.7716,1.77395
1072735200,1.77395,1.7782,1.77395,1.7782
1072821600,1.7782,1.7811,1.7782,1.7811
1072908000,1.7811,1.7838,1.7811,1.7838
1072994400,1.7838,1.7933,1.7838,1.7933
1073253600,1.7917,1.80595,1.7917,1.80595
1073340000,1.80595,1.82165,1.80595,1.82165
1073426400,1.82165,1.82165,1.81785,1.81785
1073512800,1.81785,1.83275,1.81785,1.83275
1073599200,1.83275,1.8485,1.83275,1.8485
1073858400,1.8463,1.84675,1.8463,1.84675
1073944800,1.84675,1.84675,1.84615,1.84615
1074031200,1.84615,1.84615,1.83235,1.83235
1074117600,1.83235,1.83235,1.82265,1.82265
1074204000,1.82265,1.82265,1.7963,1.7963
1074463200,1.7994,1.7994,1.7828,1.7828
1074549600,1.7828,1.81985,1.7828,1.81985
1074636000,1.81985,1.83045,1.81985,1.83045
1074722400,1.83045,1.84505,1.83045,1.84505
1074808800,1.84505,1.84505,1.827,1.827
1075068000,1.8241,1.8241,1.81365,1.81365
1075154400,1.81365,1.82795,1.81365,1.82795
