time,open,high,low,close
1744837200,0.48248,0.49112,0.48169,0.48944
1744923600,0.4895,0.4895,0.4844,0.48488
1745182800,0.48488,0.48606,0.4823,0.48556
1745269200,0.48578,0.49028,0.48432,0.4883
1745355600,0.48832,0.49583,0.48832,0.49336
1745442000,0.4938,0.49632,0.49216,0.49565
1745528400,0.49595,0.49853,0.49311,0.49376
1745787600,0.49426,0.49444,0.48946,0.49024
1745874000,0.49019,0.49276,0.48758,0.48845
1745960400,0.48872,0.49112,0.48542,0.4903
1746046800,0.48993,0.49233,0.48916,0.48996
1746133200,0.48994,0.49314,0.48778,0.49147
1746392400,0.49147,0.49434,0.48991,0.4907
1746478800,0.49066,0.49529,0.48988,0.49379
1746565200,0.49375,0.49746,0.48826,0.48938
1746651600,0.48924,0.49204,0.48852,0.49124
1746738000,0.49118,0.49178,0.48911,0.49131
1746997200,0.49471,0.49776,0.49293,0.4951
1747083600,0.49511,0.49997,0.49354,0.49844
1747170000,0.49876,0.49955,0.49646,0.49651
1747256400,0.49654,0.49756,0.49048,0.49107
1747342800,0.49116,0.49444,0.48878,0.49264
1747602000,0.49176,0.49512,0.49097,0.49497
1747688400,0.49497,0.49558,0.49044,0.49076
1747774800,0.49062,0.49236,0.48839,0.48981
1747861200,0.4898,0.49094,0.48739,0.48896
1747947600,0.48896,0.49252,0.48826,0.49167
1748206800,0.49138,0.49485,0.49093,0.49245
1748293200,0.49238,0.49347,0.49062,0.49188
1748379600,0.49196,0.49502,0.49042,0.49366
1748466000,0.49345,0.49678,0.49102,0.49114
1748552400,0.49104,0.4924,0.48977,0.49064
1748811600,0.49092,0.49388,0.49007,0.49328
1748898000,0.49316,0.49494,0.49008,0.49415
1748984400,0.49416,0.49562,0.49258,0.49296
1749070800,0.49304,0.49731,0.49256,0.49474
1749157200,0.49564,0.49672,0.49409,0.49469
1749416400,0.49466,0.49736,0.49434,0.49694
1749502800,0.49694,0.49804,0.49564,0.49783
1749589200,0.4977,0.4985,0.49414,0.49433
1749675600,0.49433,0.49494,0.49004,0.49167
1749762000,0.49184,0.49271,0.4847,0.48831
1750021200,0.48831,0.49366,0.4874,0.49294
1750107600,0.49304,0.49452,0.49047,0.491
1750194000,0.491,0.49421,0.49029,0.49342
1750280400,0.4934,0.49386,0.48806,0.48938
1750366800,0.48938,0.49054,0.48739,0.48788
1750626000,0.48618,0.4881,0.48138,0.48568
1750712400,0.48566,0.48966,0.48351,0.48363
1750798800,0.48364,0.48631,0.48347,0.48572
1750885200,0.48567,0.487,0.48374,0.48447
1750971600,0.48455,0.48637,0.48312,0.48407
1751230800,0.48337,0.48576,0.48258,0.48358
1751317200,0.48358,0.48391,0.48111,0.4824
1751403600,0.48229,0.48303,0.47958,0.48216
1751490000,0.48244,0.48288,0.47998,0.48272
1751576400,0.48249,0.48307,0.48006,0.48098
1751835600,0.48163,0.48198,0.47733,0.47846
1751922000,0.47846,0.4803,0.47709,0.47733
1752008400,0.4773,0.4789,0.47617,0.47637
1752094800,0.47637,0.48106,0.47536,0.48091
1752181200,0.48045,0.48145,0.47788,0.47843
1752440400,0.47863,0.47913,0.47594,0.47643
1752526800,0.47687,0.47819,0.47586,0.4764
