time,open,high,low,close
1069106400,0.62665,0.63695,0.62665,0.63695
1069192800,0.63695,0.63785,0.63695,0.63785
1069279200,0.63785,0.64145,0.63785,0.64145
1069365600,0.64145,0.6429,0.64145,0.6429
1069624800,0.6419,0.6419,0.63605,0.63605
1069711200,0.63605,0.63645,0.63605,0.63645
1069797600,0.63645,0.64235,0.63645,0.64235
1069884000,0.64235,0.64235,0.64065,0.64065
1069970400,0.64065,0.64065,0.6397,0.6397
1070229600,0.6407,0.64375,0.6407,0.64375
1070316000,0.64375,0.64655,0.64375,0.64655
1070402400,0.64655,0.64655,0.64575,0.64575
1070488800,0.64575,0.64575,0.64505,0.64505
1070575200,0.64505,0.6451,0.64505,0.6451
1070834400,0.6456,0.64705,0.6456,0.64705
1070920800,0.64705,0.64885,0.64705,0.64885
1071007200,0.64885,0.64885,0.64675,0.64675
1071093600,0.64675,0.64675,0.64655,0.64655
1071180000,0.64655,0.648,0.64655,0.648
1071439200,0.64525,0.64855,0.64525,0.64855
1071525600,0.64855,0.65085,0.64855,0.65085
1071612000,0.65085,0.65085,0.64625,0.64625
1071698400,0.64625,0.6489,0.64625,0.6489
1071784800,0.6489,0.6489,0.6447,0.6447
1072044000,0.6452,0.6452,0.64155,0.64155
1072130400,0.64155,0.64155,0.64125,0.64125
1072216800,0.64125,0.6475,0.64125,0.6475
1072303200,0.6475,0.6475,0.6469,0.6469
1072389600,0.6469,0.6469,0.6468,0.6468
1072648800,0.6469,0.64975,0.6469,0.64975
1072735200,0.64975,0.65425,0.64975,0.65425
1072821600,0.65425,0.6563,0.65425,0.6563
1072908000,0.6563,0.6563,0.6551,0.6551
1072994400,0.6551,0.659,0.6551,0.659
1073253600,0.6594,0.67035,0.6594,0.67035
1073340000,0.67035,0.67215,0.67035,0.67215
1073426400,0.67215,0.67215,0.67035,0.67035
1073512800,0.67035,0.67655,0.67035,0.67655
1073599200,0.67655,0.6819,0.67655,0.6819
1073858400,0.6818,0.6818,0.68145,0.68145
1073944800,0.68145,0.68295,0.68145,0.68295
1074031200,0.68295,0.68295,0.68025,0.68025
1074117600,0.68025,0.68025,0.67205,0.67205
1074204000,0.67205,0.67205,0.6645,0.6645
1074463200,0.6645,0.6645,0.65545,0.65545
1074549600,0.65545,0.66695,0.65545,0.66695
1074636000,0.66695,0.67195,0.66695,0.67195
1074722400,0.67195,0.67705,0.67195,0.67705
1074808800,0.67705,0.67705,0.6728,0.6728
1075068000,0.6716,0.6716,0.67045,0.67045
1075154400,0.67045,0.67825,0.67045,0.67825
1075240800,0.67825,0.67825,0.67685,0.67685
1075327200,0.67685,0.67685,0.66995,0.66995
1075413600,0.66995,0.6739,0.66995,0.6739
1075672800,0.6739,0.6739,0.67345,0.67345
1075759200,0.67345,0.68105,0.67345,0.68105
1075845600,0.68105,0.68205,0.68105,0.68205
1075932000,0.68205,0.68715,0.68205,0.68715
1076018400,0.68715,0.6939,0.68715,0.6939
1076277600,0.6894,0.69625,0.6894,0.69625
1076364000,0.69625,0.69925,0.69625,0.69925
1076450400,0.69925,0.70105,0.69925,0.70105
1076536800,0.70105,0.70105,0.69965,0.69965
1076623200,0.69965,0.7016,0.69965,0.7016
1076882400,0.7006,0.70655,0.7006,0.70655
1076968800,0.70655,0.70945,0.70655,0.70945
1077055200,0.70945,0.70945,0.69965,0.69965
1077141600,0.69965,0.70065,0.69965,0.70065
1077228000,0.70065,0.70065,0.6839,0.6839
1077487200,0.6839,0.6839,0.68165,0.68165
1077573600,0.68165,0.69055,0.68165,0.69055
1077660000,0.69055,0.69055,0.68735,0.68735
1077746400,0.68735,0.68735,0.68655,0.68655
1077832800,0.68655,0.6871,0.68655,0.6871
1078092000,0.6866,0.68905,0.6866,0.68905
1078178400,0.68905,0.68905,0.68055,0.68055
1078264800,0.68055,0.68055,0.67205,0.67205
1078351200,0.67205,0.67205,0.66715,0.66715
1078437600,0.66715,0.6748,0.66715,0.6748
1078696800,0.6758,0.6758,0.67475,0.67475
1078783200,0.67475,0.67585,0.67475,0.67585
1078869600,0.67585,0.67585,0.66035,0.66035
1078956000,0.66035,0.66035,0.6482,0.6482
1079042400,0.6482,0.6482,0.644,0.644
1079301600,0.6487,0.6487,0.64625,0.64625
1079388000,0.64625,0.65055,0.64625,0.65055
1079474400,0.65055,0.65135,0.65055,0.65135
1079560800,0.65135,0.65935,0.65135,0.65935
1079647200,0.65935,0.65935,0.6548,0.6548
1079906400,0.655,0.66145,0.655,0.66145
1079992800,0.66145,0.66145,0.66015,0.66015
1080079200,0.66015,0.66015,0.65235,0.65235
1080165600,0.65235,0.65235,0.64525,0.64525
1080252000,0.64525,0.6515,0.64525,0.6515
1080511200,0.6513,0.65175,0.6513,0.65175
1080597600,0.65175,0.65695,0.65175,0.65695
1080684000,0.65695,0.66835,0.65695,0.66835
1080770400,0.66835,0.66875,0.66835,0.66875
1080856800,0.66875,0.66875,0.6587,0.6587
1081112400,0.6574,0.6574,0.6509,0.6509
1081198800,0.6509,0.6571,0.6509,0.6571
1081285200,0.6571,0.6602,0.6571,0.6602
1081371600,0.6602,0.6602,0.65955,0.65955
1081458000,0.65955,0.6602,0.65955,0.6602
1081717200,0.6608,0.66295,0.6608,0.66295
1081803600,0.66295,0.66295,0.6531,0.6531
1081890000,0.6531,0.6531,0.6351,0.6351
1081976400,0.6351,0.63895,0.6351,0.63895
1082062800,0.63895,0.6393,0.63895,0.6393
1082322000,0.6415,0.6445,0.6415,0.6445
1082408400,0.6445,0.6445,0.6288,0.6288
1082494800,0.6288,0.6288,0.62115,0.62115
1082581200,0.62115,0.6286,0.62115,0.6286
1082667600,0.6286,0.6288,0.6286,0.6288
1082926800,0.6267,0.6307,0.6267,0.6307
1083013200,0.6307,0.6312,0.6307,0.6312
1083099600,0.6312,0.6312,0.6224,0.6224
1083186000,0.6224,0.6228,0.6224,0.6228
1083272400,0.6228,0.6258,0.6228,0.6258
1083531600,0.627,0.627,0.62525,0.62525
1083618000,0.62525,0.633,0.62525,0.633
1083704400,0.633,0.636,0.633,0.636
1083790800,0.636,0.636,0.63085,0.63085
1083877200,0.63085,0.63085,0.6183,0.6183
1084136400,0.6163,0.6163,0.60735,0.60735
1084222800,0.60735,0.60735,0.6057,0.6057
1084309200,0.6057,0.613,0.6057,0.613
1084395600,0.613,0.613,0.5999,0.5999
1084482000,0.5999,0.6044,0.5999,0.6044
1084741200,0.6044,0.6044,0.5977,0.5977
1084827600,0.5977,0.5995,0.5977,0.5995
1084914000,0.5995,0.60735,0.5995,0.60735
1085000400,0.60735,0.60765,0.60735,0.60765
1085086800,0.60765,0.6079,0.60765,0.6079
1085346000,0.6088,0.6088,0.60755,0.60755
1085432400,0.60755,0.6188,0.60755,0.6188
1085518800,0.6188,0.62085,0.6188,0.62085
1085605200,0.62085,0.63435,0.62085,0.63435
1085691600,0.63435,0.63435,0.6324,0.6324
1085950800,0.6315,0.63215,0.6315,0.63215
1086037200,0.63215,0.63215,0.6286,0.6286
1086123600,0.6286,0.6286,0.62145,0.62145
1086210000,0.62145,0.62145,0.6175,0.6175
1086296400,0.6175,0.622,0.6175,0.622
1086555600,0.6233,0.6339,0.6233,0.6339
1086642000,0.6339,0.6339,0.6277,0.6277
1086728400,0.6277,0.6277,0.6179,0.6179
1086814800,0.6179,0.63335,0.6179,0.63335
1086901200,0.63335,0.63335,0.6288,0.6288
1087160400,0.6289,0.6289,0.6243,0.6243
1087246800,0.6243,0.63805,0.6243,0.63805
1087333200,0.63805,0.63805,0.62895,0.62895
1087419600,0.62895,0.62895,0.6221,0.6221
1087506000,0.6221,0.6267,0.6221,0.6267
1087765200,0.6271,0.6286,0.6271,0.6286
1087851600,0.6286,0.6286,0.62805,0.62805
1087938000,0.62805,0.62805,0.62425,0.62425
1088024400,0.62425,0.63485,0.62425,0.63485
1088110800,0.63485,0.6357,0.63485,0.6357
1088370000,0.636,0.641,0.636,0.641
1088456400,0.641,0.641,0.6309,0.6309
1088542800,0.6309,0.6363,0.6309,0.6363
1088629200,0.6363,0.6409,0.6363,0.6409
1088715600,0.6409,0.6473,0.6409,0.6473
1088974800,0.6479,0.6479,0.64725,0.64725
1089061200,0.64725,0.64935,0.64725,0.64935
1089147600,0.64935,0.6567,0.64935,0.6567
1089234000,0.6567,0.6567,0.65605,0.65605
1089320400,0.65605,0.657,0.65605,0.657
1089579600,0.6572,0.66085,0.6572,0.66085
1089666000,0.66085,0.66085,0.65685,0.65685
1089752400,0.65685,0.65685,0.6523,0.6523
1089838800,0.6523,0.6523,0.6506,0.6506
1089925200,0.6506,0.6592,0.6506,0.6592
1090184400,0.6595,0.6595,0.65575,0.65575
1090270800,0.65575,0.65575,0.65415,0.65415
1090357200,0.65415,0.65415,0.64015,0.64015
1090443600,0.64015,0.6419,0.64015,0.6419
