time,open,high,low,close
1069279200,1.3049,1.3049,1.3018,1.3018
1069365600,1.3018,1.3023,1.3018,1.3023
1069624800,1.3017,1.3194,1.3017,1.3194
1069711200,1.3194,1.3194,1.3104,1.3104
1069797600,1.3104,1.3104,1.30415,1.30415
1069884000,1.30415,1.30735,1.30415,1.30735
1069970400,1.30735,1.30735,1.2988,1.2988
1070229600,1.2997,1.3034,1.2997,1.3034
1070316000,1.3034,1.3034,1.29815,1.29815
1070402400,1.29815,1.29955,1.29815,1.29955
1070488800,1.29955,1.31215,1.29955,1.31215
1070575200,1.31215,1.31215,1.3052,1.3052
1070834400,1.3049,1.3049,1.29835,1.29835
1070920800,1.29835,1.30835,1.29835,1.30835
1071007200,1.30835,1.30835,1.3078,1.3078
1071093600,1.3078,1.3184,1.3078,1.3184
1071180000,1.3184,1.3184,1.317,1.317
1071439200,1.32205,1.32205,1.3126,1.3126
1071525600,1.3126,1.32765,1.3126,1.32765
1071612000,1.32765,1.32765,1.32575,1.32575
1071698400,1.32575,1.32905,1.32575,1.32905
1071784800,1.32905,1.3373,1.32905,1.3373
1072044000,1.3344,1.3344,1.3298,1.3298
1072130400,1.3298,1.3298,1.32285,1.32285
1072216800,1.32285,1.32285,1.3083,1.3083
1072303200,1.3083,1.3104,1.3083,1.3104
1072389600,1.3104,1.3104,1.3068,1.3068
1072648800,1.3098,1.3108,1.3098,1.3108
1072735200,1.3108,1.3108,1.2943,1.2943
1072821600,1.2943,1.2943,1.2939,1.2939
1072908000,1.2939,1.2968,1.2939,1.2968
1072994400,1.2968,1.2968,1.2884,1.2884
1073253600,1.2877,1.2877,1.2822,1.2822
1073340000,1.2822,1.2857,1.2822,1.2857
1073426400,1.2857,1.2899,1.2857,1.2899
1073512800,1.2899,1.2899,1.2804,1.2804
1073599200,1.2804,1.2804,1.2713,1.2713
1073858400,1.2723,1.2761,1.2723,1.2761
1073944800,1.2761,1.2761,1.2717,1.2717
1074031200,1.2717,1.2884,1.2717,1.2884
1074117600,1.2884,1.2959,1.2884,1.2959
1074204000,1.2959,1.3002,1.2959,1.3002
1074463200,1.2988,1.3023,1.2988,1.3023
1074549600,1.3023,1.3023,1.2906,1.2906
1074636000,1.2906,1.3006,1.2906,1.3006
1074722400,1.3006,1.3006,1.2952,1.2952
1074808800,1.2952,1.3131,1.2952,1.3131
1075068000,1.3141,1.3142,1.3141,1.3142
1075154400,1.3142,1.3142,1.3052,1.3052
1075240800,1.3052,1.32515,1.3052,1.32515
1075327200,1.32515,1.3301,1.32515,1.3301
1075413600,1.3301,1.3301,1.3246,1.3246
1075672800,1.3241,1.3378,1.3241,1.3378
1075759200,1.3378,1.3378,1.33755,1.33755
1075845600,1.33755,1.33755,1.33305,1.33305
1075932000,1.33305,1.3386,1.33305,1.3386
1076018400,1.3386,1.3386,1.327,1.327
1076277600,1.3282,1.3282,1.3279,1.3279
1076364000,1.3279,1.3302,1.3279,1.3302
1076450400,1.3302,1.3302,1.31395,1.31395
1076536800,1.31395,1.3189,1.31395,1.3189
1076623200,1.3189,1.3189,1.3163,1.3163
1076882400,1.3161,1.3161,1.31595,1.31595
1076968800,1.31595,1.31595,1.3105,1.3105
1077055200,1.3105,1.32495,1.3105,1.32495
1077141600,1.32495,1.3304,1.32495,1.3304
1077228000,1.3304,1.337,1.3304,1.337
1077487200,1.3379,1.3379,1.3368,1.3368
1077573600,1.3368,1.3368,1.3289,1.3289
1077660000,1.3289,1.3353,1.3289,1.3353
1077746400,1.3353,1.3422,1.3353,1.3422
1077832800,1.3422,1.3422,1.3355,1.3355
1078092000,1.3347,1.3393,1.3347,1.3393
1078178400,1.3393,1.3426,1.3393,1.3426
1078264800,1.3426,1.3426,1.3389,1.3389
1078351200,1.3389,1.3389,1.333,1.333
1078437600,1.333,1.333,1.3217,1.3217
1078696800,1.3217,1.3217,1.3189,1.3189
1078783200,1.3189,1.3239,1.3189,1.3239
1078869600,1.3239,1.3239,1.32335,1.32335
1078956000,1.32335,1.32335,1.31965,1.31965
1079042400,1.31965,1.3355,1.31965,1.3355
1079301600,1.3338,1.3339,1.3338,1.3339
1079388000,1.3339,1.3339,1.3327,1.3327
1079474400,1.3327,1.3387,1.3327,1.3387
1079560800,1.3387,1.3387,1.32795,1.32795
1079647200,1.32795,1.3343,1.32795,1.3343
1079906400,1.3342,1.3342,1.3336,1.3336
1079992800,1.3336,1.3336,1.3326,1.3326
1080079200,1.3326,1.3413,1.3326,1.3413
1080165600,1.3413,1.3413,1.3293,1.3293
1080252000,1.3293,1.3293,1.3185,1.3185
1080511200,1.3193,1.3193,1.3083,1.3083
1080597600,1.3083,1.3083,1.3068,1.3068
1080684000,1.3068,1.3112,1.3068,1.3112
1080770400,1.3112,1.3112,1.3069,1.3069
1080856800,1.3069,1.3147,1.3069,1.3147
1081112400,1.3141,1.3141,1.314,1.314
1081198800,1.314,1.314,1.3085,1.3085
1081285200,1.3085,1.3089,1.3085,1.3089
1081371600,1.3089,1.3271,1.3089,1.3271
1081458000,1.3271,1.3297,1.3271,1.3297
1081717200,1.3289,1.3352,1.3289,1.3352
1081803600,1.3352,1.3352,1.3352,1.3352
1081890000,1.3352,1.3445,1.3352,1.3445
1081976400,1.3445,1.3445,1.3429,1.3429
1082062800,1.3429,1.3449,1.3429,1.3449
1082322000,1.346,1.346,1.3443,1.3443
1082408400,1.3443,1.3572,1.3443,1.3572
1082494800,1.3572,1.3588,1.3572,1.3588
1082581200,1.3588,1.3588,1.3556,1.3556
1082667600,1.3556,1.3616,1.3556,1.3616
1082926800,1.3606,1.3606,1.348,1.348
1083013200,1.348,1.3519,1.348,1.3519
1083099600,1.3519,1.37555,1.3519,1.37555
1083186000,1.37555,1.37555,1.37,1.37
1083272400,1.37,1.3723,1.37,1.3723
1083531600,1.3721,1.37255,1.3721,1.37255
1083618000,1.37255,1.37255,1.3694,1.3694
1083704400,1.3694,1.3739,1.3694,1.3739
1083790800,1.3739,1.3792,1.3739,1.3792
1083877200,1.3792,1.3827,1.3792,1.3827
1084136400,1.3842,1.3914,1.3842,1.3914
1084222800,1.3914,1.3914,1.3863,1.3863
1084309200,1.3863,1.3873,1.3863,1.3873
1084395600,1.3873,1.3933,1.3873,1.3933
1084482000,1.3933,1.3933,1.3894,1.3894
1084741200,1.3885,1.3968,1.3885,1.3968
1084827600,1.3968,1.3968,1.3909,1.3909
1084914000,1.3909,1.3909,1.3758,1.3758
1085000400,1.3758,1.3758,1.3675,1.3675
1085086800,1.3675,1.3732,1.3675,1.3732
1085346000,1.3731,1.3731,1.37095,1.37095
1085432400,1.37095,1.3718,1.37095,1.3718
1085518800,1.3718,1.3718,1.3707,1.3707
1085605200,1.3707,1.3707,1.3567,1.3567
1085691600,1.3567,1.3621,1.3567,1.3621
1085950800,1.3623,1.3623,1.36175,1.36175
1086037200,1.36175,1.3684,1.36175,1.3684
1086123600,1.3684,1.3684,1.36145,1.36145
1086210000,1.36145,1.3629,1.36145,1.3629
1086296400,1.3629,1.3629,1.3513,1.3513
1086555600,1.3515,1.3515,1.34685,1.34685
1086642000,1.34685,1.3494,1.34685,1.3494
1086728400,1.3494,1.3597,1.3494,1.3597
1086814800,1.3597,1.3604,1.3597,1.3604
1086901200,1.3604,1.3638,1.3604,1.3638
1087160400,1.3636,1.375,1.3636,1.375
1087246800,1.375,1.375,1.3685,1.3685
1087333200,1.3685,1.373,1.3685,1.373
1087419600,1.373,1.373,1.3711,1.3711
1087506000,1.3711,1.3711,1.3629,1.3629
1087765200,1.3634,1.3654,1.3634,1.3654
1087851600,1.3654,1.3654,1.3579,1.3579
1087938000,1.3579,1.3601,1.3579,1.3601
1088024400,1.3601,1.3601,1.3451,1.3451
1088110800,1.3451,1.3497,1.3451,1.3497
1088370000,1.3498,1.3498,1.3486,1.3486
1088456400,1.3486,1.3486,1.3445,1.3445
1088542800,1.3445,1.3445,1.33275,1.33275
1088629200,1.33275,1.33275,1.3327,1.3327
1088715600,1.3327,1.3327,1.324,1.324
1088974800,1.3236,1.32605,1.3236,1.32605
1089061200,1.32605,1.3281,1.32605,1.3281
1089147600,1.3281,1.3281,1.3202,1.3202
1089234000,1.3202,1.3202,1.3183,1.3183
1089320400,1.3183,1.3183,1.3181,1.3181
1089579600,1.3176,1.3176,1.3176,1.3176
1089666000,1.3176,1.3186,1.3176,1.3186
1089752400,1.3186,1.3224,1.3186,1.3224
1089838800,1.3224,1.32345,1.3224,1.32345
1089925200,1.32345,1.32345,1.3114,1.3114
1090184400,1.3097,1.3097,1.3077,1.3077
1090270800,1.3077,1.3138,1.3077,1.3138
1090357200,1.3138,1.3214,1.3138,1.3214
1090443600,1.3214,1.3214,1.31725,1.31725
1090530000,1.31725,1.3211,1.31725,1.3211
1090789200,1.3213,1.333,1.3213,1.333
1090875600,1.333,1.333,1.33155,1.33155
1090962000,1.33155,1.33155,1.3285,1.3285
1091048400,1.3285,1.3285,1.32455,1.32455
1091134800,1.32455,1.3313,1.32455,1.3313
1091394000,1.3285,1.33235,1.3285,1.33235
1091480400,1.33235,1.33235,1.31755,1.31755
1091566800,1.31755,1.31755,1.3159,1.3159
1091653200,1.3159,1.31875,1.3159,1.31875
1091739600,1.31875,1.31875,1.3126,1.3126
1091998800,1.3112,1.31755,1.3112,1.31755
1092085200,1.31755,1.32075,1.31755,1.32075
