time,open,high,low,close
1744837200,1.38574,1.39064,1.38284,1.3834
1744923600,1.38411,1.38704,1.38321,1.38495
1745182800,1.38514,1.38517,1.37814,1.38402
1745269200,1.38406,1.3862,1.37932,1.38126
1745355600,1.38151,1.3905,1.37984,1.3883
1745442000,1.38831,1.38993,1.384,1.38554
1745528400,1.3853,1.38928,1.38458,1.38552
1745787600,1.38671,1.3893,1.38165,1.38296
1745874000,1.38316,1.3872,1.38085,1.3834
1745960400,1.38334,1.38557,1.377,1.37987
1746046800,1.37972,1.38624,1.37844,1.3854
1746133200,1.38551,1.38558,1.37602,1.38172
1746392400,1.37999,1.383,1.37867,1.38245
1746478800,1.38221,1.38454,1.37506,1.3776
1746565200,1.37766,1.38395,1.37638,1.38393
1746651600,1.38384,1.3933,1.38134,1.39238
1746738000,1.39229,1.39447,1.39064,1.39378
1746997200,1.3903,1.4016,1.39012,1.3975
1747083600,1.39774,1.40165,1.3931,1.39364
1747170000,1.39372,1.39866,1.39016,1.39829
1747256400,1.39783,1.40047,1.39556,1.39594
1747342800,1.39648,1.39958,1.39352,1.39684
1747602000,1.39739,1.3974,1.39174,1.39508
1747688400,1.39437,1.39687,1.39091,1.39156
1747774800,1.39172,1.39201,1.38144,1.38594
1747861200,1.38585,1.3889,1.38462,1.38572
1747947600,1.38546,1.38642,1.37092,1.3732
1748206800,1.37301,1.37411,1.36861,1.37366
1748293200,1.3736,1.38359,1.37222,1.38136
1748379600,1.38082,1.38448,1.38016,1.38376
1748466000,1.38358,1.3862,1.37851,1.38082
1748552400,1.3808,1.38301,1.37142,1.37389
1748811600,1.37387,1.37414,1.36746,1.37131
1748898000,1.37132,1.37432,1.37013,1.3721
1748984400,1.37202,1.3732,1.36524,1.36794
1749070800,1.3676,1.36842,1.36346,1.36746
1749157200,1.36769,1.37046,1.36605,1.36964
1749416400,1.3694,1.37078,1.36694,1.36996
1749502800,1.36988,1.37289,1.36682,1.36711
1749589200,1.36699,1.36904,1.365,1.3672
1749675600,1.3672,1.36756,1.35996,1.3602
1749762000,1.36024,1.3652,1.35664,1.3583
1750021200,1.35899,1.36072,1.35399,1.35719
1750107600,1.35706,1.36937,1.35565,1.36788
1750194000,1.36754,1.37036,1.36344,1.36942
1750280400,1.36942,1.37468,1.36866,1.37008
1750366800,1.37105,1.37474,1.36873,1.37341
1750626000,1.37526,1.37981,1.37253,1.37354
1750712400,1.37348,1.37386,1.36788,1.3725
1750798800,1.37141,1.37548,1.37141,1.37261
1750885200,1.37268,1.37284,1.36179,1.36402
1750971600,1.36488,1.37598,1.36278,1.3681
1751230800,1.36881,1.37002,1.35999,1.36074
1751317200,1.36094,1.36674,1.35912,1.36466
1751403600,1.36444,1.36591,1.35838,1.35928
1751490000,1.35919,1.3624,1.35567,1.35838
1751576400,1.3581,1.36174,1.35668,1.36042
1751835600,1.36076,1.3686,1.35974,1.36828
1751922000,1.36807,1.36946,1.36385,1.36624
1752008400,1.3664,1.37102,1.36601,1.36858
1752094800,1.36886,1.37086,1.36544,1.3656
1752181200,1.36619,1.37314,1.3652,1.369
1752440400,1.3701,1.37084,1.36699,1.37047
1752526800,1.37003,1.37302,1.36718,1.37227
1752613200,1.37216,1.37557,1.36799,1.36816
1752699600,1.36848,1.37746,1.36838,1.37536
1752786000,1.37559,1.37572,1.36958,1.37226
1753045200,1.37174,1.37347,1.36778,1.36824
1753131600,1.36796,1.36956,1.3603,1.36055
1753218000,1.36078,1.36294,1.35756,1.35971
1753304400,1.35962,1.3655,1.35958,1.36374
1753390800,1.36426,1.3726,1.36383,1.37017
1753650000,1.37078,1.37426,1.3689,1.37389
