time,open,high,low,close
1744837200,0.81412,0.82316,0.81196,0.81951
1744923600,0.81948,0.82039,0.8162,0.81668
1745182800,0.81861,0.81861,0.80396,0.80903
1745269200,0.80934,0.81921,0.8067,0.81916
1745355600,0.81823,0.83114,0.81819,0.83078
1745442000,0.83076,0.83111,0.82396,0.82696
1745528400,0.82638,0.8335,0.8261,0.82784
1745787600,0.8294,0.8319,0.81982,0.82
1745874000,0.82036,0.82644,0.81994,0.82392
1745960400,0.82434,0.82728,0.8214,0.82634
1746046800,0.8263,0.83332,0.82541,0.82931
1746133200,0.83043,0.83186,0.82058,0.8269
1746392400,0.82821,0.82821,0.82142,0.82214
1746478800,0.82296,0.82654,0.82132,0.82219
1746565200,0.82203,0.82722,0.81859,0.82384
1746651600,0.82405,0.83324,0.82239,0.83174
1746738000,0.83184,0.83414,0.82695,0.8315
1746997200,0.83476,0.84766,0.83308,0.84552
1747083600,0.84558,0.8461,0.83872,0.83952
1747170000,0.84042,0.8436,0.83245,0.8422
1747256400,0.84106,0.84236,0.83464,0.83572
1747342800,0.8362,0.84011,0.83271,0.83768
1747602000,0.83667,0.83759,0.83181,0.83467
1747688400,0.83464,0.83628,0.82829,0.82831
1747774800,0.82818,0.8286,0.82096,0.82517
1747861200,0.82527,0.83068,0.82342,0.82894
1747947600,0.8292,0.82947,0.82048,0.82124
1748206800,0.82095,0.82329,0.81924,0.82102
1748293200,0.822,0.828,0.8188,0.82724
1748379600,0.82726,0.82916,0.8245,0.82706
1748466000,0.8275,0.83481,0.82179,0.82306
1748552400,0.82262,0.82492,0.8199,0.82282
1748811600,0.82235,0.82368,0.8157,0.81704
1748898000,0.81779,0.82476,0.81586,0.82416
1748984400,0.82365,0.82504,0.81704,0.81856
1749070800,0.8185,0.8215,0.81722,0.81982
1749157200,0.82015,0.82484,0.81908,0.82218
1749416400,0.82224,0.8226,0.81923,0.82184
1749502800,0.82206,0.8242,0.82039,0.82274
1749589200,0.82276,0.82348,0.8185,0.82026
1749675600,0.82022,0.8206,0.81022,0.81032
1749762000,0.8103,0.81486,0.80561,0.81124
1750021200,0.81196,0.81471,0.80892,0.81407
1750107600,0.814,0.81718,0.81204,0.8166
1750194000,0.81479,0.81996,0.81469,0.81876
1750280400,0.81827,0.82156,0.81562,0.81656
1750366800,0.81665,0.81842,0.81522,0.81802
1750626000,0.81726,0.81952,0.81153,0.81266
1750712400,0.81293,0.81329,0.80348,0.80528
1750798800,0.80563,0.80804,0.80399,0.80488
1750885200,0.80478,0.80512,0.79786,0.80028
1750971600,0.80002,0.80182,0.79579,0.79884
1751230800,0.79864,0.79948,0.79299,0.79309
1751317200,0.79308,0.79438,0.78722,0.79124
1751403600,0.79046,0.79416,0.79015,0.792
1751490000,0.79207,0.7987,0.79008,0.79532
1751576400,0.79563,0.79566,0.79218,0.79422
1751835600,0.7945,0.79912,0.79322,0.79834
1751922000,0.79838,0.79948,0.79533,0.79574
1752008400,0.79681,0.79793,0.79394,0.79425
1752094800,0.79424,0.79878,0.79197,0.79696
1752181200,0.797,0.79822,0.7954,0.79656
1752440400,0.79746,0.79849,0.79552,0.798
1752526800,0.79801,0.80248,0.79537,0.80156
1752613200,0.80106,0.80617,0.79472,0.80092
1752699600,0.80098,0.80644,0.80024,0.80438
