time,open,high,low,close
1744837200,141.842,143.088,141.614,142.466
1744923600,142.415,142.553,142.115,142.173
1745182800,142.065,142.162,140.471,140.856
1745269200,140.856,141.67,139.889,141.602
1745355600,141.535,143.58,141.487,143.457
1745442000,143.411,143.429,142.278,142.628
1745528400,142.636,144.031,142.582,143.682
1745787600,143.623,143.898,141.984,142.024
1745874000,142.032,142.76,141.965,142.37
1745960400,142.282,143.192,142.165,143.064
1746046800,143,145.737,142.881,145.398
1746133200,145.45,145.926,143.73,144.957
1746392400,144.732,144.996,143.542,143.7
1746478800,143.752,144.276,142.354,142.404
1746565200,142.504,144.002,142.423,143.826
1746651600,143.746,146.178,143.445,145.909
1746738000,145.834,146.19,144.825,145.374
1746997200,146.176,148.654,145.702,148.477
1747083600,148.448,148.468,147.378,147.477
1747170000,147.49,147.67,145.605,146.744
1747256400,146.719,146.756,145.414,145.695
1747342800,145.691,146.102,144.92,145.64
1747602000,145.328,145.478,144.662,144.854
1747688400,144.866,145.514,144.092,144.508
1747774800,144.529,144.611,143.282,143.66
1747861200,143.632,144.416,142.802,144.011
1747947600,144.058,144.106,142.422,142.558
1748206800,142.51,143.086,142.226,142.842
1748293200,142.851,144.465,142.111,144.351
1748379600,144.332,145.08,143.851,144.87
1748466000,144.81,146.29,143.962,144.186
1748552400,144.194,144.447,143.441,144.06
1748811600,143.862,143.989,142.539,142.698
1748898000,142.736,144.115,142.379,144.004
1748984400,143.992,144.396,142.604,142.766
1749070800,142.726,143.98,142.533,143.582
1749157200,143.547,145.093,143.45,144.859
1749416400,144.885,144.954,143.974,144.606
1749502800,144.551,145.294,144.402,144.897
1749589200,144.869,145.47,144.326,144.6
1749675600,144.527,144.57,143.186,143.5
1749762000,143.5,144.483,142.792,144.114
1750021200,144.021,144.878,143.65,144.784
1750107600,144.727,145.381,144.386,145.286
1750194000,145.287,145.443,144.328,145.132
1750280400,145.111,145.772,144.738,145.466
1750366800,145.468,146.218,145.124,146.092
1750626000,146.704,148.032,146.01,146.151
1750712400,146.165,146.192,144.516,144.917
1750798800,144.945,145.952,144.609,145.257
1750885200,145.202,145.267,143.752,144.391
1750971600,144.442,144.949,144.178,144.663
1751230800,144.376,144.766,143.782,144.024
1751317200,144.041,144.078,142.682,143.406
1751403600,143.403,144.248,143.32,143.66
1751490000,143.709,145.236,143.446,144.922
1751576400,144.928,144.974,144.183,144.491
1751835600,144.45,146.242,144.224,146.07
1751922000,146.054,146.978,145.831,146.562
1752008400,146.638,147.186,146.25,146.308
1752094800,146.359,146.789,145.756,146.247
1752181200,146.26,147.523,146.134,147.423
1752440400,147.206,147.78,146.85,147.732
1752526800,147.728,149.022,147.552,148.849
1752613200,148.903,149.189,146.91,147.88
1752699600,147.832,149.09,147.73,148.608
1752786000,148.587,148.886,148.184,148.844
1753045200,147.975,148.666,147.082,147.346
1753131600,147.375,147.95,146.306,146.646
1753218000,146.626,147.214,146.11,146.51
1753304400,146.478,147.028,145.854,147.002
1753390800,146.989,147.943,146.814,147.668
1753650000,147.764,148.58,147.516,148.545
1753736400,148.495,148.81,148.158,148.472
1753822800,148.491,149.538,147.804,149.526
1753909200,149.482,150.844,148.59,150.766
1753995600,150.718,150.918,147.293,147.42
1754254800,147.262,148.09,146.866,147.092
1754341200,147.144,147.836,146.62,147.556
1754427600,147.591,147.886,146.976,147.357
1754514000,147.37,147.712,146.69,147.152
1754600400,147.129,147.904,146.72,147.752
1754859600,147.572,148.252,147.352,148.146
1754946000,148.128,148.52,147.579,147.856
1755032400,147.786,148.17,147.087,147.382
1755118800,147.392,147.967,146.214,147.752
1755205200,147.757,147.875,146.739,147.154
1755464400,147.202,147.988,147.084,147.855
1755550800,147.77,148.115,147.443,147.67
1755637200,147.643,147.818,146.872,147.312
1755723600,147.349,148.408,147.256,148.389
1755810000,148.337,148.778,146.572,146.926
1756069200,146.887,147.942,146.802,147.753
1756155600,147.752,147.91,146.988,147.43
1756242000,147.387,148.184,147.293,147.416
1756328400,147.414,147.49,146.66,146.944
1756414800,146.9,147.41,146.764,147.066
1756674000,147.017,147.38,146.788,147.18
1756760400,147.206,148.945,147.048,148.338
1756846800,148.336,149.138,147.882,148.109
1756933200,148.07,148.779,147.792,148.464
1757019600,148.512,148.536,146.818,147.418
1757278800,148.187,148.58,147.342,147.53
1757365200,147.503,147.573,146.307,147.403
1757451600,147.364,147.647,147.105,147.465
1757538000,147.396,148.192,146.988,147.226
1757624400,147.221,148.074,147.122,147.672
1757883600,147.63,147.791,147.232,147.418
1757970000,147.343,147.541,146.278,146.456
1758056400,146.478,147.051,145.483,146.999
1758142800,146.965,148.268,146.768,147.996
1758229200,147.944,148.288,147.196,147.956
1758488400,147.919,148.378,147.659,147.736
1758574800,147.775,147.93,147.463,147.658
1758661200,147.618,148.918,147.516,148.909
1758747600,148.864,149.93,148.56,149.799
1758834000,149.841,149.96,149.406,149.519
1759093200,149.5,149.536,148.472,148.598
1759179600,148.611,148.847,147.652,147.94
1759266000,147.85,148.227,146.586,147.071
1759352400,147.068,147.516,146.6,147.264
1759438800,147.264,147.819,147.06,147.49
1759698000,149.413,150.477,149.046,150.35
1759784400,150.314,152.046,150.25,151.9
1759870800,151.932,153.003,151.74,152.697
1759957200,152.72,153.236,152.116,153.084
1760043600,152.957,153.278,151.168,151.174
