pair,label,pf_backtest,stab_pct,timestamp,biais,filters_ok,close,sar,ref_level,longs,shorts,trailing,signal,wr_hist_pct,n_trades
GBPNZD,ROBUST,13.44,100,2026-03-03 23:00,BEAR,False,2.2661,2.26256,2.25754,0,0,0,AUCUN,100.0,2
EURAUD,ROBUST,5.2,71,2026-03-03 23:00,BEAR,False,1.64963,1.65224,1.64824,0,0,0,AUCUN,100.0,5
CADCHF,ROBUST,4.85,100,2026-03-03 23:00,BEAR,False,0.57186,0.57394,0.56985,0,0,0,AUCUN,0.0,0
GBPCAD,ROBUST,3.06,86,2026-03-03 23:00,BEAR,False,1.82667,1.82099,1.8307,0,0,0,AUCUN,0.0,0
CHFJPY,MOYEN,2.78,100,2026-03-03 23:00,BULL,False,201.508,201.89,201.897,0,0,0,AUCUN,0.0,0
USDCHF,MOYEN,2.78,100,2026-03-03 23:00,BEAR,False,0.78237,0.78289,0.7794,0,0,0,AUCUN,42.9,7
NZDCAD,MOYEN,1.83,100,2026-03-03 23:00,BULL,False,0.80602,0.80412,0.81324,0,1,0,AUCUN,0.0,1
EURCAD,MOYEN,1.77,100,2026-03-03 23:00,NEUTRE,False,1.58861,1.58636,,0,0,0,AUCUN,0.0,0
GBPCHF,FRAGILE,1.44,71,2026-03-03 23:00,BEAR,False,1.04498,1.04565,1.02924,0,0,0,AUCUN,0.0,0
NZDCHF,FRAGILE,1.28,83,2026-03-03 23:00,NEUTRE,False,0.46102,0.46242,,0,0,0,AUCUN,0.0,0
GBPUSD,FRAGILE,2.1,100,2026-03-03 23:00,NEUTRE,False,1.33551,1.33367,,0,0,0,AUCUN,66.7,3
AUDNZD,FRAGILE,1.44,100,2026-03-03 23:00,BULL,False,1.19439,1.19352,1.18865,1,0,1,AUCUN,100.0,1
NZDJPY,FRAGILE,1.28,57,2026-03-03 23:00,BULL,False,92.887,92.124,93.47,0,0,0,AUCUN,50.0,2
USDCAD,FRAGILE,0.91,0,2026-03-03 23:00,BEAR,False,1.36799,1.37244,1.36535,0,0,0,AUCUN,100.0,4
NZDUSD,FRAGILE,0.71,0,2026-03-03 23:00,BULL,False,0.58918,0.5858,0.59469,1,0,0,AUCUN,50.0,4
EURCHF,FRAGILE,0.47,0,2026-03-03 23:00,BEAR,False,0.90885,0.9068,0.90346,0,0,0,AUCUN,0.0,0
CADJPY,FRAGILE,0.46,14,2026-03-03 23:00,BULL,False,115.256,115.48136,114.304,0,0,0,AUCUN,0.0,0
USDJPY,FRAGILE,0.44,14,2026-03-03 23:00,NEUTRE,False,157.656,157.39379,,1,0,0,AUCUN,0.0,0
EURJPY,FRAGILE,0.41,33,2026-03-03 23:00,NEUTRE,False,183.078,182.7539,,0,0,0,AUCUN,0.0,0
AUDJPY,FRAGILE,0.32,14,2026-03-03 23:00,BULL,False,110.954,109.597,111.602,2,0,0,AUCUN,100.0,1
AUDCAD,FRAGILE,0.25,17,2026-03-03 23:00,BULL,True,0.96258,0.95895,0.9699,1,0,0,AUCUN,57.1,7
AUDUSD,FRAGILE,0.21,17,2026-03-03 23:00,BULL,False,0.70372,0.70207,0.70909,0,0,0,AUCUN,100.0,4
GBPJPY,FRAGILE,0.21,0,2026-03-03 23:00,NEUTRE,False,210.527,210.28724,,1,0,0,AUCUN,50.0,4
GBPAUD,FRAGILE,0.17,0,2026-03-03 23:00,BEAR,True,1.8978,1.89948,1.89093,0,0,0,AUCUN,84.6,13
AUDCHF,FRAGILE,0.11,14,2026-03-03 23:00,BULL,False,0.55069,0.54566,0.55252,0,0,0,AUCUN,100.0,1
EURGBP,FRAGILE,0.08,0,2026-03-03 23:00,NEUTRE,False,0.86958,0.87067,,0,0,0,AUCUN,0.0,0
EURUSD,FRAGILE,0.05,17,2026-03-03 23:00,NEUTRE,True,1.16117,1.15341,,1,0,0,AUCUN,0.0,0
EURNZD,FRAGILE,0.03,0,2026-03-03 23:00,NEUTRE,False,1.97134,1.97445,,0,0,0,AUCUN,0.0,0
